MID,message,category
99,"		i would like to cancel my `wish mounika happy birthday!` reminder for sun, 20 august at 12:00 am { reminder_list: 667515, user_id: 1971980, task_name: birthday, offset: 0, api_name: exotel }",reminders
100,bagalkot to mumbai,recharge
101,is thr any discount coupan for raliway booking ??,travel
102,"		i would like to cancel my `wish sayali happy birthday!` reminder for sat, 04 march at 07:55 am { reminder_list: 624916, user_id: 1861336, task_name: birthday, offset: 0, api_name: exotel }",reminders
103,hey do u have any refferal code for ola cab,travel
104,commando today shows,movies
105,nanded to pune,travel
106,there is no offers cash back recharge,food
107,"i would like to cancel my wake up call for wed, 01 march at 05:25 am { reminder_list: 664991, user_id: 1140979, task_name: wakeup, offset: 0, api_name: exotel }",reminders
108,chennai to zurich....all around europe..paris..amsterdam...for a honeymoon couple...preferably march end or april 17..15 days...,travel
109,cancel my remainder to drink water,reminders
110,canu reminds to drive water?,reminders
111,what will be the charge of trip to manali for 2 person?,travel
112,mujhe tatkal boking krani h,travel
113,pondicherry,travel
114,what's the estimate price,travel
115,4541511755,travel
116,can you please check why the recharge is not done,recharge
117,list of veg hotel,food
118,remind me on 3.4.17 at 9pm,reminders
119,ok please book a cab for me,travel
120,i'm asking for drama,movies
121,i need buy1 get 1,food
122,hi this would be for a take away,food
123,train seat booking,travel
124,even the timings for buses is not available.?,travel
125,16 or 17 it's flexible. need better prices,travel
126,i am searching for a 2 bhk flat in gurgaon,nearby
127,please check that vit institute is certified or not at last they will give certificate to students or not,nearby
128,bus timetable pune to chopda,travel
129,school in thane,nearby
130,i need food nearby,food
131,remind me to meet pratap on saturday,reminders
132,i think from kolkata have flight to bhutan,travel
133,is this valid on share,travel
134,from hyderabad airport to banjara hill road no 12,travel
135,kirik party,movies
136,i want this services,support
137,remaining remainders show me plese,reminders
138,from samolkot to vizag,travel
139,these are not dance bar,nearby
140,how did you know that my bill came,recharge
141,i dnt have any messages  for the reservation  nor even mail,travel
142,can you pls help me chose a good restaurant for lunch tomo,food
143,allahabad,travel
144,i would like to know any nearby place where they can deliver a cake if ordered to the address??,food
145,remind me in every 2hrs pls,reminders
146,"done.	bill paid. thanks..",recharge
147,santosh dhaba veggie,food
148,5758 train kakinada thirupathi pa passenger,travel
149,"i would like to cancel my wake up call for wed, 01 march at 04:30 pm { reminder_list: 604103, user_id: 1413102, task_name: wakeup, offset: 0, api_name: exotel }",reminders
150,remind me for printing of all reports at 10.30,reminders
151,also i need reminder to buy medicine,reminders
152,minimum cab value kitni honi chahiye,travel
153,i wanna cancel that anniversary reminder,reminders
154,north indian,food
155,17255,travel
156,axis hdfc,nearby
157,cance tommorrow wake up,reminders
158,ok mam cheak where is my 37 cashback,recharge
159,"no ,i want to book my reminder again at 8.38 am tomorrow",reminders
160,please send me narayana hrudalaya hospital phone number to opd,nearby
161,set one reminder for me,reminders
162,i just wanted to use pool and gym,nearby
163,metro inox,movies
164,"departure city: ndls/new delhi	destination city: lar/lalitpur	date of travel: march 4, 2017	class: sl - sleeper	number of adults: 1",travel
165,2 hr,reminders
166,any tiffin service available here,support
167,110,food
168,i don't need uber.!!,travel
169,"		i would like to cancel my drink water reminder reminder for everyday at every 1 hour from 10:00 am to 8:00 pm. { reminder_list: 684427, user_id: 1977653, task_name: drink_water, offset: 0, api_name: exotel }",reminders
170,no it's am,reminders
171,don't remind me,reminders
172,again you did a mistake in my reminder,reminders
173,"		i would like to cancel my drink water reminder reminder for sun, 05 march at every 4 hours from 10:00 am to 8:00 pm. { reminder_list: 710967-710968-710969, user_id: 1982381, task_name: drink_water, offset: 0, api_name: exotel }",reminders
174,not trailer,movies
175,where is my order,food
176,allahabad to varanasi ke liye koi train,travel
177,"		i would like to view more reminders. { user_id: 1907250, offset: 5, api_name: exotel }",reminders
178,when can i get aadhar card center nearby ?,nearby
179,do you have anu coupon code for postpaid bill payment,recharge
180,nt anniversary,reminders
181,cancel the booking,travel
182,"4pm	today",reminders
183,m j library,nearby
184,yes i want reminder for meeting,reminders
185,sorry i looking for some fitness best gym,nearby
186,can you cancel my wake up calls,reminders
187,"		i want to know availability and fare in sleeper (sl) in train number 12604{product_id:12604_sc_mas,api_name:trains_api}",travel
188,i want reminder of ambala cantt bus,reminders
189,can you check the status of my tdr?,travel
190,is there any economy tickets available,travel
191,u know in pune swargate is only one bus stand ok,travel
192,well actually i'm planning for rameshwar so i'm looking for nearest airport and railway station for actual booking of ticket,travel
193,mujhe indian bank ka atm chahiye,nearby
194,hi sir/ madam iwant to central bank atms,nearby
195,remind me every 2 hour for water,reminders
196,kya aap bta saktey ho pune sey dehradun k liye bhi koi flight jati h..,travel
197,at 3 pm tomorrow,reminders
198,i haven't drunk water at on time,reminders
199,mobile postpd,recharge
200,but i will book only by june end,travel
201,"		i would like to cancel my drink water reminder reminder for everyday at every 2 hours from 10:00 am to 8:00 pm. { reminder_list: 684907, user_id: 1937936, task_name: drink_water, offset: 0, api_name: exotel }",reminders
202,"hey, can you find me the nearest atm?",nearby
203,show my reminders now,reminders
204,is there any offer for booking train tkt,travel
205,go ahead please,food
206,"		i would like to cancel my call reminder reminder for everyday at 05:00 am { reminder_list: 631500, user_id: 1961281, task_name: call_someone, offset: 0, api_name: exotel }",reminders
207,sorry please reschedule the same,reminders
208,best electricity bill payment is showing error,recharge
209,lwr r upr brth,travel
210,can i recharge reliance jio,recharge
211,can you tell me any restaurants that will deliver food at this time near me,food
212,for 3rd to 4th march,reminders
213,what  vl  be the  ride cost  plz,travel
214,any restaurant delivery in bankra,food
215,tickets are costly,travel
216,icici atm,nearby
217,need a flight ticket vishakapattam to bangalore today 5th evening after 5 pm single male,travel
218,sorry pick up location is wrong,travel
219,travelling hours..??,travel
220,any offers on electricity bill,recharge
221,food combo,food
222,i need a contact number of hotel manali castle in manali,travel
223,hi.. will you tell me airfare for new delhi to hyderabad on 11 april.,travel
224,maninagar,travel
225,book,support
226,? which movie released or releasing today,movies
227,"		i would like to cancel my wake up call for sun, 05 march at 02:13 pm { reminder_list: 713525, user_id: 1983938, task_name: wakeup, offset: 0, api_name: exotel }",reminders
228,can u find me a book?,nearby
229,can you tell me second sale bike dealers in delhi @110025,nearby
230,shridi,food
231,but on other site fare is 3974,travel
232,can you check the paymnt,recharge
233,i want to know the pricing,food
234,distance from ahmedabad railway station to airport,travel
235,opp ibm gate no. 1,nearby
236,web check in please,travel
237,please help to order chiken spicy masala,food
238,any icici,nearby
239,13 march dj chetas concept program is tulip star tickit book,movies
240,we will reach bagddogra on 22 airport,travel
241,is it confirmed?,food
242,i want cab for gurgaon sector 74 sky view cooperate park,travel
243,can we carry desi ghee in flights ??,travel
244,by train?,travel
245,can i get a cab,travel
246,indian post nearby,nearby
247,please provide me best routin,nearby
248,search for meghana foods,food
249,act governed,nearby
250,is there any offer on movie tickets for commando 2,movies
251,"i would like to cancel my medicine reminder for everyday at 10:15 am { reminder_list: 557548, user_id: 512674, task_name: medicine, offset: 0, api_name: exotel }",reminders
252,where is cinepolis andheri west,movies
253,wake me up at 6:05 am on 1st march 2017,reminders
254,want web check in,travel
255,to pay postpaid bill,recharge
256,i m looking for salon,nearby
257,"dear ms. arora, for your upcoming trip pnr n6vuhp to bom on 04-mar-2017, use spiceclub points to pre-book bag out first, spicemax seats, hot meals, excess baggage, priority check-in, spicelounge now and go cashless. log on to https://goo.gl/wavo1g. for exciting fares and promos, download the official spicejet mobile app at http://goo.gl/1ivf3m. we look forward to welcoming you on board.",travel
258,can i book can through haptik wallet or can pay through it ?,recharge
259,everything is good,movies
260,can you please set up a wake up call for 6:18 am and 6:28 am.,reminders
261,pls rem8nd me to attend meeting at 12.40 today,reminders
262,is any cofirm ticket available on 28 april from vasai-thivim or vasai-pernem,travel
263,the prices are too expensive,food
264,dangal,movies
265,any cashback code for recharge??,recharge
266,piza,food
267,hey hasan can u find me idbi bank atm near me,nearby
268,upcoming movies,movies
269,hey can remained me to have tablet at 7:30 pm daily till fifteen days,reminders
270,"in gandhinagar, any theater are available for this movie?",movies
271,but dont remind between 2 pm to 5 pm,reminders
272,bus bookings,travel
273,remove all alrams,reminders
274,recharge offer for idea prepaid,recharge
275,already i'm having jio...so i don't need immediately...🙂,recharge
276,check a place near by hopes college,nearby
277,book pune to bangalore flight,travel
278,please inform them i will be there by 1:15pm,recharge
279,which one u will suggest to watch in this weekend,movies
280,location ambernath,food
281,need one bhk,travel
282,hey y d hell did u gv me a wake up call at 9.28 instead of 9.30 today morning😖,reminders
283,i want to order some food,food
284,one infante also,travel
285,are you able to book,travel
286,is there any coupon for me ??,travel
287,latest news reminder daily at 9 pm,reminders
288,where can i repair my phillips trimmer in borivali?,nearby
289,where is british council? how do i take a admission?,recharge
290,or day time,travel
291,pnr -8255989310 train 12052,travel
292,can you cancel the wake up call..?,reminders
293,saturday,reminders
294,puna to balhandra,travel
295,suratkal to anand,travel
296,plumber charge kitana hain,support
297,"		i would like to cancel my drink water reminder reminder for everyday at every 2 hours from 10:00 am to 8:00 pm. { reminder_list: 653719, user_id: 1677497, task_name: drink_water, offset: 0, api_name: exotel }",reminders
298,samsung sarvis centar,nearby
299,"		i want to know availability and fare in ac 3 tier (3a) in train number 12623{product_id:12623_mas_cngr,api_name:trains_api}",travel
300,can u provide me the route to sec 35 gurgao,travel
301,low cost,food
302,patuli,food
303,airtel prepaid unristected recharge,recharge
304,distance to peris,nearby
305,second class sitting,travel
306,from tomorrow which movie is playing in jagdamba theatre vizag,travel
307,not now but at 6:30 pm,reminders
308,22511,travel
309,vijayawada trains list today,travel
310,in sleeper,travel
311,anything in rajasthani in kolkata ?,food
312,pls stop the remimder of morning alarm,reminders
313,"please proceed with below flights -		onward flight - rs.15330	indigo (6e-634)	lucknow to patna	departure: 08:35 am (13 mar)	arrival: 09:35 am (13 mar)	 {product_id:bbc5535331ee679376d81d9691add84c2be9c97d972496b9958a6378c6329c19aa791bd84caa5c8c284a73fd7cd810fcc8ad719231875ed4263b2fcc58567bbd, api_name:goibibo_api, type:onward_flight, others:onward flight - rs.15330 indigo (6e-634) lucknow to patna departure 0835 am (13 mar) arrival 0935 am (13 mar) }		return flight - rs.16700	indigo (6e-339)	patna to lucknow	departure: 10:55 am (17 mar)	arrival: 11:50 am (17 mar)	 {product_id:ded17710d6c9e294fe0ce6e138848cdf483b52204f5a1136d5afacc93c7743a0391879724124641a677a46cc41dd286edd1835e87647f2f5e119be0f7c5701a5, api_name:goibibo_api, type:return_flight, others:return flight - rs.16700 indigo (6e-339) patna to lucknow departure 1055 am (17 mar) arrival 1150 am (17 mar) }",travel
314,hey.. can i set a remider to you..,reminders
315,don't let train number...,travel
316,what about delivery{task},food
317,"		i would like to cancel my drink water reminder reminder for everyday at every 2 hours from 10:00 am to 8:00 pm. { reminder_list: 716959, user_id: 1984500, task_name: drink_water, offset: 0, api_name: exotel }",reminders
318,"anything near kalyani nagar , koregaon park and vimannagar ... good restaurant",food
319,"		i would like to cancel my wake up call for fri, 03 march at 05:10 am { reminder_list: 688658, user_id: 1689565, task_name: wakeup, offset: 0, api_name: exotel }",reminders
320,top hospital,nearby
321,stop reminder for water,reminders
322,vijayawada,food
323,require one cab from chandigarh airport to ludhiana today at 10.00 am.,travel
324,how to teach matheran from mumbai,travel
325,pnr status 81568 93105,travel
326,"yes	please tell me their monthly charges?",nearby
327,saj3as9at,recharge
328,modeshwari mata mandir near mehsana timing,nearby
329,5 am today,reminders
330,will u give some infornation abiut some plans,recharge
331,no first just tell me a fair,travel
332,good food trucks in pune,food
333,onward date - 15 march,travel
334,am i getting 75 r/s discount,travel
335,need cab,travel
336,yaaman,movies
337,"		i would like to cancel my wake up call for everyday at 04:00 am { reminder_list: 664652, user_id: 1858218, task_name: wakeup, offset: 0, api_name: exotel }",reminders
338,durranto to mumbai,travel
339,"internet 	i mean broadband bill",recharge
340,drinking water is must,reminders
341,i want remainder for my syrup,reminders
342,is dr is any offer,recharge
343,i want to cancell my booking,travel
344,can u plss tell me the entry fess of snow world in phinix mall,nearby
345,"		i would like to cancel my drink water reminder reminder for everyday at every 1 hour from 10:00 am to 8:00 pm. { reminder_list: 704083, user_id: 1981565, task_name: drink_water, offset: 0, api_name: exotel }",reminders
346,"i would like to cancel my reminder to 'play football this weekend' for this weekend (sat, sun) at 07:00 pm { reminder_list: 672897, user_id: 1689770, task_name: other, offset: 5, api_name: exotel }",recharge
347,looking for guitar classes,nearby
348,i don't want to cancel any reminder,reminders
349,pl book,support
350,the deal on domino's is better,food
351,please stop my wake up alarm nd water reminder,reminders
352,bike showroom,nearby
353,at 630 continuously until i wake up,reminders
354,hii i wana know any levi's or numero uno showrooms nearby,nearby
355,"i would like to view more reminders. { user_id: 1651614, offset: 5, api_name: exotel }",reminders
356,rogue one,movies
357,i want to see ghazi attack,movies
358,i don't hv ola or uber acct,travel
359,pubs,food
360,other than authorized dealer can you help in find out any local service centre for servicing my pressure cooker,nearby
361,book ola micro from my current location to shaheen nagar hyderabad,travel
362,dominoes,food
363,validity?,recharge
364,for tomorrow morning,support
365,any update on my last ride,travel
366,axis bank atm only,nearby
367,hi! i'm looking for someone to help me with appliance repair.{task},support
368,train from shirdi to pune on 11 night of march pls help me,travel
369,tell me abt the nearest atm in respect to my location,nearby
370,8286880094,recharge
371,please show me trains from bct to pune for ac first class (1a) on 11-03-2017.,travel
372,wait i think i want return cab,travel
373,daily i need this call,reminders
374,remind again in tommarow,reminders
375,but i am not in india,travel
376,trains from mumbai to nashik,travel
377,3:00 clock show,movies
378,to lingampally,travel
379,12/30/1899,reminders
380,do not wake me up,reminders
381,"		i would like to cancel my wake up call for fri, 03 march at 04:00 am { reminder_list: 688644, user_id: 1978586, task_name: wakeup, offset: 0, api_name: exotel }",reminders
382,eny lyf service center in new twon,nearby
383,pqwl1 means,travel
384,it's come to davanagere also..?,travel
385,for new users for dth recharge,recharge
386,go to dilshuknagar after 1pm today,reminders
387,for afternoon show,movies
388,my friend coming by flight from dubai to kolkatta...,travel
389,remind me by 8:45,reminders
390,of ticket booked with haptik,travel
391,"		i would like to cancel my wake up call for sat, 04 march at 06:00 am { reminder_list: 701284, user_id: 1981258, task_name: wakeup, offset: 0, api_name: exotel }",reminders
392,every 1 hiur,reminders
393,on 7tn hyderabad to tirupati one berth by sleeper class,travel
394,at 11 30 in the night today,reminders
395,what are the best rated movies till date,movies
396,for discount which code should i use,recharge
397,go to home at 6pm,reminders
398,can u plss remove all my reminders,reminders
399,i will travel by road,travel
400,jhanmabhoomi express on 4-03-2017 seat availability in ac to vishakhapatnam to sec,travel
401,plz dont book my cab,travel
402,remind me to call nakul sir in 2 mins today,reminders
403,on juhu tara road,travel
404,pls cancel all wake up calls,reminders
405,hey bitch.. wake me up at 7:45 pm ..,reminders
406,need ac fitting,support
407,any offers for one ticket,movies
408,"no, cancel it.... i accidentally tapped on it... sorry",travel
409,"mr.rajachandrasekar	dob 25/5/1958	adhaar no 538517409720	mr.vinayagamurthy	dob 13/8/1963	adhaar no457846167874	mrs.uma 	dob 1968	adhaar no 611382440903 	mr.syam	dob 22/10/1988",travel
410,enter details is not working on final page of paying through credit card,recharge
411,do i have any discounted fare,travel
412,how can i copy this coupon code,recharge
413,trip gas ended,nearby
414,nearest  santosh dhaba,food
415,i wanted to know the train timings from hour to bangalore,travel
416,"		i would like to cancel my drink water reminder reminder for sun, 05 march at every 1 hour from 9:00 am to 8:00 pm. { reminder_list: 717255-717256-717257-717258-717259, user_id: 1982531, task_name: drink_water, offset: 0, api_name: exotel }",reminders
417,set reminder for monday for going to rbl bank,reminders
418,my location in mahendru post office,food
419,hair saloon,nearby
420,i want check the one pnr status,travel
421,"		i would like to cancel my drink water reminder reminder for everyday at every 2 hours from 10:00 am to 8:00 pm. { reminder_list: 723299, user_id: 1985921, task_name: drink_water, offset: 0, api_name: exotel }",reminders
422,so if i book through your way will i get ₹75,recharge
423,how to change the payment method to paytm,travel
424,set a wake up call reminder,reminders
425,vijaywada to hyderabad,travel
426,"		i would like to cancel my `wish prakruti happy birthday!` reminder for sun, 05 march at 11:30 pm { reminder_list: 717176, user_id: 1959404, task_name: birthday, offset: 0, api_name: exotel }",reminders
427,can you tell me if there is a show at 2:30 in kavali?,movies
428,hi! i need a hotel room to stay for 3 days in chennai with a good facilities and a reasonable price,travel
429,01107 or 08,travel
430,hdfc which have cash,nearby
431,yes wake up reminder,reminders
432,flight from jaipur to mumbai,travel
433,with the gap of one hour,reminders
434,i can't book tatkal,travel
435,but i have searched it more cheaper than u,nearby
436,"		i would like to cancel my drink water reminder reminder for sat, 04 march at every 1 hour from 10:00 am to 8:00 pm. { reminder_list: 705318-705319-705320-705321-705322-705323-705324-705325-705326-705327, user_id: 1971535, task_name: drink_water, offset: 0, api_name: exotel }",reminders
437,any recharge offer,recharge
438,540,food
439,today i paid all the bill,recharge
440,been more than 1.30 hours..,recharge
441,stop it,reminders
442,bus options,travel
443,"		i would like to cancel my reminder for wed, 08 march at 10:30 am { reminder_list: 705912, user_id: 1919208, task_name: other, offset: 0, api_name: exotel }",reminders
444,thanks but i want to set also morning alarm with this,reminders
445,not restaurant,food
446,can you inform me where my order is,food
447,briyani,food
448,how am i supposed to redeem vodafone offer,recharge
449,rs 75 cash back nahi aya morning ride ka,travel
450,hi could u please cancel this ticket,travel
451,can u set a reminder for me?,reminders
452,what about tickets,travel
453,hello can you book may bus,travel
454,pnq-amd 23.05.2017,travel
455,im asking train,travel
456,biriyani,food
457,how much km for wonderla from bangalore,nearby
458,can u book train tickets,travel
459,grateful pls remind the to do list only by sms twice a day 12 00 pm n 330 pm,reminders
460,msedcl ka bill pay ho sakata hai,recharge
461,tanu please cancle my all reminders,reminders
462,i web check in,travel
463,can you tell me the name of some nearby gynecologists ?,nearby
464,want to go mumbai to nathdwara by sleeper bus 50 persons,travel
465,which near by location in movie,movies
466,i said one way,travel
467,has flight landed ?{task},travel
468,can you schedule it from thursday to sunday?,reminders
469,7 8 or 9 of this month,travel
470,jaipur to goa,travel
471,will u tell me about hotel sangam?,travel
472,unlimited local std calls plan,recharge
473,mai delhi se mumbai jana chata hu 9 march ko,travel
474,i am an existing customer of uber will i still get 20% cash back?,travel
475,"things to do, mumbai",nearby
476,"		i would like to cancel my wake up call for sun, 05 march at 05:30 am { reminder_list: 707062, user_id: 1980485, task_name: wakeup, offset: 0, api_name: exotel }",reminders
477,"		i would like to cancel my to-do: dinner for everyday at 07:25 pm { reminder_list: 356668, user_id: 1869426, task_name: to_do, offset: 0, api_name: exotel }",reminders
478,15 min,reminders
479,i just recharged but recharge not done,recharge
480,i want to no flight rate patna to mumbai,travel
481,gorakhpur to ahmedabad,travel
482,pls check tickets in bhimavaram,travel
483,just check st thomas college pala.?,nearby
484,change flight,travel
485,i need a cab from jaipur airport to bustand,travel
486,"		i would like to cancel my wake up call for sat, 04 march at 11:00 am { reminder_list: 701825, user_id: 1981326, task_name: wakeup, offset: 0, api_name: exotel }",reminders
487,"add a new to-do	task: logan	date: march 2, 2017	time: 5 00 pm",reminders
488,need help for web check-in,travel
489,is there a flight from chandigarh to kolkata,travel
490,no i would like to pay my postpaid bill in offer,recharge
491,i drank enough of water,reminders
492,"		i would like to cancel my drink water reminder reminder for sat, 04 march at every 4 hours from 10:00 am to 8:00 pm. { reminder_list: 695112-695113-695114, user_id: 1810915, task_name: drink_water, offset: 0, api_name: exotel }",reminders
493,plz send me pin code of bhiwapur,nearby
494,medical store,nearby
495,5/31/2017,reminders
496,6am satart,reminders
497,how much is that,food
498,8 times in a day,reminders
499,i need trains,travel
500,"		i would like to cancel my to-do: hi for sun, 02 april at 10:19 pm { reminder_list: 685355, user_id: 1715701, task_name: to_do, offset: 0, api_name: exotel }",reminders
501,yes with in 1 day,reminders
502,train tickets pls,travel
503,is there any direct train from pune to halol gujrat,travel
504,is thr any pools,nearby
505,not necessary chinese,food
506,or agr 48 hours baad me cancel krau to,travel
507,make a reminder with the title of lic,reminders
508,group tiket  27march  kolkata  to bagdogara. 21 person  pls discount  tiket,travel
509,i want you know what is the lunch hours for syndicate bank peenya ind branch,nearby
510,book tamil movie tickets in chennai,movies
511,ok go head for booking tkt,travel
512,medical stot,nearby
513,nd can u clear me the price of ride before i picked up the ride,travel
514,should i get 50 cash back more?,recharge
515,need to know some orthodontics near by,nearby
516,i need to book it advance for 7:45 am tommorow,travel
517,remind me to call ragini,reminders
518,cammonfo 2,movies
519,any coupon for train booking,travel
520,where is my cash back trip completed,travel
521,today movies release,movies
522,"sure,in coming time",travel
523,hospital hill view,nearby
524,hi reshma....can you name me a highly recommended physician near to my locality,nearby
525,i would like to know offers on bookmyshow using jio money,movies
526,train no i dont have name i have,travel
527,is it per person or couple,travel
528,"		i would like to cancel my drink water reminder reminder for everyday at every 1 hour from 10:00 am to 8:00 pm. { reminder_list: 727183, user_id: 1986660, task_name: drink_water, offset: 0, api_name: exotel }",reminders
529,"		i would like to cancel my medicine reminder for everyday at 09:30 pm { reminder_list: 691659, user_id: 1979316, task_name: medicine, offset: 0, api_name: exotel }",reminders
530,jodhpur 5 star hotel for tomorrow check in,travel
531,can you help me find the nearby gyms within 4 km radius,nearby
532,i want sg-3105 flight status alone,travel
533,382715 kadi gujrat,travel
534,nd saturday also plz,reminders
535,travel dated are not fixed but it will be in 3rd or 4th week of march,travel
536,after every 2 hours,reminders
537,patiala to bahadurgarh,travel
538,new delhi,travel
539,near to my place,nearby
540,from : chennai to tirupur,travel
541,any date this week,travel
542,"my fare was more than 100 , bcoz of my discount coupon i got 20%discount",travel
543,intex speaker service center,nearby
544,and in day time?,travel
545,is there any cub atm near chennai one?,nearby
546,may i kn the flight status,travel
547,"		i want to know availability and fare in sleeper (sl) in train number 22662{product_id:22662_mnm_ms,api_name:trains_api}",travel
548,call kalki resorts goa and ask if pick and drop services provided and couples allowed,nearby
549,yes i don't know how the ticket books on haptik,travel
550,send spicy list,food
551,can you tell me offers for electricity bill,recharge
552,"		i would like to cancel my medicine reminder for everyday at 11:09 pm { reminder_list: 607936, user_id: 1941763, task_name: medicine, offset: 0, api_name: exotel }",reminders
553,"i want to know availability and fare in sleeper (sl) in train number 17305{product_id:17305_pune_gwl,api_name:trains_api}",travel
554,m chanakya 29,travel
555,i need invoice also,food
556,i need a ride,travel
557,hi i want go manali for 7 days..from surat how i can go,travel
558,no time preference,travel
559,pnr 2807722500,travel
560,can u show me the list of movie thetre/ multi plexs in odisha,movies
561,is it possible to get refund if the ticket is cancelled after the train depart from boarding station,travel
562,please cancel my alarm which was scheduled for today at 7am,reminders
563,i need list of offer,food
564,nearby hotel,travel
565,"		i would like to cancel my drink water reminder reminder for everyday at every 1 hour from 10:00 am to 8:00 pm. { reminder_list: 723865, user_id: 1956002, task_name: drink_water, offset: 0, api_name: exotel }",reminders
566,utkal express from bandamunda to haridwar on 27 march 2017,travel
567,so have to arrang some reminder calls tmaro i mean mrng,reminders
568,every hour between 10:00 am to 5:00 pm,reminders
569,want to know is this ride free for me,travel
570,is there any offer on railway ticket,travel
571,picnic spot,nearby
572,can you find me nearest movie theater,movies
573,vasakapatanam ap india,travel
574,delhi to goa,travel
575,can u help me to pick which is nearest station among all those for goa,travel
576,want to ride now,travel
577,when i will get the cashback on my last ride,travel
578,marine lines,food
579,come to thrissur station,travel
580,kerala trouist place with budget,travel
581,hamra batawa atm kaha ho,nearby
582,budget round rs 1000,travel
583,me travel kr skta hu ya nai,travel
584,i want woching commando 2 movies,movies
585,akshay can u give me nearby music store adress,nearby
586,beauty parlor,nearby
587,i would like to order from pizzahut,food
588,where is rs. 48 cashback for rs. 320 bill payment,recharge
589,no from 10 am to 10 pm,reminders
590,is electricity bill payment available for my location,recharge
591,it's trailer not good show me another one,movies
592,in your thinking which cab is good then other ??,travel
593,can u help  with the menu,food
594,only tell me names,food
595,food,food
