movie_title,director_name,color,duration,actor_1_name,language,country,title_year
Iron Man 2,Jon Favreau,Color,124,Robert Downey Jr.,English,USA,2010
Snow White and the Huntsman,Rupert Sanders,Color,132,Chris Hemsworth,English,USA,2012
Maleficent,Robert Stromberg,Color,97,Angelina Jolie Pitt,English,USA,2014
Dawn of the Planet of the Apes,Matt Reeves,Color,130,Gary Oldman,English,USA,2014
The Lovers,Roland Joffé,Color,109,Tamsin Egerton,English,Belgium,2015
47 Ronin,Carl Rinsch,Color,128,Keanu Reeves,English,USA,2013
Captain America: The Winter Soldier,Anthony Russo,Color,136,Scarlett Johansson,English,USA,2014
Shrek Forever After,Mike Mitchell,Color,93,Jon Hamm,English,USA,2010
Tomorrowland,Brad Bird,Color,130,Judy Greer,English,USA,2015
Big Hero 6,Don Hall,Color,102,Damon Wayans Jr.,English,USA,2014
Wreck-It Ralph,Rich Moore,Color,101,Jack McBrayer,English,USA,2012
The Polar Express,Robert Zemeckis,Color,100,Tom Hanks,English,USA,2004
Independence Day: Resurgence,Roland Emmerich,Color,120,Vivica A. Fox,English,USA,2016
How to Train Your Dragon,Dean DeBlois,Color,98,Gerard Butler,English,USA,2010
Terminator 3: Rise of the Machines,Jonathan Mostow,Color,109,Nick Stahl,English,USA,2003
Guardians of the Galaxy,James Gunn,Color,121,Bradley Cooper,English,USA,2014
Interstellar,Christopher Nolan,Color,169,Matthew McConaughey,English,USA,2014
Inception,Christopher Nolan,Color,148,Leonardo DiCaprio,English,USA,2010
Godzilla Resurgence,Hideaki Anno,Color,120,Mark Chinnery,Japanese,Japan,2016
The Hobbit: An Unexpected Journey,Peter Jackson,Color,182,Aidan Turner,English,USA,2012
The Fast and the Furious,Rob Cohen,Color,106,Paul Walker,English,USA,2001
The Curious Case of Benjamin Button,David Fincher,Color,166,Brad Pitt,English,USA,2008
X-Men: First Class,Matthew Vaughn,Color,132,Jennifer Lawrence,English,USA,2011
The Hunger Games: Mockingjay - Part 2,Francis Lawrence,Color,137,Jennifer Lawrence,English,USA,2015
The Sorcerer's Apprentice,Jon Turteltaub,Color,109,Nicolas Cage,English,USA,2010
Poseidon,Wolfgang Petersen,Color,98,Jimmy Bennett,English,USA,2006
Alice Through the Looking Glass,James Bobin,Color,113,Johnny Depp,English,USA,2016
Shrek the Third,Chris Miller,Color,93,Justin Timberlake,English,USA,2007
Warcraft,Duncan Jones,Color,123,Dominic Cooper,English,USA,2016
Terminator Genisys,Alan Taylor,Color,126,J.K. Simmons,English,USA,2015
The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,Color,113,Bruce Spence,English,USA,2010
Pearl Harbor,Michael Bay, Black and White,184,Jennifer Garner,English,USA,2001
Transformers,Michael Bay,Color,144,Zack Ward,English,USA,2007
Alexander,Oliver Stone,Color,206,Anthony Hopkins,English,Germany,2004
Harry Potter and the Order of the Phoenix,David Yates,Color,138,Robert Pattinson,English,UK,2007
Harry Potter and the Goblet of Fire,Mike Newell,Color,157,Robert Pattinson,English,UK,2005
Hancock,Peter Berg,Color,102,Will Smith,English,USA,2008
I Am Legend,Francis Lawrence,Color,104,Will Smith,English,USA,2007
Charlie and the Chocolate Factory,Tim Burton,Color,115,Johnny Depp,English,USA,2005
Ratatouille,Brad Bird,Color,111,Janeane Garofalo,English,USA,2007
Batman Begins,Christopher Nolan,Color,128,Christian Bale,English,USA,2005
Madagascar: Escape 2 Africa,Eric Darnell,Color,89,Bernie Mac,English,USA,2008
Night at the Museum: Battle of the Smithsonian,Shawn Levy,Color,105,Robin Williams,English,USA,2009
X-Men Origins: Wolverine,Gavin Hood,Color,119,Hugh Jackman,English,USA,2009
The Matrix Revolutions,Lana Wachowski,Color,129,Essie Davis,English,Australia,2003
Frozen,Chris Buck,Color,102,Josh Gad,English,USA,2013
The Matrix Reloaded,Lana Wachowski,Color,138,Steve Bastoni,English,USA,2003
Thor: The Dark World,Alan Taylor,Color,112,Chris Hemsworth,English,USA,2013
Mad Max: Fury Road,George Miller,Color,120,Tom Hardy,English,Australia,2015
Angels & Demons,Ron Howard,Color,146,Tom Hanks,English,USA,2009
Thor,Kenneth Branagh,Color,115,Chris Hemsworth,English,USA,2011
Bolt,Byron Howard,Color,96,Chloë Grace Moretz,English,USA,2008
G-Force,Hoyt Yeatman,Color,88,Kelli Garner,English,USA,2009
Wrath of the Titans,Jonathan Liebesman,Color,99,Liam Neeson,English,USA,2012
Dark Shadows,Tim Burton,Color,113,Johnny Depp,English,USA,2012
Mission: Impossible - Rogue Nation,Christopher McQuarrie,Color,131,Tom Cruise,English,China,2015
The Wolfman,Joe Johnston,Color,119,Anthony Hopkins,English,USA,2010
The Legend of Tarzan,David Yates,Color,110,Christoph Waltz,English,USA,2016
Bee Movie,Steve Hickner,Color,91,Matthew Broderick,English,USA,2007
Kung Fu Panda 2,Jennifer Yuh Nelson,Color,90,Angelina Jolie Pitt,English,USA,2011
The Last Airbender,M. Night Shyamalan,Color,103,Seychelle Gabriel,English,USA,2010
Mission: Impossible III,J.J. Abrams,Color,124,Philip Seymour Hoffman,English,USA,2006
White House Down,Roland Emmerich,Color,131,Channing Tatum,English,USA,2013
Mars Needs Moms,Simon Wells,Color,88,Elisabeth Harnois,English,USA,2011
Flushed Away,David Bowers,Color,85,Hugh Jackman,English,UK,2006
Pan,Joe Wright,Color,111,Hugh Jackman,English,USA,2015
Mr. Peabody & Sherman,Rob Minkoff,Color,92,Ty Burrell,English,USA,2014
Troy,Wolfgang Petersen,Color,196,Brad Pitt,English,USA,2004
Madagascar 3: Europe's Most Wanted,Eric Darnell,Color,93,Jada Pinkett Smith,English,USA,2012
Die Another Day,Lee Tamahori, Black and White,133,Toby Stephens,English,UK,2002
Ghostbusters,Paul Feig,Color,116,Ed Begley Jr.,English,USA,2016
Armageddon,Michael Bay,Color,153,Bruce Willis,English,USA,1998
Men in Black II,Barry Sonnenfeld,Color,88,Will Smith,English,USA,2002
Beowulf,Robert Zemeckis,Color,115,Robin Wright,English,USA,2007
Kung Fu Panda 3,Alessandro Carloni,Color,95,J.K. Simmons,English,USA,2016
Mission: Impossible - Ghost Protocol,Brad Bird,Color,133,Tom Cruise,English,USA,2011
Rise of the Guardians,Peter Ramsey,Color,97,Hugh Jackman,English,USA,2012
Fun with Dick and Jane,Dean Parisot,Color,90,John Michael Higgins,English,USA,2005
The Last Samurai,Edward Zwick,Color,154,Tom Cruise,English,USA,2003
Exodus: Gods and Kings,Ridley Scott,Color,150,Christian Bale,English,UK,2014
Star Trek,J.J. Abrams,Color,127,Chris Hemsworth,English,USA,2009
Spider-Man,Sam Raimi,Color,121,J.K. Simmons,English,USA,2002
How to Train Your Dragon 2,Dean DeBlois,Color,102,Gerard Butler,English,USA,2014
Gods of Egypt,Alex Proyas,Color,126,Gerard Butler,English,USA,2016
Stealth,Rob Cohen,Color,121,Sam Shepard,English,USA,2005
Watchmen,Zack Snyder,Color,215,Matt Frewer,English,USA,2009
Lethal Weapon 4,Richard Donner,Color,127,Jet Li,English,USA,1998
Hulk,Ang Lee,Color,138,Kevin Rankin,English,USA,2003
G.I. Joe: Retaliation,Jon M. Chu,Color,122,Channing Tatum,English,USA,2013
Sahara,Breck Eisner,Color,124,Matthew McConaughey,English,UK,2005
Final Fantasy: The Spirits Within,Hironobu Sakaguchi,Color,106,Steve Buscemi,English,USA,2001
Captain America: The First Avenger,Joe Johnston,Color,124,Chris Evans,English,USA,2011
The World Is Not Enough,Michael Apted,Color,128,Colin Salmon,English,UK,1999
Master and Commander: The Far Side of the World,Peter Weir,Color,138,James D'Arcy,English,USA,2003
The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,Color,115,Robert Pattinson,English,USA,2012
Happy Feet 2,George Miller,Color,100,Robin Williams,English,Australia,2011
The Incredible Hulk,Louis Leterrier,Color,135,Ty Burrell,English,USA,2008
Miami Vice,,Color,60,Don Johnson,English,USA,
The BFG,Steven Spielberg,Color,117,Mark Rylance,English,UK,2016
The Revenant,Alejandro G. Iñárritu,Color,156,Leonardo DiCaprio,English,USA,2015
Turbo,David Soren,Color,96,Ryan Reynolds,English,USA,2013
Rango,Gore Verbinski,Color,107,Johnny Depp,English,USA,2011
Penguins of Madagascar,Eric Darnell,Color,92,Benedict Cumberbatch,English,USA,2014
The Bourne Ultimatum,Paul Greengrass,Color,115,Matt Damon,English,USA,2007
Kung Fu Panda,Mark Osborne,Color,92,Angelina Jolie Pitt,English,USA,2008
Ant-Man,Peyton Reed,Color,117,Judy Greer,English,USA,2015
The Hunger Games: Catching Fire,Francis Lawrence,Color,146,Jennifer Lawrence,English,USA,2013
The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,Color,115,Robert Pattinson,English,USA,2012
Home,Tim Johnson,Color,94,Jim Parsons,English,USA,2015
War of the Worlds,Steven Spielberg,Color,116,Tom Cruise,English,USA,2005
Bad Boys II,Michael Bay,Color,147,Will Smith,English,USA,2003
Puss in Boots,Chris Miller,Color,90,Salma Hayek,English,USA,2011
Salt,Phillip Noyce,Color,101,Angelina Jolie Pitt,English,USA,2010
Noah,Darren Aronofsky,Color,138,Anthony Hopkins,English,USA,2014
The Adventures of Tintin,Steven Spielberg,Color,107,Toby Jones,English,USA,2011
Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,Color,142,Daniel Radcliffe,English,UK,2004
Australia,Baz Luhrmann,Color,165,Essie Davis,English,Australia,2008
After Earth,M. Night Shyamalan,Color,100,Will Smith,English,USA,2013
Dinosaur,Eric Leighton,Color,82,Alfre Woodard,English,USA,2000
Harry Potter and the Deathly Hallows: Part II,Matt Birch,Color,,Rupert Grint,English,UK,2011
Night at the Museum: Secret of the Tomb,Shawn Levy,Color,98,Robin Williams,English,USA,2014
Megamind,Tom McGrath,Color,95,J.K. Simmons,English,USA,2010
Harry Potter and the Sorcerer's Stone,Chris Columbus,Color,159,Daniel Radcliffe,English,UK,2001
R.I.P.D.,Robert Schwentke,Color,96,Ryan Reynolds,English,USA,2013
Godzilla Resurgence,Hideaki Anno,Color,120,Mark Chinnery,Japanese,Japan,2016
Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,Color,143,Johnny Depp,English,USA,2003
Harry Potter and the Deathly Hallows: Part I,Matt Birch,Color,,Rupert Grint,English,UK,2010
The Hunger Games: Mockingjay - Part 1,Francis Lawrence,Color,123,Jennifer Lawrence,English,USA,2014
The Da Vinci Code,Ron Howard,Color,174,Tom Hanks,English,USA,2006
Rio 2,Carlos Saldanha,Color,101,Miguel Ferrer,English,USA,2014
X-Men 2,Bryan Singer,Color,134,Hugh Jackman,English,Canada,2003
Fast Five,Justin Lin,Color,132,Paul Walker,English,USA,2011
Sherlock Holmes: A Game of Shadows,Guy Ritchie,Color,129,Robert Downey Jr.,English,USA,2011
Clash of the Titans,Louis Leterrier,Color,106,Liam Neeson,English,USA,2010
Total Recall,Paul Verhoeven,Color,113,Ronny Cox,English,USA,1990
The 13th Warrior,John McTiernan,Color,102,Tony Curran,English,USA,1999
The Bourne Legacy,Tony Gilroy,Color,135,Jeremy Renner,English,USA,2012
Batman & Robin,Joel Schumacher,Color,125,Michael Gough,English,USA,1997
How the Grinch Stole Christmas,Ron Howard,Color,110,Clint Howard,English,USA,2000
The Day After Tomorrow,Roland Emmerich,Color,124,Jake Gyllenhaal,English,USA,2004
Mission: Impossible II,John Woo,Color,123,Tom Cruise,English,USA,2000
The Perfect Storm,Wolfgang Petersen,Color,130,Karen Allen,English,USA,2000
Fantastic 4: Rise of the Silver Surfer,Tim Story,Color,92,Chris Evans,English,USA,2007
Life of Pi,Ang Lee,Color,127,Suraj Sharma,English,USA,2012
Ghost Rider,Mark Steven Johnson,Color,123,Nicolas Cage,English,USA,2007
Jason Bourne,Paul Greengrass,Color,123,Matt Damon,English,UK,2016
Charlie's Angels: Full Throttle,McG,Color,107,Demi Moore,English,USA,2003
Prometheus,Ridley Scott,Color,124,Michael Fassbender,English,USA,2012
Stuart Little 2,Rob Minkoff,Color,77,Nathan Lane,English,USA,2002
Elysium,Neill Blomkamp,Color,109,Matt Damon,English,USA,2013
The Chronicles of Riddick,David Twohy,Color,134,Vin Diesel,English,USA,2004
RoboCop,José Padilha,Color,117,Gary Oldman,English,USA,2014
Speed Racer,Lana Wachowski,Color,135,Scott Porter,English,USA,2008
How Do You Know,James L. Brooks,Color,121,Shelley Conn,English,USA,2010
Knight and Day,James Mangold,Color,117,Tom Cruise,English,USA,2010
Oblivion,Joseph Kosinski,Color,124,Morgan Freeman,English,USA,2013
Star Wars: Episode III - Revenge of the Sith,George Lucas,Color,140,Natalie Portman,English,USA,2005
Star Wars: Episode II - Attack of the Clones,George Lucas,Color,142,Natalie Portman,English,USA,2002
The Wolverine,James Mangold,Color,138,Hugh Jackman,English,USA,2013
Star Wars: Episode I - The Phantom Menace,George Lucas,Color,136,Natalie Portman,English,USA,1999
The Croods,Kirk De Micco,Color,98,Ryan Reynolds,English,USA,2013
Asterix at the Olympic Games,Frédéric Forestier,Color,116,Alain Delon,French,France,2008
Windtalkers,John Woo,Color,153,Nicolas Cage,English,USA,2002
The Huntsman: Winter's War,Cedric Nicolas-Troyan,Color,120,Chris Hemsworth,English,USA,2016
Teenage Mutant Ninja Turtles,Jonathan Liebesman,Color,101,Noel Fisher,English,USA,2014
Gravity,Alfonso Cuarón,Color,91,Phaldut Sharma,English,UK,2013
Dante's Peak,Roger Donaldson,Color,108,Jamie Renée Smith,English,USA,1997
Teenage Mutant Ninja Turtles: Out of the Shadows,Dave Green,Color,112,Stephen Amell,English,USA,2016
Fantastic Four,Josh Trank,Color,100,Tim Blake Nelson,English,USA,2015
Night at the Museum,Shawn Levy,Color,108,Robin Williams,English,USA,2006
San Andreas,Brad Peyton,Color,114,Dwayne Johnson,English,USA,2015
Tomorrow Never Dies,Roger Spottiswoode,Color,119,Vincent Schiavelli,English,UK,1997
The Patriot,Roland Emmerich,Color,142,Heath Ledger,English,USA,2000
Ocean's Twelve,Steven Soderbergh,Color,125,Brad Pitt,English,USA,2004
Mr. & Mrs. Smith,Doug Liman,Color,126,Brad Pitt,English,USA,2005
Insurgent,Robert Schwentke,Color,119,Kate Winslet,English,USA,2015
The Aviator,Martin Scorsese, Black and White,170,Leonardo DiCaprio,English,USA,2004
Gulliver's Travels,Rob Letterman,Color,85,James Corden,English,USA,2010
The Green Hornet,Michel Gondry,Color,119,Christoph Waltz,English,USA,2011
The A-Team,,Color,60,George Peppard,English,USA,
300: Rise of an Empire,Noam Murro,Color,102,Eva Green,English,USA,2014
The Smurfs,Raja Gosnell,Color,103,Mahadeo Shivraj,English,USA,2011
Home on the Range,Will Finn,Color,76,Steve Buscemi,English,USA,2004
Allegiant,Robert Schwentke,Color,120,Naomi Watts,English,USA,2016
Real Steel,Shawn Levy,Color,127,Hugh Jackman,English,USA,2011
The Smurfs 2,Raja Gosnell,Color,105,Jacob Tremblay,English,USA,2013
Speed 2: Cruise Control,Jan de Bont,Color,121,Jason Patric,English,USA,1997
Ender's Game,Gavin Hood,Color,114,Harrison Ford,English,USA,2013
Live Free or Die Hard,Len Wiseman,Color,129,Bruce Willis,English,USA,2007
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Color,171,Christopher Lee,English,New Zealand,2001
Around the World in 80 Days,Frank Coraci,Color,120,Jim Broadbent,English,USA,2004
Ali,Michael Mann, Black and White,165,Will Smith,English,USA,2001
The Cat in the Hat,Bo Welch,Color,82,Sean Hayes,English,USA,2003
Kingdom of Heaven,Ridley Scott,Color,194,Liam Neeson,English,USA,2005
Stuart Little,Rob Minkoff,Color,84,Chazz Palminteri,English,Germany,1999
The Princess and the Frog,Ron Clements,Color,97,Oprah Winfrey,English,USA,2009
The Martian,Ridley Scott,Color,151,Matt Damon,English,USA,2015
The Island,Michael Bay,Color,136,Scarlett Johansson,English,USA,2005
Town & Country,Peter Chelsom,Color,104,Del Zamora,English,New Line,2001
Gone in Sixty Seconds,Dominic Sena,Color,127,Nicolas Cage,English,USA,2000
Gladiator,Ridley Scott,Color,171,Djimon Hounsou,English,USA,2000
Minority Report,Steven Spielberg,Color,145,Tom Cruise,English,USA,2002
Harry Potter and the Chamber of Secrets,Chris Columbus,Color,174,Daniel Radcliffe,English,UK,2002
Casino Royale,Martin Campbell, Black and White,144,Eva Green,English,UK,2006
Planet of the Apes,Tim Burton,Color,119,Cary-Hiroyuki Tagawa,English,USA,2001
Terminator 2: Judgment Day,James Cameron,Color,153,Joe Morton,English,USA,1991
Public Enemies,Michael Mann,Color,140,Johnny Depp,English,USA,2009
American Gangster,Ridley Scott,Color,176,Denzel Washington,English,USA,2007
True Lies,James Cameron,Color,141,Jamie Lee Curtis,English,USA,1994
The Taking of Pelham 1 2 3,Tony Scott,Color,106,Denzel Washington,English,USA,2009
Little Fockers,Paul Weitz,Color,98,Robert De Niro,English,USA,2010
The Other Guys,Adam McKay,Color,116,Dwayne Johnson,English,USA,2010
Eraser,Chuck Russell,Color,115,Vanessa Williams,English,USA,1996
Django Unchained,Quentin Tarantino,Color,165,Leonardo DiCaprio,English,USA,2012
The Hunchback of Notre Dame,Gary Trousdale,Color,91,Demi Moore,English,USA,1996
The Emperor's New Groove,Mark Dindal,Color,78,Eartha Kitt,English,USA,2000
The Expendables 2,Simon West,Color,103,Jason Statham,English,USA,2012
National Treasure,Jon Turteltaub,Color,131,Nicolas Cage,English,USA,2004
Eragon,Stefen Fangmeier, Black and White,104,Djimon Hounsou,English,USA,2006
Where the Wild Things Are,Spike Jonze,Color,101,Catherine O'Hara,English,Germany,2009
Pan,Joe Wright,Color,111,Hugh Jackman,English,USA,2015
Epic,Chris Wedge,Color,102,Josh Hutcherson,English,USA,2013
The Tourist,Florian Henckel von Donnersmarck,Color,103,Johnny Depp,English,USA,2010
End of Days,Peter Hyams,Color,121,CCH Pounder,English,USA,1999
Blood Diamond,Edward Zwick,Color,143,Leonardo DiCaprio,English,Germany,2006
The Wolf of Wall Street,Martin Scorsese,Color,240,Leonardo DiCaprio,English,USA,2013
Batman Forever,Joel Schumacher,Color,121,Michael Gough,English,USA,1995
Starship Troopers,Paul Verhoeven,Color,129,Jake Busey,English,USA,1997
Cloud Atlas,Tom Tykwer,Color,172,Tom Hanks,English,Germany,2012
Legend of the Guardians: The Owls of Ga'Hoole,Zack Snyder,Color,101,Abbie Cornish,English,USA,2010
Catwoman,Pitof,Color,87,Frances Conroy,English,USA,2004
Hercules,Brett Ratner,Color,101,Dwayne Johnson,English,USA,2014
Treasure Planet,Ron Clements,Color,95,Joseph Gordon-Levitt,English,USA,2002
Land of the Lost,Brad Silberling,Color,102,Will Ferrell,English,USA,2009
The Expendables 3,Patrick Hughes,Color,131,Jason Statham,English,USA,2014
Point Break,Ericson Core,Color,114,Ray Winstone,English,USA,2015
Son of the Mask,Lawrence Guterman,Color,94,Jamie Kennedy,English,USA,2005
In the Heart of the Sea,Ron Howard,Color,122,Chris Hemsworth,English,USA,2015
The Adventures of Pluto Nash,Ron Underwood,Color,95,Rosario Dawson,English,USA,2002
Green Zone,Paul Greengrass,Color,115,Matt Damon,English,France,2010
The Peanuts Movie,Steve Martino,Color,88,Francesca Capaldi,English,USA,2015
The Spanish Prisoner,David Mamet,Color,110,Ben Gazzara,English,USA,1997
The Mummy Returns,Stephen Sommers,Color,130,Dwayne Johnson,English,USA,2001
Gangs of New York,Martin Scorsese,Color,216,Leonardo DiCaprio,English,USA,2002
The Flowers of War,Yimou Zhang,Color,146,Christian Bale,Mandarin,China,2011
Surf's Up,Ash Brannon,Color,85,Jeff Bridges,English,USA,2007
The Stepford Wives,Frank Oz,Color,93,Jon Lovitz,English,USA,2004
Black Hawk Down,Ridley Scott,Color,152,Ioan Gruffudd,English,USA,2001
The Campaign,Jay Roach,Color,85,Will Ferrell,English,USA,2012
The Fifth Element,Luc Besson,Color,126,Milla Jovovich,English,France,1997
Sex and the City 2,Michael Patrick King,Color,146,Chris Noth,English,USA,2010
The Road to El Dorado,Bibo Bergeron,Color,89,Frank Welker,English,USA,2000
Ice Age: Continental Drift,Steve Martino,Color,88,Peter Dinklage,English,USA,2012
Cinderella,Kenneth Branagh,Color,105,Hayley Atwell,English,USA,2015
The Lovely Bones,Peter Jackson,Color,135,Michael Imperioli,English,USA,2009
Finding Nemo,Andrew Stanton,Color,100,Alexander Gould,English,USA,2003
The Lord of the Rings: The Return of the King,Peter Jackson,Color,192,Orlando Bloom,English,USA,2003
The Lord of the Rings: The Two Towers,Peter Jackson,Color,172,Christopher Lee,English,USA,2002
Seventh Son,Sergey Bodrov,Color,102,Jeff Bridges,English,USA,2014
Lara Croft: Tomb Raider,Simon West,Color,100,Angelina Jolie Pitt,English,USA,2001
Transcendence,Wally Pfister,Color,119,Johnny Depp,English,UK,2014
Jurassic Park III,Joe Johnston,Color,92,Michael Jeter,English,USA,2001
Rise of the Planet of the Apes,Rupert Wyatt,Color,105,James Franco,English,USA,2011
The Spiderwick Chronicles,Mark Waters,Color,107,Martin Short,English,USA,2008
A Good Day to Die Hard,John Moore,Color,101,Bruce Willis,English,USA,2013
The Alamo,John Lee Hancock,Color,137,Dennis Quaid,English,USA,2004
The Incredibles,Brad Bird,Color,115,Holly Hunter,English,USA,2004
Cutthroat Island,Renny Harlin,Color,124,Christopher Masterson,English,USA,1995
Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus,Color,118,Logan Lerman,English,UK,2010
