year,category,winner,nominee,detail
1955,Best Children'S Program,0,Zoo Parade,NBC
1955,Best Choreographer,0,Max Liebman Spectaculars,NBC
1955,Best Choreographer,0,Texaco Star Theatre,NBC
1955,Best Choreographer,1,The Jackie Gleason Show,CBS
1955,Best Choreographer,0,Your Hit Parade,NBC
1955,Best Situation Comedy Series,0,I Love Lucy,CBS
1955,Best Situation Comedy Series,1,Make Room for Daddy,ABC
1955,Best Situation Comedy Series,0,Mr. Peepers,NBC
1955,Best Situation Comedy Series,0,Our Miss Brooks,CBS
1955,Best Situation Comedy Series,0,Private Secretary,CBS
1955,Best Situation Comedy Series,0,The George Burns and Gracie Allen Show,CBS
1955,Best Written Comedy Material,0,I Love Lucy,CBS
1955,Best Written Comedy Material,0,Make Room for Daddy,ABC
1955,Best Written Comedy Material,0,Mr. Peepers,NBC
1955,Best Written Comedy Material,1,The George Gobel Show,NBC
1955,Best Written Comedy Material,0,The Jack Benny Show,CBS
1955,Best Written Comedy Material,0,The Jackie Gleason Show,CBS
1955,Best Daytime Program,1,Art Linkletter's House Party,CBS
1955,Best Daytime Program,0,Robert Q. Lewis,CBS
1955,Best Daytime Program,0,The Betty White Show,NBC
1955,Best Daytime Program,0,The Bob Crosby Show,CBS
1955,Best Daytime Program,0,The Garry Moore Show,CBS
1955,"Best Cultural, Religious Or Educational Program",0,Life Is Worth Living,DUMONT
1955,"Best Cultural, Religious Or Educational Program",0,Meet The Press,NBC
1955,"Best Cultural, Religious Or Educational Program",1,Omnibus,CBS
1955,"Best Cultural, Religious Or Educational Program",0,Person To Person,CBS
1955,"Best Cultural, Religious Or Educational Program",0,See It Now,CBS
1955,Best Direction,0,Four Star Playhouse,CBS
1955,Best Direction,1,Studio One,CBS
1955,Best Direction,0,The Loretta Young Show,NBC
1955,Best Direction,0,U.S. Steel Hour,ABC
1955,Best Direction,0,Waterfront,CBS
1955,Best Direction,0,Your Hit Parade,NBC
1955,Best Direction Of Photography,0,Cavalcade of America,SYN
1955,Best Direction Of Photography,0,Dragnet,NBC
1955,Best Direction Of Photography,1,Medic,NBC
1955,Best Direction Of Photography,0,My Little Margie,NBC
1955,Best Direction Of Photography,0,Schlitz Playhouse of Stars,CBS
1955,Best Direction Of Photography,0,The Loretta Young Show,NBC
1955,Best Dramatic Series,0,Four Star Playhouse,CBS
1955,Best Dramatic Series,0,Medic,NBC
1955,Best Dramatic Series,0,Philco TV Playhouse,NBC
1955,Best Dramatic Series,0,Studio One,CBS
1955,Best Dramatic Series,1,U.S. Steel Hour,ABC
1955,Best Engineering Effects,0,The Jackie Gleason Show,CBS
1955,Best Technical Achievement,1,Color TV Policy and Burbank Color,NBC
1955,Best Technical Achievement,0,Ozzie and Harriet Production Facilities,NBC
1955,Best Technical Achievement,0,West Coast Color TV Facilities,CBS
1955,Best Female Singer,0,Peggy King,
1955,Best Female Singer,0,Gisele MacKenzie,
1955,Best Female Singer,1,Dinah Shore,
1955,Best Female Singer,0,Jo Stafford,
1955,Best Female Singer,0,Jane Froman,
1955,Best Individual Program Of The Year,0,Diamond Jubilee of Light,ABC/CBS/NBC/DUMON
1955,Best Individual Program Of The Year,1,Disneyland,ABC
1955,Best Individual Program Of The Year,0,Medic,NBC
1955,Best Individual Program Of The Year,0,Shower of Stars,CBS
1955,Best Individual Program Of The Year,0,Studio One,CBS
1955,Best Male Singer,0,Gordon MacRae,
1955,Best Male Singer,0,Eddie Fisher,
1955,Best Male Singer,0,Frankie Laine,
1955,Best Male Singer,0,Tony Martin,
1955,Best Male Singer,1,Perry Como,
1955,Best Original Music Composed For Tv,0,"Amahl and the Night Visitors, Hallmark Hall of Fam",NBC
1955,Best Original Music Composed For Tv,0,Diamond Jubilee of Light,ABC/CBS/NBC/DUMON
1955,Best Original Music Composed For Tv,1,Dragnet,NBC
1955,Best Original Music Composed For Tv,0,Medic,NBC
1955,Best Original Music Composed For Tv,0,Shower of Stars,CBS
1955,Best Scoring Of A Dramatic Or Variety Program,0,Colgate Comedy Hour,NBC
1955,Best Scoring Of A Dramatic Or Variety Program,1,Diamond Jubilee of Light,ABC/CBS/NBC/DUMON
1955,Best Scoring Of A Dramatic Or Variety Program,0,Satins and Spurs,ABC/CBS/NBC/DUMON
1955,Best Scoring Of A Dramatic Or Variety Program,0,Shower of Stars,CBS
1955,Best Scoring Of A Dramatic Or Variety Program,0,Texaco Star Theatre,NBC
1955,Best Variety Series Including Musical Varieties,1,Disneyland,ABC
1955,Best Variety Series Including Musical Varieties,0,The George Gobel Show,NBC
1955,Best Variety Series Including Musical Varieties,0,The Jack Benny Show,CBS
1955,Best Variety Series Including Musical Varieties,0,The Jackie Gleason Show,CBS
1955,Best Variety Series Including Musical Varieties,0,Toast of the Town,CBS
1955,Best Variety Series Including Musical Varieties,0,Your Hit Parade,NBC
1955,Best Mystery Or Intrigue Series,1,Dragnet,NBC
1955,Best Mystery Or Intrigue Series,0,Foreign Intrigue,NBC
1955,Best Mystery Or Intrigue Series,0,I Led Three Lives,SYN
1955,Best Mystery Or Intrigue Series,0,Racket Squad,SYN
1955,Best Mystery Or Intrigue Series,0,Waterfront,SYN
1955,Best News Reporter Or Commentator,0,Eric Sevareid,
1955,Best News Reporter Or Commentator,0,John Cameron Swayze,
1955,Best News Reporter Or Commentator,0,Clete Roberts,
1955,Best News Reporter Or Commentator,1,John Daly,
1955,Best News Reporter Or Commentator,0,Douglas Edwards,
1955,Best Sports Program,0,Professional Football,DUMONT
1955,Best Television Film Editing,1,Disneyland,ABC
1955,Best Television Film Editing,0,Disneyland,ABC
1955,Best Television Film Editing,0,Four Star Playhouse,CBS
1955,Best Television Film Editing,0,Medic,NBC
1955,Best Television Film Editing,0,Schlitz Playhouse of Stars,CBS
1955,Best Television Sound Editing,1,Dragnet,NBC
1955,Best Television Sound Editing,0,Medic,NBC
1955,Best Television Sound Editing,0,Ramar of the Jungle,SYN
1955,Best Television Sound Editing,0,Rin-Tin-Tin,ABC
1955,Best Television Sound Editing,0,Waterfront,CBS
1955,Best Western Or Adventure Series,0,Annie Oakley,SYN
1955,Best Western Or Adventure Series,0,Death Valley Days,CBS
1955,Best Western Or Adventure Series,1,Stories of the Century,SYN
1955,Best Western Or Adventure Series,0,The Adventures of Wild Bill Hickok,SYN
1955,Best Western Or Adventure Series,0,The Roy Rogers Show,NBC
1955,Best Written Dramatic Material,0,Climax,CBS
1955,Best Written Dramatic Material,0,Four Star Playhouse,CBS
1955,Best Written Dramatic Material,0,Medic,NBC
1955,Best Written Dramatic Material,0,Philco TV Playhouse,NBC
1955,Best Written Dramatic Material,1,Studio One,CBS
1956,Best Actor-Single Performance,0,Jose Ferrer,Cyrano de Bergerac (Producers' Showcase)
1956,Best Actor-Single Performance,0,Ralph Bellamy,Fearful Decision (U.S. Steel Hour)
1956,Best Actor-Single Performance,0,Everett Sloane,Patterns (Kraft Theatre)
1956,Best Actor-Single Performance,0,Barry Sullivan,The Caine Mutiny Court Martial (Ford Star Jubilee)
1956,Best Actor-Single Performance,1,Lloyd Nolan,The Caine Mutiny Court Martial (Ford Star Jubilee)
1956,Best Actress-Single Performance,0,Eva Marie Saint,Our Town (Producers' Showcase)
1956,Best Actress-Single Performance,1,Mary Martin,Peter Pan (Producers' Showcase)
1956,Best Actress-Single Performance,0,JESSICA TANDY,The Fourposter (Producers' Showcase)
1956,Best Actress-Single Performance,0,Loretta Young,The Loretta Young Show
1956,Best Actress-Single Performance,0,Julie Harris,Wind From The South (U.S. Steel Hour)
1956,Best Action Or Adventure Series,0,ALFRED HITCHCOCK PRESENTS,CBS
1956,Best Action Or Adventure Series,1,Disneyland,ABC
1956,Best Action Or Adventure Series,0,Dragnet,NBC
1956,Best Action Or Adventure Series,0,Gunsmoke,CBS
1956,Best Action Or Adventure Series,0,The Line-Up,CBS
1956,Best Actor-Continuing Performance,0,Robert Young,Father Knows Best
1956,Best Actor-Continuing Performance,0,DANNY THOMAS,Make Room for Daddy
1956,Best Actor-Continuing Performance,0,Bob Cummings,The Bob Cummings Show
1956,Best Actor-Continuing Performance,0,Jackie Gleason,The Honeymooners
1956,Best Actor-Continuing Performance,1,Phil Silvers,The Phil Silvers Show
1956,Best Actor In A Supporting Role,0,Carl Reiner,Caesar's Hour
1956,Best Actor In A Supporting Role,0,William Frawley,I Love Lucy
1956,Best Actor In A Supporting Role,0,Ed Begley,Patterns (Kraft Theatre)
1956,Best Actor In A Supporting Role,0,Cyril Ritchard,Peter Pan (Producers' Showcase)
1956,Best Actor In A Supporting Role,1,Art Carney,The Honeymooners
1956,Best Actress-Continuing Performance,1,Lucille Ball,I Love Lucy
1956,Best Actress-Continuing Performance,0,Jean Hagen,Make Room for Daddy
