LotArea,BedroomAbvGr,GarageArea,OverallCond,SalePrice
10264,3,472,5,214000
10921,3,432,5,94750
10625,2,366,5,83000
10603,3,480,7,205000
9206,3,476,5,178000
7018,4,410,5,118964
10402,3,740,5,198900
7758,4,240,4,169500
9375,3,648,5,250000
10800,2,273,7,100000
6000,2,250,5,115000
11751,3,546,6,190000
9525,4,325,4,136900
7750,3,400,5,180000
9965,4,792,5,383970
21000,3,450,5,217000
7259,3,180,8,259500
3230,2,440,5,176000
11616,3,288,5,139000
8536,2,430,5,155000
12376,5,594,5,320000
8461,3,390,5,163990
21453,1,540,5,180000
6060,3,264,5,100000
9464,3,288,7,136000
7892,2,530,5,153900
17043,3,435,5,181000
4928,2,440,5,128000
7590,3,453,5,155000
8973,3,750,7,150000
14200,4,487,6,226000
12224,3,390,5,244000
7388,3,624,6,150750
6853,2,471,5,220000
10335,3,440,6,180000
10400,3,530,6,174000
10355,3,318,5,143000
11070,5,766,5,171000
9066,3,660,5,230000
15426,3,470,5,231500
11645,3,660,5,260000
8520,4,720,4,166000
10335,3,577,5,204000
9100,6,504,5,125000
2522,3,380,5,130000
6120,2,180,7,105000
9505,3,434,5,222500
6240,3,240,4,115000
10356,3,440,6,122000
13891,2,866,5,372402
14803,4,495,5,190000
13500,1,564,7,235000
11340,4,312,5,125000
7200,2,625,7,109500
12003,4,680,5,269500
12552,3,678,5,254900
19378,4,576,5,320000
11120,3,516,6,162500
13688,3,726,5,412500
12182,3,532,5,220000
5400,3,216,7,152000
10708,2,303,5,190000
10562,3,789,5,325624
8244,3,440,5,183500
16669,2,511,6,228000
12358,2,660,6,128500
31770,3,528,5,215000
5306,2,504,7,239000
10197,3,504,5,163000
12416,3,616,5,184000
12615,4,576,7,243000
10029,4,521,5,211000
13650,4,451,5,172500
17423,1,1166,5,501837
8520,2,480,6,100000
2117,3,440,5,177000
7588,4,216,6,200100
9060,3,252,6,120000
11426,3,484,5,200000
7438,3,576,8,127000
22950,4,840,9,475000
9947,3,497,5,173000
10410,3,180,7,135000
7018,2,528,5,153337
4923,0,682,5,286000
10570,3,440,8,315000
7472,4,484,9,184000
9017,3,666,5,192000
2522,3,380,5,130000
7180,3,352,7,127000
2280,3,440,6,148500
9416,3,786,5,311872
25419,4,795,4,235000
9591,3,856,5,274900
8546,2,440,5,140000
10125,3,473,6,171500
7000,2,398,6,112000
4438,1,420,5,149000
3500,2,240,7,110000
11851,3,500,5,180500
13673,3,349,5,143900
12493,3,312,5,141000
14364,3,454,5,277000
8250,3,504,7,145000
10420,3,460,5,186000
8640,3,644,5,252678
13568,3,576,5,156000
10900,3,299,7,161750
10011,2,447,6,134450
8450,3,484,5,210000
9906,3,210,4,107000
15660,3,431,9,311500
3010,2,438,5,167240
8990,2,675,5,204900
8068,4,390,5,200000
11475,3,434,6,179900
10500,2,576,6,97000
13472,3,968,5,386250
1680,3,280,5,112000
9950,4,721,5,290000
1869,2,280,6,106000
8521,3,336,5,125000
3182,2,430,5,192500
8760,3,312,6,148000
15138,4,810,5,403000
1680,2,288,5,94500
10650,3,308,6,128200
7851,4,440,5,216500
1680,2,264,3,89500
8773,3,494,5,185500
9453,3,457,7,194500
12030,3,818,5,318000
8741,3,220,4,113000
9000,3,750,5,262500
5000,3,352,4,79000
10762,3,288,6,120000
8880,3,463,5,205000
10400,3,604,5,241500
9142,4,440,8,137000
11310,2,451,5,140000
11317,3,500,5,180000
159000,4,389,7,277000
4750,2,538,5,235000
8366,3,520,5,173000
9350,3,309,7,158000
8400,3,294,6,145000
8738,4,429,5,230000
8791,3,673,5,207500
8814,3,660,5,220000
12435,3,564,5,231500
12702,2,308,5,97000
19296,3,884,5,176000
9588,3,868,5,276000
8471,3,492,7,151000
5500,3,484,7,130000
5232,2,504,5,73000
12090,3,576,6,175500
11207,3,413,5,185000
8400,4,240,8,179500
6900,2,924,6,120500
7917,3,504,7,148000
10728,3,1053,5,266000
39104,2,439,7,241500
11764,4,671,7,290000
9600,3,338,6,139000
8314,2,264,7,124500
7264,3,672,7,205000
9196,3,573,5,201000
19138,2,400,5,141000
14450,3,732,5,415298
10005,4,505,5,192000
11287,3,575,6,228500
7200,2,572,5,185000
5063,2,626,5,207500
9612,3,898,5,244600
8012,2,529,5,179200
4251,2,528,5,164700
9786,3,440,7,159000
9819,3,280,5,122000
8730,3,384,7,153575
15611,3,685,5,233230
11409,3,281,4,131000
16659,3,539,7,235000
9600,3,418,5,167000
7937,3,588,6,142500
13710,4,282,5,152000
7399,3,576,5,239000
11700,3,539,6,175000
14000,3,300,8,158500
15750,2,375,5,157000
16226,4,683,5,267000
13704,3,843,5,205000
9800,3,552,7,149900
18386,3,870,9,295000
10386,3,888,5,305900
13474,4,746,5,225000
12342,1,539,5,82500
12378,3,708,5,360000
7685,3,420,5,165600
8000,2,240,6,132000
7800,3,410,7,119900
215245,3,513,5,375000
9600,3,546,7,178000
7795,3,432,5,188500
13005,4,484,7,260000
9000,3,1025,5,270000
9900,4,656,5,260000
14115,3,588,5,187500
16259,4,840,5,342643
12099,4,872,5,354000
10380,4,576,5,301000
5820,3,220,8,126175
11275,5,564,7,242000
5000,2,360,6,87000
10846,1,473,5,324000
11600,3,292,5,145250
11888,5,441,6,214500
6402,3,189,5,78000
10624,6,352,4,119000
8176,3,308,6,139000
10655,3,880,5,284000
8198,2,484,5,207000
9042,3,472,5,192000
164660,3,529,6,228950
14157,3,676,5,377426
9135,3,532,5,214000
14145,3,440,7,202500
12400,3,297,7,155000
14191,4,431,5,202900
8400,2,294,4,82000
8544,2,400,4,87500
8849,2,564,5,266000
2592,3,336,3,85000
6435,3,312,5,140200
12772,2,301,8,151500
17600,3,498,5,157500
2448,2,474,5,154000
20431,4,706,5,437154
7820,2,617,5,318061
5271,2,445,5,190000
9084,3,200,6,95000
8520,2,484,8,105900
8400,2,240,5,140000
11249,3,521,5,177500
9248,3,400,6,173000
4224,3,528,5,134000
6930,3,288,4,130000
12011,3,592,5,280000
7540,2,470,6,156000
9144,3,240,5,145000
7301,4,672,5,198500
1680,2,264,8,118000
18800,3,566,5,190000
10690,3,468,7,147000
9500,3,514,5,159000
9150,3,296,5,165000
7800,2,244,6,132000
9830,3,576,7,162000
8121,3,460,5,172400
17120,4,680,4,134432
7175,2,264,5,125000
10634,3,270,6,123000
8200,4,434,5,219500
8846,2,576,5,148000
11143,4,610,5,340000
11394,1,834,2,394432
8123,3,463,5,179000
5000,3,308,6,127000
7200,2,572,5,187750
9245,3,639,5,213500
9000,2,360,3,76000
53107,3,501,5,240000
3182,2,430,5,192000
7200,3,352,6,125000
9382,3,577,5,191000
12474,3,846,5,426000
8405,4,384,8,119000
12209,3,560,5,215000
8339,3,294,7,106500
10134,2,240,6,109000
9571,3,596,6,129000
7200,2,600,5,123000
7590,4,264,5,169500
8967,2,338,2,67000
8125,2,438,5,241000
14963,1,500,5,245500
8767,3,400,5,164990
10200,2,240,8,108000
12090,4,420,5,258000
10364,3,373,5,168000
9991,3,490,4,150000
10480,3,240,5,115000
15576,4,308,7,177000
14154,3,947,5,280000
10800,3,836,5,339750
9571,3,350,3,60000
34650,3,572,5,145000
4403,2,484,5,222000
8960,2,360,6,115000
11228,3,678,5,228000
8899,3,396,5,181134
7844,3,440,7,149500
22420,4,864,6,239000
8160,3,240,6,126000
8450,3,304,6,142000
7060,2,784,5,206300
16635,3,529,7,215000
21750,2,520,5,113000
9200,4,696,5,315000
9000,2,297,5,139000
3378,3,240,8,135000
12800,2,569,5,275000
8593,3,352,6,109008
6762,2,628,5,195400
11457,3,576,5,175000
1680,2,264,5,85400
1920,2,440,5,122500
10839,3,470,5,181000
10667,3,550,6,212000
4400,2,440,8,116000
6000,2,180,7,119000
4280,2,352,6,90350
12354,3,528,8,110000
15431,2,672,5,555000
6240,3,360,7,162900
3922,2,648,5,172500
8750,4,493,5,210000
9855,3,480,5,127500
16492,2,578,6,190000
11214,4,431,5,199900
8600,3,198,6,119500
6000,2,308,7,120000
5684,2,270,8,110000
70761,2,576,5,280000
9303,3,422,5,204000
9000,3,676,5,210000
9297,4,560,5,188000
9600,3,528,6,175500
4571,4,513,5,98000
53227,2,529,6,256000
5100,3,228,7,161000
7015,3,352,4,110000
8004,3,552,5,263435
7200,3,576,9,155000
8281,3,360,5,62383
11988,3,240,7,188700
3072,2,398,5,178740
10628,2,526,5,167000
9480,3,312,7,146500
11428,3,866,5,250000
9291,3,506,5,187000
6820,1,528,5,212000
11952,3,534,6,190000
3675,2,525,5,148000
14977,2,908,5,440000
5330,2,499,5,251000
8480,2,624,6,132500
13125,3,508,5,208900
13693,3,694,5,380000
10637,3,826,5,297000
5925,2,672,7,89471
16033,3,772,5,326000
11846,2,874,5,374000
2500,4,164,8,155000
4500,2,402,5,164000
7758,3,264,7,132500
9600,3,264,7,147000
10289,3,515,7,156000
12243,3,487,6,175000
10800,3,520,4,160000
1526,1,286,8,86000
2665,3,336,6,115000
9490,3,240,7,133000
15578,3,429,5,172785
7931,3,308,6,155000
5784,2,273,8,91300
12692,4,546,5,430000
9120,4,240,6,184000
7800,3,288,7,130000
7535,2,297,7,120000
1890,3,264,5,113000
9803,3,603,5,226700
9170,2,461,7,140000
15602,1,484,8,289000
2308,3,440,5,147000
7596,4,400,5,124500
9554,3,471,5,215000
7862,2,676,5,208300
9600,3,360,9,161000
9600,3,270,6,124500
14559,2,288,7,164900
6792,2,474,5,202665
9100,3,624,5,129900
9187,3,484,5,134000
10594,2,200,5,96500
12220,3,900,5,402861
10448,3,583,6,158000
10208,3,889,5,265000
9531,3,546,5,211000
10918,3,282,9,234000
11988,3,336,6,150000
5000,3,420,7,159000
40094,3,884,5,184750
11787,3,834,5,315750
7500,3,453,5,176000
13300,2,252,7,132000
14948,3,858,5,446261
32668,4,484,3,200624
10200,3,600,5,175000
6155,3,502,8,128000
7200,2,392,7,107500
9056,3,403,5,178000
8924,3,527,5,188000
12735,3,576,5,111250
11553,3,336,5,158000
11423,3,670,5,272000
14601,2,765,5,315000
11000,4,648,5,248000
10140,3,583,5,213250
4058,1,367,5,133000
17104,3,426,5,179665
13837,4,786,5,229000
8737,3,440,7,210000
7244,2,624,7,129500
8235,2,720,7,125000
9375,4,615,5,263000
4043,2,440,6,140000
6000,3,288,6,112500
11146,3,908,5,255500
8777,2,520,5,108000
10625,3,871,5,284000
6380,2,280,6,113000
14850,2,299,5,141000
11040,3,570,6,108000
21872,3,406,5,175000
3196,2,420,5,234000
11341,3,528,6,121500
10010,2,418,5,170000
21780,4,396,7,185000
13346,4,590,5,268000
6858,4,216,4,128000
11198,4,656,5,325000
10171,3,532,5,214000
12327,1,612,8,316600
7032,2,600,5,135960
13101,6,576,5,142600
7332,2,288,6,120000
13159,3,650,5,224500
9967,3,400,5,170000
10500,3,288,7,139000
8480,2,336,5,118500
6292,3,216,7,145000
11777,3,564,6,164500
3604,2,540,5,146000
12150,4,352,5,131500
14585,3,572,6,181900
12704,3,1390,5,253293
13500,3,880,9,325000
6120,3,240,7,133000
11443,2,880,5,369900
10267,2,275,7,130000
8740,2,528,6,137000
25095,1,452,8,143000
9100,2,308,6,79500
8320,3,520,5,185900
13478,3,842,5,451950
6600,2,816,8,138000
4435,1,420,5,140000
7990,3,280,6,110000
11302,3,758,5,319000
3600,3,216,7,114504
3922,2,648,5,194201
12984,3,621,6,217500
1950,3,452,6,151000
10927,3,736,5,275000
9000,3,544,6,141000
10041,3,506,5,220000
3182,2,480,5,151000
12803,3,530,5,221000
13600,3,486,6,205000
12464,3,576,5,152000
7800,3,230,8,225000
12168,4,380,6,359100
7943,3,261,5,118500
11050,3,736,5,313000
10395,3,564,6,148000
11885,3,531,5,261500
8800,3,480,7,137500
7861,3,393,5,183200
7227,2,528,6,105500
11694,3,774,5,314813
12244,4,749,5,305000
10800,4,624,7,240000
7064,3,484,6,135000
2117,2,440,5,168500
10400,4,484,5,165150
10000,3,440,6,160000
12342,3,286,5,139900
9600,3,364,6,153000
11606,5,504,5,135000
9020,3,520,5,168500
9000,3,240,6,124000
4590,2,627,5,209500
11900,3,544,5,82500
9250,3,260,7,139400
6979,0,576,5,144000
6000,3,256,4,93000
3982,1,648,5,264561
12677,1,588,5,274000
7050,3,650,5,226000
13860,4,538,7,345000
10793,4,462,5,152000
9187,2,478,5,370878
10530,3,576,5,143250
7200,3,420,5,98300
10452,3,495,5,155000
7700,4,442,5,155000
8125,3,562,6,205950
9084,4,296,5,108000
8750,2,512,5,191000
10320,3,216,7,135000
10437,2,839,6,350000
1680,3,264,5,88000
10007,3,312,7,145500
7200,3,270,6,149000
17503,3,330,5,97500
9937,3,480,7,167000
12384,3,550,7,197900
46589,4,711,7,402000
13560,2,576,3,110000
10012,3,588,5,137500
20896,1,1134,5,423000
11194,3,504,5,230500
18450,3,596,5,129000
8125,3,575,5,193500
14175,3,576,6,168000
11600,2,252,5,137500
8633,3,540,5,173500
6629,3,300,6,103600
11250,3,546,6,165000
14442,3,416,7,257500
9200,3,384,6,140000
2289,3,440,6,148500
9600,4,779,2,87000
9022,2,240,8,109500
11844,3,834,5,372500
9945,3,572,5,128500
8012,2,264,5,143000
4500,3,281,5,159434
2887,2,431,5,173000
11248,3,702,5,285000
16770,4,486,5,221000
5062,3,577,5,207500
10207,3,578,6,227875
5105,2,480,5,148800
8089,2,567,6,392000
7577,2,460,5,194700
4426,1,420,5,141000
21535,4,832,6,755000
26178,4,628,5,335000
5400,2,326,6,108480
6120,3,576,6,141500
13811,2,551,6,176000
6000,2,205,7,89000
6420,2,308,7,123500
8450,3,336,8,138500
4282,2,530,5,196000
14331,3,765,5,312500
9600,3,528,5,140000
12438,4,666,5,361919
7630,4,672,9,140000
8400,3,606,5,213000
115149,2,739,5,302000
6240,2,550,5,254000
9018,3,400,5,179540
7162,3,408,7,109900
8712,2,384,7,102776
4671,2,472,5,189000
9873,3,576,5,129000
13517,3,475,8,130500
10140,3,478,5,165000
10800,3,704,8,159500
10000,3,439,6,157000
10542,3,983,5,341000
9920,3,300,6,128500
6563,2,564,5,275000
4426,1,420,5,143000
8120,3,463,7,124500
8172,4,548,6,135000
13286,3,768,5,320000
6960,3,660,6,120500
21695,3,540,9,222000
7314,2,632,5,194500
11475,4,888,5,110000
6240,2,539,5,103000
5389,2,608,5,236500
9590,3,438,5,187500
11404,3,541,5,222500
10000,3,264,6,131400
8978,3,300,5,108000
10800,2,320,7,163000
8544,2,400,4,93500
10463,3,800,5,239900
9313,3,572,5,190000
9600,2,360,7,132000
6768,3,288,8,142000
8450,3,539,5,179000
12886,3,480,6,175000
5395,2,462,5,180000
8963,4,831,9,299800
8795,4,554,5,236000
11700,4,864,7,265979
10593,3,527,5,260400
8405,4,240,3,98000
7750,3,400,5,162000
9236,3,576,5,217000
10240,3,878,5,275500
7930,3,440,8,156000
3230,3,440,5,172500
10769,3,578,5,212000
11616,3,440,5,158900
2280,3,440,5,179400
12257,4,752,5,290000
9100,2,300,6,127500
6911,2,440,5,100000
8640,3,614,5,215200
9430,3,856,5,337000
9549,2,481,5,270000
14587,2,592,5,264132
10421,3,496,5,196500
12508,4,423,7,160000
9100,3,484,5,216837
53504,4,841,5,538000
7252,2,576,5,134900
8877,2,396,5,102000
7819,3,672,5,107000
10150,2,275,5,114500
14226,3,895,5,395000
4500,2,412,5,162000
11210,3,865,5,221500
13350,3,440,5,142500
8400,4,630,5,144000
10530,2,504,5,135000
7875,3,402,5,176000
7153,3,484,5,175900
16285,3,605,5,187100
9101,1,602,6,165500
9790,3,457,5,161500
10800,4,416,6,139000
10142,4,618,5,233000
6000,2,281,7,107900
12205,5,444,8,187500
3182,2,397,5,160200
11333,3,539,5,146800
9920,3,455,5,269790
9158,3,474,5,225000
10832,3,409,5,194500
8400,3,476,6,171000
8197,3,528,5,143500
7677,2,240,5,110000
13518,4,820,5,485000
7200,3,240,7,175000
12798,4,603,5,200000
4800,2,440,7,109900
8199,3,410,5,189000
13891,4,1020,5,582933
9000,2,286,5,118000
12274,3,554,5,227680
9750,3,384,5,135500
21384,3,528,6,223500
13400,3,484,5,159950
8100,2,360,5,106000
10140,3,484,6,181000
4438,1,420,5,144500
8712,2,504,5,55993
9750,4,301,6,157900
8248,3,280,7,116000
12137,3,598,5,224900
11425,2,275,6,137000
13265,3,857,5,271000
8816,3,440,7,155000
6371,2,484,5,224000
7226,3,595,5,183000
6000,2,576,4,93000
12394,3,433,5,225000
9900,3,240,7,139500
11216,3,776,5,232600
14803,2,1220,5,385000
8529,3,527,5,189000
28698,3,538,5,185000
2544,2,480,5,147400
11900,3,458,5,166000
3180,2,480,5,151000
9548,3,613,6,237000
10004,3,472,6,167000
7875,3,456,6,139950
9600,2,436,7,128000
8100,2,812,6,153500
1680,2,264,5,100000
9525,3,352,6,144000
11767,3,240,6,130500
12155,4,400,8,140000
10440,3,686,8,157500
9020,3,490,7,174900
12665,4,720,8,153900
16647,3,611,5,171000
9317,3,425,5,213000
15523,3,338,6,133500
45600,5,360,8,240000
9600,3,512,7,187000
4435,1,420,5,131500
3196,2,400,5,215000
7128,4,240,5,164000
12095,3,645,6,158000
17920,3,454,4,170000
6897,3,260,8,127000
10970,3,576,6,147000
8125,3,343,5,174000
10400,3,479,5,152000
11029,4,619,7,250000
7642,3,216,8,189950
11625,3,504,4,131500
9672,3,480,5,152000
7931,3,672,5,132500
8640,3,529,5,250580
8750,3,902,6,148500
10656,3,870,5,248900
6970,3,544,5,129000
14762,2,672,6,169000
9938,3,574,5,236000
6600,2,308,5,109500
8750,3,523,5,200500
8892,3,414,7,116000
12144,3,288,7,133000
5720,3,200,6,66500
9000,4,550,5,303477
25286,3,648,5,132250
8834,4,738,5,350000
11782,3,576,7,148000
7000,3,336,8,136500
7024,2,450,5,157000
13758,3,400,5,187500
9636,3,389,5,178000
6204,5,440,5,118500
7150,3,288,5,100000
5119,2,506,5,328900
8393,4,588,5,145000
16466,3,300,7,135500
15865,4,621,6,268000
12160,2,505,4,149500
8064,3,576,7,122900
11184,3,440,5,172500
8414,3,264,8,154500
13284,3,354,5,165000
7018,4,400,5,118858
7056,4,483,5,140000
8765,2,327,6,106500
7018,6,528,5,142953
12919,2,820,5,611657
6993,3,288,7,135000
7340,2,684,6,110000
8712,2,756,7,153000
7875,3,393,5,180000
14859,3,690,5,240000
6173,3,288,6,125500
9920,3,280,5,128000
13501,3,865,5,255000
11500,3,180,7,250000
8885,2,484,5,131000
12589,3,390,5,174000
11600,5,480,5,154300
9286,3,252,7,143500
6120,3,450,7,88000
6270,4,871,6,145000
3000,2,528,5,173733
2001,3,286,5,75000
9000,1,308,3,35311
17140,3,284,6,135000
13125,4,833,5,238000
11029,3,601,8,176500
8462,3,471,5,201000
10237,3,397,5,169990
8012,2,533,5,193000
10240,3,612,6,207500
15611,3,540,6,175000
11999,4,656,5,285000
9900,4,486,5,176000
11838,3,522,5,236500
13006,4,642,5,222000
8925,3,610,5,201000
9100,2,429,6,117500
11670,3,788,5,320000
8487,3,570,5,190000
27650,4,505,7,242000
5825,1,528,5,79900
10083,2,555,5,184900
9675,3,689,5,253000
8760,3,868,5,239799
24090,4,349,7,244400
12640,4,574,5,150900
8755,3,390,5,214000
25000,4,576,4,143000
14375,3,525,6,137500
8820,2,456,6,124900
8163,3,796,6,143000
14536,3,808,5,270000
14006,3,474,5,192500
9360,3,676,7,197500
7200,3,720,8,129000
7800,3,300,5,119900
7200,2,396,8,133900
11075,4,530,4,172000
7136,4,492,6,145000
1300,2,462,6,124000
7420,3,576,5,132000
8450,3,531,5,185000
2572,3,484,5,155000
12227,4,619,7,272000
2308,3,440,6,155000
11923,2,702,5,239000
11316,4,510,5,214900
10237,3,393,5,178900
9600,2,256,7,160000
7390,3,260,7,135000
10382,2,264,5,140000
2268,2,474,5,173000
7892,2,264,5,99500
11639,3,480,5,182000
11414,3,532,8,167500
2651,3,490,5,165000
4274,1,569,5,199900
9450,3,400,5,110000
8816,3,480,6,139000
12122,3,588,9,178400
12203,4,676,5,336000
3182,2,388,5,159895
11250,4,779,5,255900
10125,4,539,5,126000
10880,3,240,5,125000
5310,2,255,8,117000
10159,3,606,5,395192
12046,4,551,6,195000
8125,3,614,5,197000
9452,3,870,5,348000
17671,4,424,9,168000
9760,3,440,8,187000
8846,3,564,5,173900
12456,3,786,5,337500
4712,3,305,7,121600
10659,3,368,6,136500
11717,2,615,6,185000
9786,3,210,4,91000
6762,2,632,5,206000
10206,2,528,3,82000
5400,2,216,6,86000
11957,3,824,5,232000
11500,4,528,6,136905
3182,1,457,5,181000
8385,3,328,8,149900
12155,3,484,3,163500
2217,3,286,4,88000
12118,3,550,5,240000
21286,4,312,5,135000
10592,3,180,7,165000
7200,2,280,4,85000
11664,2,240,5,119200
8400,3,528,6,227000
11883,3,478,5,203000
5814,1,565,5,187500
10784,3,402,5,160000
3013,2,440,5,213490
7024,2,451,5,176000
7406,2,632,5,194000
9439,2,160,5,87000
3182,2,437,5,191000
15498,2,665,6,287000
7700,3,461,5,112500
9300,3,461,5,167500
9520,3,800,5,293077
9492,3,240,5,105000
1680,3,264,7,118000
15863,5,672,3,197000
14541,5,796,7,310000
8125,3,900,5,230000
6305,2,240,7,119750
11500,3,290,3,84000
12898,2,912,5,315500
9240,3,905,5,287000
1477,1,286,4,80000
13125,3,484,4,155000
9130,4,484,8,173000
5381,1,624,5,196000
11839,4,514,5,262280
9600,4,542,5,278000
13680,4,452,5,139600
16056,4,716,5,556581
9245,3,672,5,145000
21750,3,336,4,115000
11100,2,308,7,84900
8993,3,436,5,176485
11175,3,440,5,200141
9500,4,540,6,165000
8562,4,364,6,144500
11367,3,586,5,255000
11361,3,478,5,180000
7052,2,484,5,185850
29959,3,467,6,248000
11308,3,836,5,335000
11275,3,432,7,220000
4920,2,582,5,213500
18000,2,1248,4,81000
13600,5,560,5,90000
6000,2,440,6,110500
11000,3,480,6,154000
14000,3,533,5,328000
7837,3,380,7,178000
9760,4,442,6,167900
3964,5,576,4,151400
9600,2,576,7,135000
10152,3,286,5,135000
11700,4,441,6,154000
7585,4,280,3,91500
7950,3,440,6,159500
8556,2,826,5,194000
13125,3,240,6,219500
10800,3,566,8,170000
15870,3,299,5,138800
4435,1,420,5,155900
8775,3,299,5,126000
11040,3,528,7,145000
7500,3,308,5,133000
8749,3,527,5,192000
8800,3,461,6,160000
13031,3,409,5,187500
9069,2,564,6,147000
1974,3,286,5,83500
10574,3,1043,5,252000
2522,3,380,5,137500
3316,1,550,5,197000
8544,2,400,4,92900
2160,2,462,5,160000
8400,4,576,5,136500
9230,1,884,8,146000
5868,2,308,7,129000
9317,3,440,5,176432
3696,2,461,5,170000
6000,3,240,6,128000
11880,3,478,5,157000
8400,1,246,5,60000
9758,3,280,5,119500
7000,2,254,7,135000
8910,3,539,6,159500
2016,3,440,5,106000
12256,3,712,5,325000
10357,3,719,5,179900
23257,3,422,5,274725
8063,3,463,5,181000
11362,3,862,5,280000
8000,3,431,5,188000
10480,4,483,6,205000
7100,2,308,7,129900
8923,2,240,7,134500
5400,2,326,7,117000
12085,3,928,5,318000
7750,3,527,5,184100
9764,3,450,7,130000
13825,3,300,6,140000
7560,3,286,5,133700
8263,2,308,5,118400
10084,3,782,5,212900
8926,3,288,3,112000
9125,3,392,5,163900
10434,2,672,5,115000
3684,2,660,5,174000
14572,3,630,5,259000
11796,4,434,5,215000
7200,2,672,5,140000
7804,4,576,3,135000
9900,5,205,4,117500
9828,3,466,5,239500
8773,3,460,5,169000
6180,2,180,5,102000
9600,3,288,5,119000
9819,2,714,5,196000
8731,3,495,5,144000
7350,2,840,7,139000
10304,4,484,7,197500
9965,4,1052,5,424870
12180,2,280,4,80000
6240,3,225,6,149000
11200,3,403,5,180000
12000,3,234,7,174500
5700,2,288,7,116900
9000,3,324,9,143000
8280,2,306,5,124000
17755,3,528,4,149900
14115,2,470,7,230000
5890,2,432,8,120500
13700,4,492,6,201800
10768,3,528,8,218000
9350,3,502,8,179900
5001,2,626,5,230000
11932,3,830,5,235128
9120,4,540,6,185000
2280,3,440,5,146000
14778,3,924,7,224000
8724,3,450,5,129000
12900,0,400,4,108959
16157,2,588,7,194000
9541,3,644,5,233170
10475,3,776,5,245350
10852,3,472,5,173000
13728,4,540,7,235000
35760,4,807,5,625000
9880,3,358,6,171000
9120,3,433,6,163000
4017,2,625,5,171900
16560,4,360,8,239000
10678,4,541,5,285000
6951,3,264,5,119500
3950,3,210,8,115000
7681,3,186,6,154900
11170,4,693,5,250000
5587,2,482,5,392500
15623,4,813,5,745000
10800,2,720,6,120000
35133,3,995,4,186700
9738,4,392,7,104900
10615,3,420,5,95000
12461,2,757,5,262000
8935,3,493,5,195000
7500,3,442,5,189000
32463,3,1356,4,168000
2645,2,492,5,174000
9600,3,250,8,125000
4500,2,402,5,165000
9364,4,299,7,158000
8029,3,400,5,176000
14054,4,660,5,219210
8850,3,225,6,144000
9100,3,573,5,178000
11235,3,459,5,148000
9353,3,280,5,116050
10400,3,546,5,197900
6000,3,216,8,117000
9750,3,451,5,213000
10140,3,495,6,153500
14684,3,701,7,271900
8900,2,384,4,107000
9135,3,544,5,200000
7763,3,506,7,140000
10182,3,500,5,290000
11218,3,462,5,189000
12134,4,492,7,164000
9340,2,234,6,113000
10246,0,364,9,145000
10205,3,300,5,134500
7094,3,384,5,125000
8930,4,539,5,112000
8640,3,552,5,229456
7800,2,288,5,115000
8250,3,322,5,134000
10496,3,315,6,143000
10680,4,528,3,137900
15384,3,388,5,184000
10482,3,264,8,145000
14598,4,668,5,214000
8872,2,576,8,147000
8769,1,1052,5,367294
