Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
18,90,3,72.0,10791,1,1,3,3,0,4,0,19,2,2,2,2,4,5,1967,1967,1,1,8,8,3,0.0,3,4,3,3,2,3,4,0,4,0,0,0,1,4,1,5,1296,0,0,1296,0,0,2,0,2,2,3,6,6,0,3,4,1967.0,3,2,516,5,5,2,0,0,0,0,0,0,3,4,3,500,10,2006,8,4,90000
19,20,3,66.0,13695,1,1,3,3,0,4,0,20,5,2,0,2,5,5,2004,2004,1,1,12,13,3,0.0,3,4,2,4,4,4,2,646,6,0,468,1114,1,0,1,5,1114,0,0,1114,1,0,1,1,3,1,2,6,6,0,3,5,2004.0,3,2,576,5,5,2,0,102,0,0,0,0,3,4,1,0,6,2008,8,4,159000
20,20,3,70.0,7560,1,1,3,3,0,4,0,12,2,2,0,2,5,6,1958,1965,3,1,3,10,3,0.0,3,4,1,4,4,4,3,504,6,0,525,1029,1,4,1,5,1339,0,0,1339,0,0,1,0,3,1,3,6,2,0,3,1,1958.0,3,1,294,5,5,2,0,0,0,0,0,0,3,2,1,0,5,2009,0,0,139000
21,60,3,101.0,14215,1,1,0,3,0,0,0,16,2,2,0,5,8,5,2005,2006,1,1,12,13,1,380.0,2,4,2,0,4,0,6,0,6,0,1158,1158,1,0,1,5,1158,1218,0,2376,0,0,3,1,4,1,2,9,6,1,2,3,2005.0,2,3,853,5,5,2,240,154,0,0,0,0,3,4,1,0,11,2006,6,5,325300
22,45,4,57.0,7449,1,0,3,0,0,4,0,9,2,2,0,1,7,7,1930,1950,1,1,13,14,3,0.0,3,4,2,4,4,4,6,0,6,0,637,637,1,0,1,1,1108,0,0,1108,0,0,1,0,3,1,2,6,6,1,2,1,1930.0,3,1,280,5,5,0,0,0,205,0,0,0,3,0,1,0,6,2007,8,4,139400
23,20,3,75.0,9742,1,1,3,3,0,4,0,5,2,2,0,2,8,5,2002,2002,3,1,12,13,1,281.0,2,4,2,2,4,4,6,0,6,0,1777,1777,1,0,1,5,1795,0,0,1795,0,0,2,0,3,1,2,7,6,1,2,1,2002.0,2,2,534,5,5,2,171,159,0,0,0,0,3,4,1,0,9,2008,8,4,230000
24,120,4,44.0,4224,1,1,3,3,0,4,0,10,2,2,4,2,5,7,1976,1976,1,1,5,5,3,0.0,3,4,2,2,4,4,2,840,6,0,200,1040,1,4,1,5,1060,0,0,1060,1,0,1,0,3,1,3,6,6,1,5,1,1976.0,3,2,572,5,5,2,100,110,0,0,0,0,3,4,1,0,6,2007,8,4,129900
25,20,3,0.0,8246,1,1,0,3,0,4,0,19,2,2,0,2,5,8,1968,2001,1,1,9,10,3,0.0,3,2,1,4,4,2,5,188,0,668,204,1060,1,0,1,5,1060,0,0,1060,1,0,1,0,3,1,2,6,6,1,5,1,1968.0,3,1,270,5,5,2,406,90,0,0,0,0,3,2,1,0,5,2010,8,4,154000
26,20,3,110.0,14230,1,1,3,3,0,0,0,16,2,2,0,2,8,5,2007,2007,1,1,12,13,4,640.0,2,4,2,2,4,4,6,0,6,0,1566,1566,1,0,1,5,1600,0,0,1600,0,0,2,0,3,1,2,7,6,1,2,1,2007.0,2,3,890,5,5,2,0,56,0,0,0,0,3,4,1,0,7,2009,8,4,256300
27,20,3,60.0,7200,1,1,3,3,0,0,0,12,2,2,0,2,5,7,1951,2000,1,1,13,14,3,0.0,3,4,1,4,4,2,1,234,5,486,180,900,1,4,1,5,900,0,0,900,0,1,1,0,3,1,2,5,6,0,3,5,2005.0,3,2,576,5,5,2,222,32,0,0,0,0,3,4,1,0,5,2010,8,4,134800
28,20,3,98.0,11478,1,1,3,3,0,4,0,16,2,2,0,2,8,5,2007,2008,1,1,12,13,4,200.0,2,4,2,0,4,4,2,1218,6,0,486,1704,1,0,1,5,1704,0,0,1704,1,0,2,0,3,1,2,7,6,1,2,1,2008.0,2,3,772,5,5,2,0,50,0,0,0,0,3,4,1,0,5,2010,8,4,306000
29,20,3,47.0,16321,1,1,0,3,0,1,0,12,2,2,0,2,5,6,1957,1997,1,1,8,8,3,0.0,3,4,1,4,4,1,1,1277,6,0,207,1484,1,4,1,5,1600,0,0,1600,1,0,1,0,2,1,3,6,6,2,2,1,1957.0,2,1,319,5,5,2,288,258,0,0,0,0,3,4,1,0,12,2006,8,4,207500
30,30,4,60.0,6324,1,1,0,3,0,4,0,3,1,7,0,2,4,6,1927,1950,1,1,8,8,3,0.0,3,4,0,4,4,4,6,0,6,0,520,520,1,1,0,5,520,0,0,520,0,0,1,0,1,1,1,4,6,0,3,5,1920.0,3,1,240,1,5,2,49,0,87,0,0,0,3,4,1,0,5,2008,8,4,68500
31,70,0,50.0,8500,1,2,3,3,0,4,0,9,1,2,0,5,4,4,1920,1950,2,1,3,3,3,0.0,3,1,0,4,4,4,6,0,6,0,649,649,1,4,0,5,649,668,0,1317,0,0,1,0,3,1,3,6,6,0,3,5,1920.0,3,1,250,5,1,0,0,54,172,0,0,0,3,2,1,0,7,2008,8,4,40000
32,20,3,0.0,8544,1,1,0,3,0,1,0,19,2,2,0,2,5,6,1966,2006,1,1,6,6,3,0.0,3,4,1,4,4,4,6,0,6,0,1228,1228,1,2,1,5,1228,0,0,1228,0,0,1,1,3,1,2,6,6,0,3,1,1966.0,3,1,271,5,5,2,0,65,0,0,0,0,3,2,1,0,6,2008,8,4,149350
33,20,3,85.0,11049,1,1,3,3,0,0,0,5,2,2,0,2,8,5,2007,2007,1,1,12,13,3,0.0,2,4,2,0,4,0,6,0,6,0,1234,1234,1,0,1,5,1234,0,0,1234,0,0,2,0,3,1,2,7,6,0,3,1,2007.0,2,2,484,5,5,2,0,30,0,0,0,0,3,4,1,0,1,2008,8,4,179900
34,20,3,70.0,10552,1,1,0,3,0,4,0,12,2,2,0,2,5,5,1959,1959,3,1,3,3,3,0.0,3,4,1,4,4,4,5,1018,6,0,380,1398,1,2,1,5,1700,0,0,1700,0,1,1,1,4,1,2,6,6,1,2,1,1959.0,2,2,447,5,5,2,0,38,0,0,0,0,3,4,1,0,4,2010,8,4,165500
35,120,3,60.0,7313,1,1,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,1,246.0,0,4,2,0,4,4,2,1153,6,0,408,1561,1,0,1,5,1561,0,0,1561,1,0,2,0,2,1,0,6,6,1,2,1,2005.0,0,2,556,5,5,2,203,47,0,0,0,0,3,4,1,0,8,2007,8,4,277500
36,60,3,108.0,13418,1,1,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,4,132.0,2,4,2,0,4,0,6,0,6,0,1117,1117,1,0,1,5,1132,1320,0,2452,0,0,3,1,4,1,2,9,6,1,2,3,2004.0,0,3,691,5,5,2,113,32,0,0,0,0,3,4,1,0,9,2006,8,4,309000
37,20,3,112.0,10859,1,1,3,3,0,0,0,5,2,2,0,2,5,5,1994,1995,1,1,12,13,3,0.0,3,4,2,2,4,4,6,0,6,0,1097,1097,1,0,1,5,1097,0,0,1097,0,0,1,1,3,1,3,6,6,0,3,1,1995.0,3,2,672,5,5,2,392,64,0,0,0,0,3,4,1,0,6,2009,8,4,145000
38,20,3,74.0,8532,1,1,3,3,0,4,0,12,2,2,0,2,5,6,1954,1990,3,1,13,14,1,650.0,3,4,1,4,4,4,5,1213,6,0,84,1297,1,2,1,5,1297,0,0,1297,0,1,1,0,3,1,3,5,6,1,5,1,1954.0,0,2,498,5,5,2,0,0,0,0,0,0,3,4,1,0,10,2009,8,4,153000
39,20,3,68.0,7922,1,1,3,3,0,4,0,12,2,2,0,2,5,7,1953,2007,1,1,12,13,3,0.0,3,2,1,4,4,4,2,731,6,0,326,1057,1,4,1,5,1057,0,0,1057,1,0,1,0,3,1,2,5,6,0,3,5,1953.0,3,1,246,5,5,2,0,52,0,0,0,0,3,4,1,0,1,2010,8,0,109000
40,90,3,65.0,6040,1,1,3,3,0,4,0,7,2,2,2,2,4,5,1955,1955,1,1,0,10,3,0.0,3,4,2,3,2,3,4,0,4,0,0,0,1,4,0,2,1152,0,0,1152,0,0,2,0,2,2,1,6,6,0,3,6,0.0,1,0,0,3,3,0,0,0,0,0,0,0,3,4,1,0,6,2008,8,1,82000
41,20,3,84.0,8658,1,1,3,3,0,4,0,12,2,2,0,2,6,5,1965,1965,1,1,13,14,1,101.0,3,4,1,4,4,4,5,643,6,0,445,1088,1,0,1,5,1324,0,0,1324,0,0,2,0,3,1,3,6,6,1,5,1,1965.0,2,2,440,5,5,2,0,138,0,0,0,0,3,1,1,0,12,2006,8,0,160000
42,20,3,115.0,16905,1,1,3,3,0,4,0,23,2,2,0,2,5,6,1959,1959,1,1,12,13,3,0.0,3,2,1,4,4,1,1,967,6,0,383,1350,1,2,1,5,1328,0,0,1328,0,1,1,1,2,1,3,5,6,2,2,1,1959.0,2,1,308,5,5,1,0,104,0,0,0,0,3,4,1,0,7,2007,8,4,170000
43,85,3,0.0,9180,1,1,0,3,0,1,0,20,2,2,0,6,5,7,1983,1983,1,1,6,6,3,0.0,3,4,1,2,4,0,0,747,3,93,0,840,1,2,1,5,884,0,0,884,1,0,1,0,2,1,2,5,6,0,3,1,1983.0,2,2,504,5,2,2,240,0,0,0,0,0,3,2,1,0,12,2007,8,4,144000
44,20,3,0.0,9200,1,1,0,3,0,1,0,5,2,2,0,2,5,6,1975,1980,3,1,12,13,3,0.0,3,4,1,2,4,0,3,280,1,491,167,938,1,4,1,5,938,0,0,938,1,0,1,0,3,1,3,5,6,0,3,5,1977.0,3,1,308,5,5,2,145,0,0,0,0,0,3,2,1,0,7,2008,8,4,130250
45,20,3,70.0,7945,1,1,3,3,0,4,0,12,2,2,0,2,5,6,1959,1959,1,1,3,14,3,0.0,3,4,1,4,4,4,0,179,1,506,465,1150,1,0,1,0,1150,0,0,1150,1,0,1,0,3,1,3,6,6,0,3,1,1959.0,2,1,300,5,5,2,0,0,0,0,0,0,3,4,1,0,5,2006,8,4,141000
46,120,3,61.0,7658,1,1,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,1,412.0,0,4,2,0,4,4,2,456,6,0,1296,1752,1,0,1,5,1752,0,0,1752,1,0,2,0,2,1,0,6,6,1,2,1,2005.0,2,2,576,5,5,2,196,82,0,0,0,0,3,4,1,0,2,2010,8,4,319900
47,50,3,48.0,12822,1,1,0,3,0,1,0,11,2,2,0,0,7,5,2003,2003,1,1,12,13,3,0.0,2,4,2,0,4,4,2,1351,6,0,83,1434,1,0,1,5,1518,631,0,2149,1,0,1,1,1,1,2,6,6,1,0,1,2003.0,2,2,670,5,5,2,168,43,0,0,198,0,3,4,1,0,8,2009,8,0,239686
48,20,1,84.0,11096,1,1,3,3,0,4,0,21,2,2,0,2,8,5,2006,2006,1,1,12,13,3,0.0,2,4,2,2,4,0,2,24,6,0,1632,1656,1,0,1,5,1656,0,0,1656,0,0,2,0,3,1,2,7,6,0,3,1,2006.0,2,3,826,5,5,2,0,146,0,0,0,0,3,4,1,0,7,2007,8,4,249700
49,190,4,33.0,4456,1,1,3,3,0,4,0,17,2,2,1,5,4,5,1920,2008,1,1,8,8,3,0.0,3,4,0,4,4,4,6,0,6,0,736,736,1,2,1,5,736,716,0,1452,0,0,2,0,2,3,3,8,6,0,3,6,0.0,1,0,0,3,3,0,0,0,102,0,0,0,3,4,1,0,6,2009,6,5,113000
50,20,3,66.0,7742,1,1,3,3,0,4,0,19,2,2,0,2,5,7,1966,1966,1,1,6,6,3,0.0,3,4,1,4,4,4,1,763,6,0,192,955,1,0,1,5,955,0,0,955,1,0,1,0,3,1,3,6,6,0,3,1,1966.0,3,1,386,5,5,2,0,0,0,0,0,0,3,2,1,0,1,2007,8,4,127000
51,60,3,0.0,13869,1,1,1,3,0,0,0,8,2,2,0,5,6,6,1997,1997,1,1,12,13,3,0.0,3,4,2,2,4,0,2,182,6,0,612,794,1,2,1,5,794,676,0,1470,0,1,2,0,3,1,3,6,6,0,3,1,1997.0,0,2,388,5,5,2,0,75,0,0,0,0,3,4,1,0,7,2007,8,4,177000
52,50,4,52.0,6240,1,1,3,3,0,4,0,3,2,2,0,0,6,6,1934,1950,1,1,13,14,3,0.0,3,4,2,4,4,4,6,0,6,0,816,816,1,4,1,5,816,0,360,1176,0,0,1,0,3,1,3,6,6,1,2,5,1985.0,3,2,528,5,5,2,112,0,0,0,0,0,3,2,3,400,9,2006,8,4,114500
53,90,4,110.0,8472,0,1,1,0,0,0,1,9,8,2,2,2,5,5,1963,1963,1,1,13,14,3,0.0,1,4,1,2,4,1,3,104,2,712,0,816,1,4,0,5,816,0,0,816,1,0,1,0,2,1,3,5,6,0,3,4,1963.0,3,2,516,5,5,2,106,0,0,0,0,0,3,4,1,0,5,2010,8,4,110000
54,20,3,68.0,50271,1,1,0,2,0,4,0,24,2,2,0,2,9,5,1981,1987,1,7,14,15,3,0.0,2,4,1,0,4,1,2,1810,6,0,32,1842,1,2,1,5,1842,0,0,1842,2,0,0,1,0,1,2,5,6,1,2,1,1981.0,0,3,894,5,5,2,857,72,0,0,0,0,3,4,1,0,11,2006,8,4,385000
55,80,3,60.0,7134,1,1,3,0,0,4,1,12,2,2,0,7,5,5,1955,1955,1,1,8,8,3,0.0,3,4,1,4,4,4,0,384,6,0,0,384,1,4,1,5,1360,0,0,1360,0,0,1,0,3,1,3,6,2,1,5,5,1962.0,3,2,572,5,5,2,0,50,0,0,0,0,3,2,1,0,2,2007,8,4,130000
56,20,3,100.0,10175,1,1,0,3,0,4,0,12,2,2,0,2,6,5,1964,1964,1,1,6,10,1,272.0,3,4,1,4,4,4,1,490,6,0,935,1425,1,2,1,5,1425,0,0,1425,0,0,2,0,3,1,3,7,6,1,2,1,1964.0,2,2,576,5,5,2,0,0,0,407,0,0,3,4,1,0,7,2008,8,4,180500
57,160,1,24.0,2645,1,2,3,3,0,4,0,21,2,2,3,5,8,5,1999,2000,1,1,8,8,1,456.0,2,4,2,2,4,4,2,649,6,0,321,970,1,0,1,5,983,756,0,1739,1,0,2,1,3,1,2,7,6,0,3,1,1999.0,0,2,480,5,5,2,115,0,0,0,0,0,3,4,1,0,8,2009,8,0,172500
58,60,3,89.0,11645,1,1,0,3,0,0,0,5,2,2,0,5,7,5,2004,2004,1,1,12,13,3,0.0,2,4,2,2,4,4,6,0,6,0,860,860,1,0,1,5,860,860,0,1720,0,0,2,1,3,1,2,7,6,0,3,1,2004.0,2,2,565,5,5,2,0,70,0,0,0,0,3,4,1,0,8,2006,8,4,196500
59,60,3,66.0,13682,1,1,1,1,0,1,0,22,2,2,0,5,10,5,2006,2006,3,1,12,13,1,1031.0,0,4,2,0,4,1,6,0,6,0,1410,1410,1,0,1,5,1426,1519,0,2945,0,0,3,1,3,1,2,10,6,1,2,3,2006.0,0,3,641,5,5,2,192,0,37,0,0,0,3,4,1,0,10,2006,6,5,438780
60,20,3,60.0,7200,1,1,3,0,0,4,0,5,2,2,0,2,5,7,1972,1972,1,1,6,6,3,0.0,3,4,1,4,4,0,0,632,6,0,148,780,1,0,1,5,780,0,0,780,0,0,1,0,2,1,3,4,6,0,3,5,1973.0,3,1,352,5,5,2,196,0,0,0,0,0,3,2,1,0,1,2008,8,4,124900
61,20,3,63.0,13072,1,1,3,3,0,4,0,20,5,2,0,2,6,5,2004,2004,1,1,12,13,3,0.0,3,4,2,2,4,4,0,941,6,0,217,1158,1,0,1,5,1158,0,0,1158,1,0,1,1,3,1,2,5,6,0,3,5,2006.0,3,2,576,5,5,2,0,50,0,0,0,0,3,4,1,0,5,2006,6,5,158000
62,75,4,60.0,7200,1,1,3,3,0,4,0,9,2,2,0,4,5,7,1920,1996,1,1,8,8,3,0.0,3,4,0,4,0,4,6,0,6,0,530,530,1,4,0,5,581,530,0,1111,0,0,1,0,3,1,1,6,6,0,3,5,1935.0,3,1,288,5,5,0,0,0,144,0,0,0,3,4,1,0,3,2007,8,4,101000
63,120,3,44.0,6442,1,1,0,3,0,4,0,16,2,2,4,2,8,5,2006,2006,1,1,12,13,4,178.0,2,4,2,2,1,2,2,24,6,0,1346,1370,1,0,1,5,1370,0,0,1370,0,0,2,0,2,1,2,6,6,1,2,1,2006.0,2,2,484,5,5,2,120,49,0,0,0,0,3,4,1,0,10,2007,8,4,202500
64,70,4,50.0,10300,1,1,0,0,0,4,0,17,6,1,0,5,7,6,1921,1950,1,1,11,12,3,0.0,3,4,0,4,4,4,6,0,6,0,576,576,1,2,1,5,902,808,0,1710,0,0,2,0,3,1,3,9,6,0,3,5,1990.0,3,2,480,5,5,2,12,11,64,0,0,0,3,0,1,0,4,2010,8,4,140000
65,60,3,0.0,9375,1,1,3,3,0,4,0,5,2,2,0,5,7,5,1997,1998,1,1,12,13,1,573.0,3,4,2,2,4,4,2,739,6,0,318,1057,1,0,1,5,1057,977,0,2034,1,0,2,1,3,1,2,8,6,0,3,1,1998.0,2,2,645,5,5,2,576,36,0,0,0,0,3,0,1,0,2,2009,8,4,219500
66,60,3,76.0,9591,1,1,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,1,344.0,2,4,2,0,4,0,6,0,6,0,1143,1143,1,0,1,5,1143,1330,0,2473,0,0,2,1,4,1,2,9,6,1,2,3,2004.0,2,3,852,5,5,2,192,151,0,0,0,0,3,4,1,0,10,2007,8,4,317000
67,20,3,0.0,19900,1,1,3,3,0,4,0,12,3,2,0,2,7,5,1970,1989,1,1,9,10,1,287.0,3,4,1,2,4,1,2,912,6,0,1035,1947,1,4,1,5,2207,0,0,2207,1,0,2,0,3,1,3,7,2,1,2,1,1970.0,2,2,576,5,5,2,301,0,0,0,0,0,3,4,1,0,7,2010,8,4,180000
68,20,3,72.0,10665,1,1,0,3,0,4,0,5,2,2,0,2,7,5,2003,2003,1,1,12,13,1,167.0,2,4,2,2,4,0,2,1013,6,0,440,1453,1,0,1,5,1479,0,0,1479,1,0,2,0,3,1,2,7,6,0,3,1,2003.0,2,2,558,5,5,2,144,29,0,0,0,0,3,4,1,0,6,2007,8,4,226000
69,30,4,47.0,4608,1,1,3,3,0,0,0,17,0,2,0,2,4,6,1945,1950,1,1,8,8,3,0.0,3,2,1,4,4,4,6,0,6,0,747,747,1,4,1,5,747,0,0,747,0,0,1,0,2,1,3,4,6,0,3,1,1945.0,3,1,220,5,5,2,0,0,0,0,0,0,3,4,1,0,6,2010,8,4,80000
70,50,3,81.0,15593,1,1,3,3,0,0,0,4,2,2,0,0,7,4,1953,1953,1,1,3,0,3,0.0,2,4,1,4,4,4,1,603,6,0,701,1304,2,4,1,5,1304,983,0,2287,0,0,2,0,3,1,3,7,6,1,5,1,1953.0,0,2,667,5,5,2,0,21,114,0,0,0,3,4,1,0,7,2006,8,4,225000
71,20,3,95.0,13651,1,1,0,3,0,4,0,12,2,2,0,2,7,6,1973,1973,1,1,9,10,1,1115.0,3,2,1,2,4,1,0,1880,6,0,343,2223,1,0,1,5,2223,0,0,2223,1,0,2,0,3,1,3,8,6,2,2,1,1973.0,0,2,516,5,5,2,300,0,0,0,0,0,3,4,1,0,2,2007,8,4,244000
72,20,3,69.0,7599,1,1,3,3,0,0,0,11,2,2,0,2,4,6,1982,2006,1,1,6,10,3,0.0,3,4,1,4,4,4,0,565,6,0,280,845,1,4,1,5,845,0,0,845,1,0,1,0,2,1,3,4,6,0,3,5,1987.0,3,2,360,5,5,2,0,0,0,0,0,0,3,4,1,0,6,2007,8,4,129500
73,60,3,74.0,10141,1,1,0,3,0,0,0,8,2,2,0,5,7,5,1998,1998,1,1,12,13,1,40.0,3,4,2,2,4,4,6,0,6,0,832,832,1,2,1,5,885,833,0,1718,0,0,2,1,3,1,3,7,6,1,5,1,1998.0,0,2,427,5,5,2,0,94,0,0,291,0,3,4,1,0,12,2009,8,4,185000
