ID,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG
162166370,0,59,0,12,"$87,460",No,$0,z_No,M,z_High School,Manager,45,Private,"$15,420",1,Minivan,yes,"$44,857",2,No,4,"$4,111",1,1
884513944,0,42,0,11,"$59,945",No,"$192,207",Yes,M,Masters,Lawyer,42,Private,"$14,190",6,Minivan,no,$0,0,No,0,$0,16,0
627708979,0,34,3,13,"$34,019",No,"$91,875",Yes,z_F,Masters,Lawyer,27,Private,"$8,300",7,z_SUV,no,$0,0,No,0,$0,20,0
116375554,0,31,2,12,"$18,903",No,"$93,797",Yes,z_F,<High School,Clerical,48,Private,"$17,330",4,Minivan,no,$0,0,No,0,$0,7,0
235358484,0,28,1,13,"$44,077",No,"$170,598",Yes,z_F,z_High School,z_Blue Collar,29,Commercial,"$8,710",6,z_SUV,no,"$8,935",2,No,0,"$6,857",1,1
528040687,0,43,0,13,"$37,214",No,,Yes,M,<High School,z_Blue Collar,52,Commercial,"$26,560",1,Panel Truck,yes,$0,0,No,3,"$3,627",1,1
652572577,0,48,0,14,"$96,274",No,"$282,904",Yes,z_F,Masters,Lawyer,36,Private,"$11,130",6,z_SUV,no,"$8,250",1,No,5,$0,14,0
410873772,0,47,0,11,"$46,281",No,$0,z_No,z_F,<High School,z_Blue Collar,29,Private,"$19,700",10,Minivan,no,$0,0,No,1,$0,5,0
254362485,2,44,2,0,$0,No,"$82,344",Yes,z_F,z_High School,Home Maker,8,Private,"$5,900",6,z_SUV,no,"$3,338",3,No,0,$0,11,0
69165559,0,46,0,14,,No,"$207,519",Yes,M,Bachelors,Professional,7,Commercial,"$25,660",1,Panel Truck,no,"$2,119",1,No,2,$0,12,0
201327208,0,60,0,12,"$37,940",No,"$182,739",Yes,z_F,z_High School,z_Blue Collar,16,Commercial,"$11,290",1,Sports Car,no,$0,0,No,0,"$5,247",1,1
573751437,0,33,1,13,"$79,606",No,"$225,962",Yes,z_F,Bachelors,Professional,27,Private,"$16,830",9,z_SUV,no,$0,0,No,2,$0,15,0
483050926,0,32,1,9,"$31,275",No,"$118,160",Yes,z_F,z_High School,Clerical,26,Private,"$10,030",1,z_SUV,no,$0,0,No,0,"$4,486",1,1
146989842,1,44,2,17,"$45,488",No,"$219,378",Yes,M,Bachelors,Manager,16,Private,"$22,090",17,Minivan,no,$0,0,No,0,$0,12,0
742435591,0,35,0,8,"$72,193",No,$0,z_No,z_F,Bachelors,Clerical,26,Private,"$12,220",6,z_SUV,no,$0,0,No,3,$0,12,0
915517588,0,40,2,0,,No,"$98,777",Yes,z_F,Masters,Home Maker,15,Private,"$14,130",6,z_SUV,no,"$38,127",2,Yes,4,$0,12,0
756785495,0,54,0,12,"$33,212",No,"$158,432",Yes,M,<High School,z_Blue Collar,27,Commercial,"$24,000",4,Panel Truck,no,$0,0,No,5,"$4,901",,1
66662029,0,49,0,5,"$49,244",No,"$163,444",Yes,M,Bachelors,Clerical,30,Private,"$15,880",1,Minivan,no,$0,0,No,1,$0,1,0
294816298,2,36,2,12,"$130,540",Yes,"$344,195",z_No,z_F,Bachelors,z_Blue Collar,5,Commercial,"$27,200",4,Minivan,no,$0,0,No,0,$0,9,0
686791659,0,52,0,8,"$51,278",No,"$230,340",Yes,z_F,Bachelors,Professional,37,Private,"$1,500",4,z_SUV,no,$0,0,No,1,$0,10,0
269341556,0,41,0,7,"$92,842",No,"$286,113",z_No,M,Masters,,12,Commercial,"$25,810",6,Panel Truck,no,"$1,431",2,No,5,$0,15,0
396972296,0,39,0,10,"$35,081",No,"$202,839",Yes,M,Bachelors,z_Blue Collar,38,Commercial,"$16,640",4,Van,yes,$0,0,No,0,$0,13,0
364483168,0,56,0,0,$0,No,"$63,827",Yes,z_F,PhD,Home Maker,65,Private,"$13,220",1,Minivan,no,$0,0,No,0,$0,12,0
866093378,0,49,0,12,"$115,044",No,"$311,980",z_No,z_F,PhD,Doctor,18,Private,"$17,900",1,Minivan,no,$0,0,No,0,$0,14,0
515421877,0,38,0,11,"$37,754",No,"$138,823",Yes,z_F,z_High School,Clerical,47,Private,"$12,080",1,z_SUV,no,$0,0,No,2,$0,9,0
173737852,0,43,2,17,"$145,353",No,"$418,785",Yes,z_F,Masters,,38,Commercial,"$29,450",6,Van,no,$0,0,No,0,$0,15,0
745183922,0,50,0,8,"$167,469",No,$0,z_No,z_F,PhD,Doctor,22,Private,"$34,150",4,Sports Car,no,$0,0,No,3,$0,1,0
298271736,0,63,0,15,"$121,398",No,"$343,410",Yes,z_F,PhD,Doctor,10,Private,"$16,270",1,z_SUV,no,$0,0,No,0,$0,11,0
70821537,0,52,0,0,$0,No,"$87,925",z_No,z_F,z_High School,Student,48,Commercial,"$9,280",1,z_SUV,no,$0,0,No,1,$0,6,0
258951025,0,35,0,7,"$14,508",No,$0,Yes,M,Bachelors,Student,22,Commercial,"$6,450",1,Pickup,no,$0,0,No,0,$0,7,0
807174588,0,43,0,13,"$75,338",No,"$270,555",Yes,z_F,Bachelors,Manager,40,Private,"$23,080",1,Sports Car,no,$0,0,No,0,$0,8,0
514538041,0,41,0,10,"$32,774",No,$0,z_No,z_F,z_High School,Clerical,44,Private,"$20,120",4,Minivan,no,$0,0,No,0,$0,1,0
25561360,0,40,0,11,"$57,474",No,"$186,418",Yes,M,Bachelors,Clerical,5,Commercial,"$29,270",4,Panel Truck,yes,$0,0,No,1,$0,5,0
753037176,0,31,1,12,"$26,520",No,"$154,493",Yes,M,Bachelors,Student,62,Commercial,"$4,600",6,Minivan,yes,$0,0,No,2,$0,5,0
883748009,0,47,0,8,"$18,444",No,$0,Yes,z_F,z_High School,Student,35,Commercial,"$19,450",6,z_SUV,no,"$2,981",2,No,5,$0,,0
31827166,0,53,0,,"$107,259",No,"$343,700",Yes,M,Masters,Professional,36,Private,"$29,230",10,Minivan,yes,$0,0,No,0,$0,15,0
680782638,0,39,3,7,"$34,046",No,"$183,383",Yes,z_F,z_High School,Clerical,33,Private,"$4,040",6,z_SUV,no,$0,0,No,0,$0,5,0
883604551,0,33,3,14,"$32,364",No,"$152,894",Yes,M,<High School,Clerical,40,Private,"$12,270",18,Minivan,yes,$0,0,No,3,$0,1,0
714473703,0,59,0,5,"$106,775",No,,z_No,M,Masters,Lawyer,10,Private,"$31,930",1,Minivan,yes,$0,0,No,0,$0,,0
213057541,0,42,0,,"$52,988",No,"$176,275",Yes,M,z_High School,z_Blue Collar,24,Commercial,"$23,450",1,Minivan,no,$0,0,No,2,$0,11,0
885280620,0,40,0,11,"$16,989",No,$0,z_No,M,<High School,z_Blue Collar,20,Commercial,"$12,230",4,Pickup,yes,"$26,104",1,Yes,13,"$6,100",6,1
931739722,0,41,2,7,"$17,755",Yes,"$148,815",z_No,z_F,<High School,Clerical,29,Private,"$14,480",1,Minivan,yes,$0,0,Yes,2,$0,1,0
939401184,1,37,2,13,,Yes,$0,z_No,z_F,z_High School,z_Blue Collar,62,Commercial,"$9,360",4,Sports Car,no,$0,0,No,0,"$6,195",,1
840809480,0,36,3,12,"$56,048",No,"$137,836",Yes,M,Masters,Lawyer,15,Private,"$10,700",6,Minivan,no,"$2,045",2,No,2,$0,16,0
800426023,0,44,2,15,"$16,352",No,"$134,164",Yes,z_F,z_High School,Home Maker,37,Private,"$10,520",1,z_SUV,no,"$7,838",1,No,1,"$8,841",1,1
14827139,0,56,0,16,"$44,760",No,"$164,852",Yes,M,Bachelors,Manager,30,Private,"$21,770",13,Minivan,yes,$0,0,No,0,$0,6,0
212687745,1,45,1,14,"$63,952",No,"$196,368",Yes,z_F,Masters,Lawyer,50,Private,"$32,340",6,Van,no,"$27,877",2,Yes,0,"$2,117",13,1
224701093,0,34,3,12,"$22,510",No,"$123,888",Yes,M,z_High School,Clerical,26,Private,"$14,690",4,Minivan,yes,$0,0,Yes,0,"$1,230",1,1
401200262,0,48,0,,,No,"$252,896",Yes,M,Bachelors,Professional,14,Commercial,"$28,560",13,Panel Truck,yes,"$1,554",5,No,1,$0,10,0
926073051,1,44,2,,"$24,060",Yes,$0,z_No,M,Bachelors,Clerical,24,Private,"$14,220",4,Minivan,no,$0,0,No,0,"$3,532",10,1
45830738,0,33,4,12,"$20,822",No,"$76,022",Yes,z_F,z_High School,Home Maker,46,Private,"$6,880",13,z_SUV,no,"$7,896",3,No,0,$866,1,1
997497927,0,32,3,14,"$54,968",No,"$146,784",Yes,z_F,z_High School,Professional,20,Private,"$10,040",4,z_SUV,no,$0,0,Yes,0,$0,8,0
862203239,0,34,0,8,"$14,194",No,"$87,034",z_No,z_F,<High School,Clerical,13,Private,"$2,920",4,Sports Car,no,"$24,767",3,Yes,2,"$7,786",10,1
116102677,1,38,4,12,"$2,149",No,"$72,889",Yes,z_F,<High School,Home Maker,35,Private,"$22,690",10,Pickup,no,$0,0,No,2,$0,1,0
635101571,0,35,2,12,,Yes,$0,z_No,z_F,<High School,z_Blue Collar,43,Private,"$9,730",5,z_SUV,no,$0,0,No,4,"$5,426",4,1
793404097,2,44,2,14,"$45,576",No,"$156,623",Yes,z_F,<High School,z_Blue Collar,27,Private,"$1,500",4,Sports Car,no,"$25,276",1,No,8,$0,,0
62434528,2,43,3,11,"$137,103",Yes,$0,z_No,z_F,Masters,Manager,29,Private,"$19,510",1,Sports Car,no,"$8,890",3,No,0,"$4,148",15,1
935079846,0,49,0,9,,No,$0,z_No,M,PhD,,31,Commercial,"$33,710",3,Panel Truck,no,"$34,351",2,Yes,2,$0,18,0
948288985,0,46,0,10,"$79,538",No,$0,z_No,z_F,Bachelors,Manager,13,Private,"$14,050",3,Minivan,no,$0,0,Yes,2,$0,11,0
396323054,0,45,1,11,"$185,836",No,"$509,115",Yes,z_F,PhD,Lawyer,28,Private,"$10,250",1,z_SUV,no,"$4,307",3,No,6,$0,20,0
299024508,0,46,0,14,,No,"$397,661",z_No,M,Masters,,22,Commercial,"$33,320",4,Panel Truck,yes,$0,0,Yes,1,$0,12,0
39392545,0,45,0,11,"$61,931",No,"$213,530",Yes,M,Masters,,30,Commercial,"$10,910",13,Pickup,yes,"$25,106",2,No,0,$0,,0
536604822,0,48,0,9,"$61,509",No,"$195,438",Yes,M,Masters,,40,Commercial,"$23,230",6,Panel Truck,yes,$0,0,No,1,$0,17,0
429992959,0,63,0,9,"$74,426",No,$0,z_No,z_F,PhD,Doctor,11,Private,"$27,600",1,z_SUV,no,$0,0,No,0,$0,18,0
160577728,0,44,0,9,"$74,722",No,"$231,034",Yes,z_F,Bachelors,Professional,9,Private,"$23,640",6,Minivan,no,$0,0,No,0,$0,1,0
108385737,1,45,2,11,"$102,393",Yes,$0,z_No,M,Bachelors,Professional,25,Private,"$1,500",1,Minivan,yes,$0,0,No,2,"$2,371",11,1
414142186,0,62,0,15,"$40,656",No,"$208,242",Yes,z_F,z_High School,Clerical,57,Private,"$9,170",4,Sports Car,no,"$42,342",2,Yes,2,"$4,178",7,1
421217157,0,48,0,0,$0,No,"$98,920",Yes,z_F,z_High School,Home Maker,50,Private,"$8,660",3,Sports Car,no,"$8,363",2,No,3,$0,,0
935010485,1,37,2,12,,No,"$205,211",Yes,z_F,Bachelors,z_Blue Collar,43,Commercial,"$5,200",1,z_SUV,no,"$2,718",1,No,1,"$4,804",3,1
537840281,0,35,0,,"$29,371",No,$0,z_No,z_F,<High School,Clerical,49,Private,"$4,860",10,Sports Car,no,$0,0,No,0,$0,1,0
748139140,0,48,0,12,"$31,773",No,"$165,090",Yes,M,z_High School,Clerical,14,Commercial,"$9,640",13,Pickup,no,"$1,212",1,No,4,"$1,354",1,1
601118153,0,39,0,11,"$33,727",No,$0,z_No,z_F,Bachelors,Clerical,27,Private,"$10,850",1,z_SUV,no,"$8,350",1,No,2,$0,12,0
808304017,0,49,0,0,$0,No,"$159,389",Yes,z_F,Masters,Professional,42,Private,"$6,400",10,z_SUV,no,"$9,115",1,No,6,$0,14,0
803325269,0,44,2,15,"$139,330",Yes,"$316,900",z_No,z_F,z_High School,z_Blue Collar,35,Commercial,"$22,050",10,Sports Car,no,$0,0,No,0,$0,1,0
701235200,0,50,0,13,"$163,296",No,"$447,616",z_No,z_F,PhD,Lawyer,42,Private,"$22,830",1,Minivan,no,$0,0,No,0,$0,14,0
916609661,0,30,1,10,"$17,455",Yes,"$140,978",z_No,z_F,<High School,z_Blue Collar,50,Private,"$12,380",13,Minivan,no,$0,0,No,0,$0,6,0
469714824,0,54,0,,"$71,007",No,"$240,833",Yes,M,Bachelors,Manager,61,Private,"$14,000",6,Minivan,no,$0,0,No,0,$0,11,0
46606719,0,38,0,0,$0,No,$0,Yes,M,z_High School,Student,41,Commercial,"$17,470",10,Van,no,"$3,157",2,No,5,$0,6,0
454040458,0,53,0,6,"$38,036",No,"$153,381",Yes,z_F,z_High School,z_Blue Collar,32,Commercial,"$13,140",1,z_SUV,no,$0,0,No,4,"$2,425",1,1
951246359,0,53,0,13,"$41,199",No,"$150,933",z_No,z_F,Bachelors,Manager,21,Private,"$15,360",1,z_SUV,no,$0,0,No,0,$0,8,0
389315422,0,29,1,10,"$38,042",Yes,"$202,967",z_No,M,z_High School,Professional,15,Private,"$15,160",6,Minivan,no,$0,0,No,0,$0,1,0
180660768,0,58,0,11,"$91,223",No,$0,z_No,M,Masters,Lawyer,23,Private,"$10,620",6,Pickup,no,$0,0,No,0,$0,,0
184578161,0,55,0,7,"$45,787",No,"$173,196",Yes,z_F,Masters,Lawyer,5,Private,"$19,380",6,Minivan,no,$0,0,No,0,$0,13,0
59798468,0,55,0,,"$84,964",No,"$227,091",Yes,M,Bachelors,z_Blue Collar,21,Commercial,"$5,760",1,Pickup,yes,$969,2,No,6,$0,11,0
957817015,0,56,0,8,"$38,240",No,"$190,675",Yes,z_F,z_High School,Clerical,28,Private,"$16,220",4,z_SUV,no,$0,0,No,0,$0,,0
402443529,0,39,2,0,$0,No,"$69,369",Yes,z_F,z_High School,Home Maker,36,Private,"$8,750",4,Sports Car,no,$0,0,No,0,$0,8,0
298667574,2,44,2,13,"$142,588",No,"$365,256",Yes,M,Masters,Manager,28,Private,"$21,790",6,Minivan,yes,$0,0,No,2,$0,9,0
303462460,0,34,0,11,"$51,565",No,$0,z_No,M,Masters,Lawyer,36,Private,"$18,110",1,Van,yes,$759,2,No,3,$0,15,0
629946797,0,34,3,0,$0,No,"$66,358",Yes,z_F,z_High School,Home Maker,25,Private,"$11,740",9,z_SUV,no,"$1,800",2,No,2,"$5,711",1,1
783473090,0,36,0,11,"$105,384",No,"$267,509",Yes,M,Masters,Professional,24,Private,"$13,800",7,Minivan,yes,"$31,695",3,Yes,4,$0,17,0
8565171,0,41,0,10,"$66,265",No,"$159,276",Yes,M,Masters,Lawyer,59,Private,"$12,230",4,Minivan,yes,$0,0,No,1,"$13,105",9,1
950995873,0,46,0,7,,No,,z_No,M,Masters,,17,Commercial,"$23,350",13,Panel Truck,yes,"$4,678",3,No,6,"$4,061",17,1
867703916,0,45,0,12,"$32,394",No,$0,z_No,z_F,z_High School,Clerical,33,Private,"$13,770",4,z_SUV,no,$0,0,No,0,$0,1,0
593582812,0,42,0,9,"$76,226",No,"$217,920",Yes,M,Bachelors,z_Blue Collar,18,Commercial,"$23,390",13,Panel Truck,yes,$0,0,No,0,$0,14,0
22340563,1,38,3,16,"$7,528",No,"$113,809",Yes,M,<High School,Clerical,26,Private,"$8,080",1,Pickup,yes,$0,0,No,0,$0,8,0
679555193,0,33,4,0,$0,Yes,$0,z_No,M,z_High School,Student,14,Commercial,"$15,090",1,Minivan,yes,"$1,631",1,No,2,"$7,838",5,1
161607403,0,37,0,0,,No,"$73,890",Yes,z_F,Bachelors,Student,48,Commercial,"$12,850",7,z_SUV,no,$0,0,No,3,"$3,660",6,1
700623278,1,42,1,9,"$32,797",No,"$160,661",Yes,z_F,Masters,Lawyer,63,Private,"$21,690",1,Minivan,no,$0,0,No,2,$0,14,0
755810990,0,47,0,11,"$44,705",No,"$217,885",Yes,z_F,Bachelors,Professional,50,Private,"$12,840",1,z_SUV,no,"$1,533",2,No,0,"$5,125",10,1
464090162,0,43,1,0,$0,No,"$70,170",Yes,z_F,Bachelors,Home Maker,26,Private,"$8,350",1,z_SUV,no,$0,0,No,3,$0,7,0
170483243,0,52,0,9,"$68,992",No,"$216,986",z_No,z_F,Bachelors,z_Blue Collar,36,Commercial,"$15,120",1,Minivan,no,$0,0,No,3,$0,10,0
421316364,0,43,0,11,"$132,561",No,"$314,433",z_No,M,Masters,Professional,8,Commercial,"$30,150",16,Panel Truck,no,"$12,294",1,No,0,$0,1,0
505563410,0,64,0,15,"$31,738",No,"$197,010",Yes,M,<High School,z_Blue Collar,23,Commercial,"$14,620",6,z_SUV,no,"$3,994",2,No,0,"$5,085",1,1
813759954,0,66,1,17,"$96,830",No,"$325,826",Yes,M,Masters,Professional,23,Private,"$11,180",7,z_SUV,no,$0,0,No,0,$0,16,0
37074844,0,60,0,9,"$125,893",No,$0,z_No,M,PhD,,21,Commercial,"$7,500",9,Pickup,yes,"$7,278",2,No,4,$0,15,0
130470336,2,35,4,6,"$154,577",Yes,"$397,868",z_No,z_F,Bachelors,z_Blue Collar,27,Private,"$20,450",6,z_SUV,no,"$4,645",1,No,3,$0,1,0
637739719,0,52,0,7,"$64,014",No,"$244,863",Yes,M,<High School,z_Blue Collar,33,Commercial,"$7,900",4,Pickup,yes,"$8,882",3,No,1,"$2,143",5,1
427956603,0,52,0,11,"$79,348",No,"$270,032",Yes,z_F,z_High School,Manager,23,Private,"$13,150",11,z_SUV,no,$0,0,No,2,$0,1,0
993272296,0,56,2,14,"$192,089",No,"$471,701",Yes,M,PhD,,31,Commercial,"$21,100",1,Van,yes,$0,0,No,0,"$6,484",,1
880941719,1,38,1,7,,No,$0,Yes,z_F,z_High School,Student,40,Private,"$7,050",4,Sports Car,no,$0,0,No,0,$0,10,0
765577228,0,55,0,15,"$108,152",No,"$329,756",Yes,z_F,Masters,Manager,18,Private,"$12,320",1,z_SUV,no,$0,0,Yes,0,$0,15,0
879477038,0,47,0,14,,No,"$276,241",Yes,M,Bachelors,Manager,48,Private,"$21,320",1,Van,yes,$0,0,No,0,$0,13,0
718294261,0,37,0,12,"$123,520",No,"$383,731",Yes,M,Bachelors,z_Blue Collar,14,Commercial,"$17,550",1,Van,no,$0,0,No,0,$0,,0
538875785,0,47,0,13,"$45,257",No,"$160,051",Yes,M,Bachelors,Clerical,33,Commercial,"$29,210",6,Panel Truck,yes,$0,0,No,0,$0,,0
106556153,0,26,0,8,"$53,244",No,$0,z_No,M,Bachelors,Professional,28,Commercial,"$20,920",3,Van,yes,"$6,224",1,No,1,"$4,028",8,1
199037688,1,61,2,17,"$41,857",No,"$169,015",Yes,z_F,Masters,Manager,35,Private,"$20,870",1,Sports Car,no,$0,0,No,0,$0,21,0
602893924,0,41,1,8,"$126,468",Yes,$0,z_No,z_F,Masters,Manager,34,Commercial,"$32,690",3,Pickup,no,$0,0,No,2,"$2,114",18,1
52095937,3,40,3,9,"$75,516",No,"$247,673",Yes,z_F,z_High School,z_Blue Collar,53,Commercial,"$13,050",5,Sports Car,no,$0,0,Yes,0,$0,6,0
351243985,0,52,0,16,"$76,954",No,"$249,290",z_No,M,Bachelors,Professional,44,Private,"$19,540",6,Minivan,yes,$0,0,Yes,0,$0,11,0
838970447,0,58,1,8,"$150,352",No,"$421,665",Yes,z_F,Masters,Manager,21,Private,"$24,240",6,Pickup,no,$0,0,No,0,$0,17,0
515204929,0,52,0,8,"$88,560",No,"$244,028",Yes,M,Masters,Lawyer,14,Private,"$13,630",1,Minivan,no,$0,0,No,4,$0,17,0
711833264,1,38,1,12,"$37,580",No,"$173,495",Yes,z_F,<High School,Clerical,36,Private,"$5,260",7,z_SUV,no,$867,2,No,0,"$8,671",1,1
818910510,0,41,2,15,"$23,344",No,"$147,172",Yes,M,z_High School,z_Blue Collar,10,Private,"$7,930",1,Pickup,no,$0,0,No,1,"$6,287",1,1
243016778,0,37,0,16,"$43,290",No,"$158,771",Yes,z_F,Bachelors,z_Blue Collar,29,Private,"$23,640",1,z_SUV,no,$0,0,No,0,$0,10,0
456565450,0,48,0,10,"$48,737",No,"$220,264",Yes,M,Bachelors,Manager,24,Private,"$11,220",9,Pickup,yes,$0,0,No,1,$0,1,0
693628088,0,47,0,12,"$64,259",No,"$202,031",Yes,M,z_High School,Clerical,26,Private,"$25,100",18,Minivan,no,"$9,526",4,No,3,$0,9,0
735552551,0,41,0,12,"$110,386",No,"$335,488",Yes,M,Masters,,21,Commercial,"$16,640",1,Van,yes,$0,0,No,2,"$3,524",14,1
504537312,0,49,0,12,"$53,765",No,$0,z_No,z_F,Bachelors,Professional,5,Private,"$12,360",4,z_SUV,no,$0,0,No,0,$0,1,0
82973186,0,41,0,6,"$12,541",No,$0,z_No,M,<High School,Clerical,5,Private,"$7,500",1,Minivan,yes,$0,0,No,0,$0,1,0
568473723,0,47,0,12,"$104,271",No,"$265,153",Yes,M,Masters,,40,Commercial,"$36,120",4,Panel Truck,yes,$0,0,No,0,$0,11,0
363126949,0,30,2,,"$26,226",No,"$165,178",Yes,z_F,z_High School,Clerical,68,Private,"$23,610",4,z_SUV,no,$0,0,No,1,$0,1,0
411375726,0,44,1,,"$67,278",No,"$220,556",Yes,z_F,Masters,Lawyer,49,Private,"$20,210",1,Minivan,no,$0,0,No,0,$0,16,0
789568994,0,46,0,10,"$104,990",No,"$306,540",z_No,z_F,Bachelors,Professional,40,Private,"$16,080",13,z_SUV,no,$0,0,No,0,$0,7,0
927823143,0,49,0,6,"$89,948",No,$0,z_No,z_F,Bachelors,Professional,37,Private,"$18,160",7,z_SUV,no,$0,0,No,4,$0,9,0
453867386,0,33,1,12,"$111,427",No,"$321,483",Yes,z_F,Masters,,35,Commercial,"$28,180",1,Van,no,$0,0,No,3,$0,4,0
747049542,1,34,3,12,"$29,431",No,"$143,149",Yes,z_F,<High School,Clerical,12,Private,"$22,560",1,Minivan,no,$0,0,No,1,$0,,0
1307371,0,44,0,14,"$44,790",No,"$205,463",Yes,z_F,Masters,,5,Commercial,"$19,800",4,Pickup,no,"$37,163",1,No,4,$0,9,0
237786417,1,43,2,11,"$76,159",Yes,$0,z_No,z_F,Bachelors,Professional,52,Private,"$19,750",4,z_SUV,no,$0,0,Yes,0,"$1,807",,1
179968769,0,62,0,6,"$107,734",No,$0,z_No,z_F,PhD,Lawyer,54,Private,"$18,470",3,z_SUV,no,$0,0,No,0,$0,15,0
180832267,0,42,0,0,$0,No,,z_No,M,<High School,Student,47,Commercial,"$5,700",11,Pickup,yes,$0,0,No,5,"$10,594",1,1
328154114,0,36,2,12,"$25,282",Yes,$0,z_No,z_F,z_High School,Clerical,38,Private,"$11,160",1,z_SUV,no,$0,0,No,0,$0,1,0
316724150,0,47,0,11,"$18,549",No,"$116,136",Yes,M,Masters,Lawyer,24,Private,"$12,800",7,Minivan,no,$0,0,No,0,$0,14,0
582086109,0,50,0,14,,No,"$147,191",Yes,M,z_High School,Clerical,11,Commercial,"$17,300",13,Van,yes,$0,0,No,0,$0,7,0
680425927,0,51,0,9,"$50,166",No,"$187,297",z_No,M,z_High School,z_Blue Collar,32,Commercial,"$11,620",1,Pickup,no,"$50,701",3,Yes,0,$0,1,0
541204921,0,46,0,8,"$73,872",No,"$245,878",Yes,z_F,Masters,Lawyer,43,Private,"$20,240",4,Sports Car,no,$0,0,No,0,$0,16,0
329922821,0,50,0,14,"$73,343",No,"$254,600",Yes,z_F,z_High School,Manager,60,Private,"$20,010",1,Minivan,no,"$4,179",2,No,4,$0,8,0
271813109,0,43,2,15,"$49,849",Yes,$0,z_No,z_F,Masters,Lawyer,35,Private,"$13,130",1,z_SUV,no,"$3,622",3,No,4,"$6,158",20,1
394642738,1,39,1,16,"$12,054",No,$0,Yes,z_F,<High School,Student,28,Commercial,"$15,760",4,Pickup,no,"$1,738",2,Yes,4,"$4,887",1,1
