age,balance,duration,campaign,pdays,housing_cat,poutcome_success,deposit_cat
29,271,1882,2,10000,1,0,1
35,102,1334,1,10000,1,0,1
31,2,182,2,10000,1,0,1
35,4170,1777,1,10000,1,0,1
34,85,1182,4,10000,1,0,1
31,431,1045,1,10000,1,0,1
44,982,650,3,10000,1,0,1
36,408,1063,2,10000,1,0,1
35,4822,843,2,10000,1,0,1
41,1250,1392,2,10000,1,0,1
31,216,565,1,10000,1,0,1
34,1207,905,1,10000,1,0,1
32,791,783,2,10000,1,0,1
36,849,958,2,10000,1,0,1
30,239,412,1,10000,1,0,1
37,1211,795,1,10000,1,0,1
36,599,649,2,10000,1,0,1
31,825,506,2,10000,1,0,1
27,2183,857,1,10000,1,0,1
34,4499,1681,1,10000,0,0,1
30,1289,1697,2,10000,1,0,1
32,4665,860,2,10000,1,0,1
37,3326,799,1,10000,1,0,1
32,783,923,3,10000,1,0,1
33,0,521,3,10000,1,0,1
35,994,1349,8,10000,1,0,1
35,1354,736,2,10000,1,0,1
30,239,785,1,10000,1,0,1
45,-311,1030,1,10000,1,0,1
45,149,893,3,10000,1,0,1
33,1464,588,3,10000,1,0,1
44,5773,597,6,10000,0,0,1
40,278,1015,3,10000,1,0,1
31,2910,1392,2,10000,1,0,1
30,541,414,2,10000,1,0,1
44,1262,788,11,10000,1,0,1
34,-538,682,1,10000,1,0,1
37,125,679,2,10000,0,0,1
28,0,1560,2,10000,1,0,1
32,620,1234,3,10000,1,0,1
37,316,642,2,10000,1,0,1
34,2287,895,4,10000,1,0,1
38,198,431,2,10000,1,0,1
28,460,741,6,10000,1,0,1
31,1145,1272,4,10000,1,0,1
59,-22,748,3,10000,1,0,1
24,685,896,3,10000,1,0,1
26,901,764,2,10000,1,0,1
59,351,1063,5,10000,1,0,1
30,0,1051,1,10000,1,0,1
37,274,731,3,10000,1,0,1
30,-213,751,1,10000,1,0,1
25,97,709,1,10000,1,0,1
44,51,3094,2,10000,1,0,1
29,314,938,2,10000,0,0,1
26,6840,1560,2,10000,1,0,1
26,668,576,3,10000,1,0,1
27,54,543,2,10000,1,0,1
25,1242,615,2,10000,1,0,1
28,292,507,1,10000,1,0,1
23,665,1183,1,10000,1,0,1
34,1058,864,2,10000,1,0,1
28,949,1730,1,10000,1,0,1
51,606,560,9,10000,1,0,1
35,0,543,1,10000,1,0,1
35,404,539,1,10000,1,0,1
56,249,791,2,10000,1,0,1
45,3354,746,1,10000,1,0,1
60,0,1207,1,10000,1,0,1
56,589,535,2,10000,1,0,1
27,12956,789,3,10000,1,0,1
30,873,792,3,10000,1,0,1
45,594,833,2,10000,1,0,1
29,-20,814,2,10000,1,0,1
38,4692,1363,2,10000,1,0,1
30,486,1109,3,10000,1,0,1
44,1593,828,3,10000,1,0,1
36,7606,917,1,10000,1,0,1
38,226,762,3,10000,1,0,1
36,366,1133,2,10000,1,0,1
37,16,638,1,10000,1,0,1
35,565,763,1,10000,1,0,1
38,19,604,2,10000,1,0,1
40,1082,854,2,10000,1,0,1
42,1713,855,2,10000,1,0,1
46,14481,1269,1,10000,1,0,1
35,5724,691,10,10000,1,0,1
34,1451,1097,15,10000,1,0,1
32,-34,1236,2,10000,1,0,1
50,3674,886,3,10000,1,0,1
35,698,1343,3,10000,1,0,1
36,4136,812,3,10000,1,0,1
53,2656,1980,2,10000,1,0,1
46,2904,984,2,10000,1,0,1
26,1004,228,2,10000,1,0,1
45,410,891,4,10000,1,0,1
31,0,745,12,10000,1,0,1
29,0,539,12,10000,1,0,1
53,62,1044,5,10000,1,0,1
27,416,1193,2,10000,1,0,1
39,2763,526,2,10000,1,0,1
36,2984,394,1,10000,1,0,1
41,143,659,2,10000,1,0,1
36,0,1036,1,10000,1,0,1
32,696,815,1,10000,1,0,1
35,152,563,1,10000,1,0,1
36,-78,1068,1,10000,1,0,1
35,867,230,3,10000,1,0,1
30,953,747,2,10000,1,0,1
42,443,671,5,10000,1,0,1
42,-1129,555,5,10000,1,0,1
32,415,777,4,10000,1,0,1
29,260,707,14,10000,1,0,1
44,-411,432,4,10000,1,0,1
32,1279,1173,3,10000,1,0,1
31,86,963,2,10000,1,0,1
40,-754,941,3,10000,1,0,1
43,0,1025,7,10000,0,0,1
27,178,732,2,10000,1,0,1
37,278,1045,3,10000,1,0,1
23,425,768,1,10000,1,0,1
25,168,801,1,10000,1,0,1
26,-36,482,2,10000,1,0,1
47,126,2456,2,10000,1,0,1
35,-87,1363,7,10000,1,0,1
32,6281,1336,4,10000,1,0,1
45,644,633,1,10000,1,0,1
30,377,524,15,10000,1,0,1
29,-271,578,1,10000,1,0,1
38,5839,984,2,10000,1,0,1
23,492,638,1,10000,1,0,1
27,99,767,2,10000,1,0,1
27,-713,525,2,10000,1,0,1
29,32,563,1,10000,1,0,1
30,543,1449,6,10000,1,0,1
36,403,920,1,10000,1,0,1
35,437,908,1,10000,1,0,1
36,1772,208,1,10000,0,0,1
59,-88,910,2,10000,1,0,1
47,0,1446,1,10000,0,0,1
58,853,1149,2,10000,0,0,1
37,240,1123,1,10000,0,0,1
46,849,508,2,10000,1,0,1
43,318,736,2,10000,1,0,1
27,703,590,3,10000,1,0,1
38,61,636,1,10000,0,0,1
53,104,701,1,10000,0,0,1
47,1996,761,2,10000,0,0,1
56,1238,1558,1,10000,0,0,1
41,879,1053,2,10000,0,0,1
29,425,562,15,10000,1,0,1
50,416,494,5,10000,1,0,1
45,844,1018,3,10000,0,0,1
35,860,884,4,10000,1,0,1
26,639,709,5,10000,1,0,1
26,710,1276,2,10000,1,0,1
37,1508,381,2,10000,0,0,1
30,223,862,11,10000,1,0,1
38,619,460,4,10000,1,0,1
37,319,467,3,10000,1,0,1
53,480,648,2,10000,0,0,1
29,213,2653,3,10000,1,0,1
35,68,1085,1,10000,0,0,1
28,2788,369,2,10000,1,0,1
55,7561,685,3,10000,0,0,1
49,-46,1055,10,10000,1,0,1
50,1595,882,1,10000,0,0,1
43,1046,901,1,10000,0,0,1
58,1382,700,1,10000,0,0,1
38,217,491,6,10000,1,0,1
48,183,940,1,10000,0,0,1
59,1321,3881,3,10000,0,0,1
58,25,486,3,10000,0,0,1
36,4844,1137,3,10000,0,0,1
42,5345,878,3,10000,0,0,1
41,812,583,4,10000,0,0,1
42,105,1159,4,10000,0,0,1
39,-190,893,8,10000,0,0,1
57,625,867,1,10000,0,0,1
52,293,706,1,10000,0,0,1
59,1033,1199,1,10000,0,0,1
56,1210,935,1,10000,0,0,1
49,64,586,1,10000,0,0,1
35,164,967,2,10000,0,0,1
36,1766,595,2,10000,0,0,1
40,1248,1290,2,10000,0,0,1
55,0,614,2,10000,0,0,1
58,826,885,1,10000,0,0,1
39,2630,651,5,10000,0,0,1
47,3727,993,6,10000,0,0,1
40,406,577,2,10000,1,0,1
35,2999,1141,6,10000,0,0,1
48,1000,1268,2,10000,1,0,1
48,503,1243,7,10000,0,0,1
24,-203,465,3,10000,1,0,1
49,361,513,2,10000,1,0,1
36,274,686,11,10000,1,0,1
52,3687,741,4,10000,1,0,1
42,323,617,1,10000,0,0,1
36,981,1093,1,10000,0,0,1
36,638,1395,2,10000,1,0,1
48,3229,1089,1,10000,0,0,1
51,1610,1248,3,10000,1,0,1
51,33,721,3,10000,0,0,1
46,536,750,2,10000,1,0,1
37,0,637,6,10000,0,0,1
36,3057,2769,4,10000,0,0,1
47,2892,556,1,10000,0,0,1
40,0,522,1,10000,0,0,1
38,3316,1345,3,10000,0,0,1
40,106,676,2,10000,0,0,1
39,2303,775,3,10000,1,0,1
60,3301,2621,3,10000,0,0,1
39,426,1029,1,10000,0,0,1
51,9,371,2,10000,0,0,1
27,-97,1528,2,10000,1,0,1
41,11008,1540,1,10000,0,0,1
42,4930,973,1,10000,0,0,1
41,707,707,1,10000,0,0,1
33,4,625,2,10000,1,0,1
46,126,1255,1,10000,0,0,1
31,671,704,4,10000,1,0,1
41,219,1574,3,10000,0,0,1
41,3622,1135,4,10000,0,0,1
55,1580,1007,1,10000,0,0,1
53,1319,1318,3,10000,0,0,1
55,2152,922,2,10000,0,0,1
39,2843,585,1,10000,1,0,1
40,0,952,4,10000,0,0,1
59,1115,834,1,10000,0,0,1
42,625,651,3,10000,0,0,1
41,246,683,3,10000,0,0,1
27,61,1012,1,10000,1,0,1
25,-191,958,7,10000,1,0,1
43,519,973,2,10000,0,0,1
44,522,911,1,10000,0,0,1
26,-46,382,7,10000,1,0,1
52,2269,1210,1,10000,0,0,1
54,386,838,1,10000,0,0,1
56,0,422,1,10000,0,0,1
57,9103,1098,2,10000,0,0,1
29,908,1663,1,10000,1,0,1
47,1694,560,3,10000,0,0,1
57,-92,1617,1,10000,1,0,1
40,188,570,2,10000,1,0,1
46,0,1023,3,10000,0,0,1
43,740,585,2,10000,1,0,1
45,655,693,3,10000,0,0,1
24,867,546,10,10000,1,0,1
40,1009,1036,5,10000,1,0,1
38,6360,1409,2,10000,0,0,1
36,4145,988,4,10000,0,0,1
27,-27,498,2,10000,0,0,1
26,-122,670,3,10000,1,0,1
43,149,662,2,10000,1,0,1
25,52,528,2,10000,1,0,1
27,335,519,3,10000,1,0,1
30,526,677,3,10000,1,0,1
28,-7,3183,2,10000,0,0,1
27,-413,422,6,10000,0,0,1
32,-241,856,2,10000,0,0,1
41,75,479,9,10000,1,0,1
37,0,1135,2,10000,0,0,1
27,158,650,2,10000,0,0,1
29,84,587,3,10000,0,0,1
33,114,676,1,10000,0,0,1
36,0,584,1,10000,0,0,1
28,-127,1044,3,10000,1,0,1
55,49,494,4,10000,1,0,1
51,216,615,2,10000,0,0,1
39,506,718,2,10000,1,0,1
42,213,434,3,10000,1,0,1
33,170,782,1,10000,0,0,1
36,776,722,3,10000,0,0,1
45,879,621,2,10000,0,0,1
37,1633,629,2,10000,0,0,1
46,926,385,5,10000,0,0,1
32,2559,889,1,10000,0,0,1
28,909,532,1,10000,0,0,1
45,-176,574,1,10000,0,0,1
41,1085,599,1,10000,1,0,1
59,1265,849,1,10000,0,0,1
47,-239,973,3,10000,1,0,1
31,726,719,2,10000,0,0,1
31,296,509,4,10000,0,0,1
33,-627,740,1,10000,1,0,1
52,-468,534,1,10000,0,0,1
26,551,531,1,10000,0,0,1
25,0,634,1,10000,0,0,1
25,101,460,3,10000,0,0,1
28,517,681,1,10000,0,0,1
33,37,1082,1,10000,0,0,1
45,854,730,1,10000,0,0,1
36,30,716,5,10000,0,0,1
26,81,803,2,10000,0,0,1
38,0,635,1,10000,0,0,1
56,663,819,3,10000,0,0,1
26,102,658,2,10000,0,0,1
26,370,1061,4,10000,0,0,1
25,189,687,2,10000,0,0,1
26,111,537,1,10000,0,0,1
40,665,781,1,10000,1,0,1
37,214,645,1,10000,1,0,1
43,0,1242,1,10000,0,0,1
41,1583,662,1,10000,1,0,1
49,0,625,1,10000,0,0,1
29,0,426,3,10000,0,0,1
39,687,869,1,10000,1,0,1
38,327,556,5,10000,1,0,1
26,-119,359,5,10000,0,0,1
32,794,1014,1,10000,1,0,1
33,-191,1290,4,10000,1,0,1
31,409,564,5,10000,0,0,1
49,3,1439,6,10000,0,0,1
27,9,919,2,10000,0,0,1
30,155,1426,3,10000,1,0,1
35,1330,901,1,10000,0,0,1
26,-29,998,4,10000,1,0,1
45,3133,804,1,10000,1,0,1
34,-33,961,1,10000,1,0,1
28,-170,720,2,10000,0,0,1
25,1243,1341,7,10000,0,0,1
30,1598,634,1,10000,1,0,1
30,5,829,5,10000,0,0,1
47,367,476,4,10000,1,0,1
57,658,724,1,10000,0,0,1
38,1722,500,1,10000,1,0,1
54,-315,2029,1,10000,0,0,1
25,2483,1499,3,10000,0,0,1
30,0,1399,1,10000,1,0,1
26,45,1187,3,10000,0,0,1
31,46,487,1,10000,1,0,1
29,482,1097,3,10000,0,0,1
49,3728,1060,2,10000,1,0,1
60,1099,764,2,10000,0,0,1
60,2222,1120,2,10000,1,0,1
29,983,963,2,10000,1,0,1
55,204,1973,2,10000,1,0,1
44,1074,911,2,10000,1,0,1
47,3466,853,2,10000,1,0,1
35,-203,1649,2,10000,1,0,1
35,2436,1397,3,10000,0,0,1
38,976,766,3,10000,1,0,1
34,146,788,2,10000,1,0,1
50,156,1130,3,10000,0,0,1
43,189,1062,4,10000,1,0,1
44,163,1669,2,10000,1,0,1
51,242,1336,4,10000,0,0,1
31,1173,444,3,10000,1,0,1
39,0,894,7,10000,1,0,1
59,296,805,3,10000,0,0,1
25,333,1056,2,10000,0,0,1
58,3864,815,4,10000,1,0,1
30,2686,808,3,10000,1,0,1
34,-109,860,4,10000,1,0,1
51,65,881,1,10000,0,0,1
60,597,981,1,10000,0,0,1
51,-799,1001,3,10000,0,0,1
37,1775,514,5,10000,0,0,1
30,0,716,3,10000,0,0,1
46,-563,769,4,10000,0,0,1
29,5,889,5,10000,0,0,1
27,139,448,5,10000,0,0,1
28,0,767,5,10000,1,0,1
34,855,578,1,10000,1,0,1
29,694,1806,4,10000,1,0,1
27,151,496,1,10000,1,0,1
26,354,586,1,10000,0,0,1
36,673,689,1,10000,1,0,1
44,1265,555,1,10000,1,0,1
39,597,686,6,10000,0,0,1
30,-393,435,1,10000,1,0,1
31,256,873,2,10000,1,0,1
56,0,1222,1,10000,1,0,1
29,2870,988,1,10000,1,0,1
43,184,1019,11,10000,0,0,1
32,1905,709,2,10000,1,0,1
30,-36,561,9,10000,0,0,1
40,-839,1018,2,10000,1,0,1
42,3465,1039,2,10000,1,0,1
27,119,781,2,10000,1,0,1
35,36,1656,5,10000,0,0,1
35,113,923,2,10000,1,0,1
32,118,1275,1,10000,1,0,1
39,251,342,2,10000,1,0,1
31,-277,1008,2,10000,1,0,1
26,-189,538,2,10000,0,0,1
42,4,795,1,10000,1,0,1
27,1820,1027,1,10000,1,0,1
33,1904,1584,2,10000,1,0,1
51,201,582,2,10000,1,0,1
33,0,1448,7,10000,1,0,1
30,178,656,3,10000,0,0,1
52,3798,1208,1,10000,1,0,1
42,301,1175,2,10000,1,0,1
31,294,536,5,10000,1,0,1
27,0,991,5,10000,1,0,1
44,292,1153,4,10000,0,0,1
40,2998,623,3,10000,1,0,1
46,2084,1081,2,10000,1,0,1
32,454,978,1,10000,1,0,1
56,179,536,1,10000,0,0,1
33,661,968,1,10000,1,0,1
33,89,278,2,10000,1,0,1
32,102,560,1,10000,1,0,1
41,138,640,3,10000,1,0,1
31,622,420,1,10000,0,0,1
30,10,658,2,10000,1,0,1
34,-251,641,1,10000,0,0,1
43,104,635,3,10000,1,0,1
28,173,588,7,10000,0,0,1
32,-46,1373,4,10000,0,0,1
31,0,913,4,10000,1,0,1
35,145,799,2,10000,1,0,1
31,325,1139,2,10000,1,0,1
25,2311,1105,2,10000,0,0,1
56,158,854,1,10000,0,0,1
47,1981,919,2,10000,1,0,1
39,1423,733,3,10000,1,0,1
51,2455,553,1,10000,1,0,1
54,859,710,1,10000,0,0,1
58,9004,891,4,10000,0,0,1
42,970,691,10,10000,1,0,1
56,486,1877,1,10000,0,0,1
55,127,1130,8,10000,1,0,1
26,409,577,2,10000,1,0,1
40,664,1342,2,10000,0,0,1
26,223,1002,3,10000,0,0,1
35,-324,985,11,10000,0,0,1
34,-30,1360,3,10000,0,0,1
41,1253,1134,5,10000,0,0,1
44,4758,712,6,10000,1,0,1
33,30,1077,1,10000,1,0,1
36,81,560,1,10000,0,0,1
38,0,1545,1,10000,1,0,1
35,328,654,2,10000,1,0,1
41,145,1833,2,10000,0,0,1
41,465,1508,1,10000,1,0,1
28,751,598,5,10000,1,0,1
26,-379,1237,7,10000,1,0,1
39,0,864,4,10000,0,0,1
25,349,1037,8,10000,1,0,1
37,1110,802,11,10000,1,0,1
25,2228,754,1,10000,1,0,1
46,2166,870,1,10000,1,0,1
25,-247,633,1,10000,1,0,1
28,-123,690,1,10000,0,0,1
33,44,529,1,10000,0,0,1
32,131,1152,2,10000,1,0,1
32,476,956,9,10000,1,0,1
47,1101,957,3,10000,1,0,1
50,-168,1327,2,10000,1,0,1
27,-392,228,2,10000,1,0,1
45,524,808,1,10000,1,0,1
51,895,638,2,10000,0,0,1
36,212,1201,6,10000,1,0,1
51,95,1309,4,10000,1,0,1
33,395,1359,6,10000,1,0,1
59,135,416,4,10000,1,0,1
38,0,532,2,10000,0,0,1
40,471,430,4,10000,1,0,1
51,603,853,2,10000,1,0,1
41,663,1204,1,10000,0,0,1
38,593,1484,24,10000,1,0,1
31,1224,1441,2,10000,1,0,1
28,2,454,1,10000,1,0,1
41,720,651,1,10000,0,0,1
33,990,1491,2,10000,1,0,1
25,1747,903,1,10000,1,0,1
45,59,873,8,10000,1,0,1
31,33,901,2,10000,1,0,1
28,340,821,2,10000,1,0,1
49,305,367,2,10000,0,0,1
25,0,458,9,10000,1,0,1
28,497,1602,6,10000,1,0,1
54,1371,1492,2,10000,0,0,1
28,1628,1422,2,10000,1,0,1
27,372,728,2,10000,1,0,1
49,566,979,2,10000,1,0,1
53,343,616,5,10000,1,0,1
26,941,784,1,10000,0,0,1
37,775,1000,1,10000,0,0,1
34,1759,695,1,10000,0,0,1
51,1495,1946,4,10000,0,0,1
39,1444,362,8,10000,0,0,1
35,470,743,13,10000,1,0,1
51,1162,2015,1,10000,1,0,1
30,2,1031,8,10000,1,0,1
42,1628,590,8,10000,1,0,1
54,1134,1330,3,10000,1,0,1
51,0,946,3,10000,1,0,1
57,63,1448,17,10000,0,0,1
30,1221,279,4,10000,1,0,1
37,5024,661,4,10000,0,0,1
39,10685,1369,9,10000,1,0,1
35,1629,653,4,10000,0,0,1
48,268,458,7,10000,1,0,1
31,0,664,8,10000,1,0,1
35,5613,699,3,10000,1,0,1
48,513,939,3,10000,0,0,1
53,362,1169,2,10000,0,0,1
27,3933,837,3,10000,0,0,1
55,3899,596,4,10000,1,0,1
40,473,383,3,10000,1,0,1
40,1616,1009,7,10000,0,0,1
38,1817,1096,4,10000,1,0,1
54,129,867,2,10000,0,0,1
54,1938,551,3,10000,0,0,1
50,133,890,4,10000,0,0,1
48,2263,874,2,10000,0,0,1
41,1538,710,2,10000,0,0,1
51,5,600,2,10000,0,0,1
42,2625,2516,2,10000,0,0,1
58,1080,1058,2,10000,1,0,1
47,312,884,1,10000,0,0,1
58,145,616,13,10000,1,0,1
41,-190,808,3,10000,0,0,1
50,2678,1011,6,10000,0,0,1
46,271,1013,29,10000,1,0,1
44,0,684,2,10000,0,0,1
36,0,843,2,10000,0,0,1
58,3161,542,2,10000,0,0,1
44,-4,788,2,10000,0,0,1
49,-701,988,2,10000,1,0,1
55,-375,814,2,10000,0,0,1
52,959,694,2,10000,0,0,1
60,1091,441,5,10000,0,0,1
41,-1,1171,4,10000,0,0,1
36,96,729,4,10000,0,0,1
41,0,509,2,10000,0,0,1
50,230,1089,4,10000,0,0,1
44,-156,1211,2,10000,0,0,1
54,114,458,3,10000,0,0,1
35,-468,540,8,10000,1,0,1
59,679,761,4,10000,0,0,1
42,206,695,2,10000,1,0,1
27,1,764,4,10000,1,0,1
59,2518,675,3,10000,0,0,1
43,378,782,8,10000,0,0,1
39,391,962,4,10000,0,0,1
33,-144,481,3,10000,0,0,1
36,1240,812,3,10000,0,0,1
35,1792,630,6,10000,1,0,1
50,2284,1088,17,10000,1,0,1
55,264,1150,5,10000,1,0,1
51,0,574,2,10000,0,0,1
48,-392,725,4,10000,0,0,1
55,77,463,6,10000,0,0,1
30,48,662,13,10000,1,0,1
53,252,727,4,10000,0,0,1
40,1954,1107,2,10000,0,0,1
44,755,829,4,10000,0,0,1
49,755,1212,4,10000,0,0,1
40,341,1142,5,10000,0,0,1
58,1183,1721,5,10000,0,0,1
49,388,1032,4,10000,0,0,1
38,1919,846,1,10000,0,0,1
51,1613,870,1,10000,0,0,1
36,0,1165,1,10000,0,0,1
55,0,1110,1,10000,0,0,1
43,0,1488,2,10000,0,0,1
60,0,603,3,10000,0,0,1
57,466,641,2,10000,0,0,1
41,515,837,2,10000,0,0,1
50,2313,553,1,10000,0,0,1
53,-8,794,1,10000,0,0,1
59,1634,836,1,10000,1,0,1
59,100,1134,1,10000,0,0,1
52,5361,607,3,10000,0,0,1
58,1257,1536,1,10000,0,0,1
59,3400,515,3,10000,1,0,1
49,1377,935,1,10000,0,0,1
33,2885,1051,2,10000,0,0,1
55,512,1200,2,10000,0,0,1
42,921,531,3,10000,0,0,1
52,1000,766,2,10000,0,0,1
38,202,1311,2,10000,0,0,1
55,169,618,2,10000,0,0,1
49,3726,875,2,10000,0,0,1
56,146,419,3,10000,1,0,1
46,940,1227,2,10000,0,0,1
57,734,1357,4,10000,0,0,1
61,77,455,4,10000,0,0,1
45,925,406,2,10000,0,0,1
39,1836,902,3,10000,0,0,1
46,660,740,2,10000,0,0,1
43,1304,501,2,10000,0,0,1
34,2956,835,2,10000,0,0,1
35,146,720,2,10000,0,0,1
36,36,836,4,10000,0,0,1
45,1,490,2,10000,0,0,1
47,2480,763,2,10000,0,0,1
42,14282,649,4,10000,1,0,1
40,0,641,6,10000,0,0,1
40,311,738,2,10000,0,0,1
32,560,1044,4,10000,0,0,1
33,3059,482,2,10000,0,0,1
32,1423,1249,4,10000,0,0,1
46,874,996,1,10000,0,0,1
50,706,1250,4,10000,1,0,1
51,7098,1471,7,10000,0,0,1
30,5389,1456,3,10000,0,0,1
39,1104,395,2,10000,0,0,1
47,3070,663,4,10000,0,0,1
40,0,674,2,10000,0,0,1
50,4108,526,2,10000,1,0,1
60,0,401,3,10000,0,0,1
32,4291,1321,9,10000,0,0,1
57,6822,797,2,10000,0,0,1
41,231,352,2,10000,0,0,1
50,3176,670,1,10000,0,0,1
46,-824,429,3,10000,1,0,1
31,676,1182,1,10000,0,0,1
36,651,876,1,10000,0,0,1
45,2657,895,3,10000,0,0,1
33,801,341,5,10000,0,0,1
47,405,994,2,10000,0,0,1
35,82,507,4,10000,0,0,1
38,179,317,4,10000,0,0,1
33,1047,512,4,10000,0,0,1
44,7138,809,2,10000,0,0,1
31,165,523,2,10000,0,0,1
31,37,669,2,10000,0,0,1
49,823,780,4,10000,0,0,1
52,1625,459,2,10000,0,0,1
31,120,1000,1,10000,0,0,1
35,2957,733,3,10000,1,0,1
31,2,848,1,10000,0,0,1
36,1,1242,3,10000,0,0,1
39,1795,922,7,10000,0,0,1
46,4,1206,4,10000,0,0,1
48,476,856,3,10000,0,0,1
36,9,386,4,10000,0,0,1
30,131,384,6,10000,1,0,1
33,1120,1070,2,10000,0,0,1
57,2785,610,4,10000,0,0,1
33,0,699,7,10000,0,0,1
35,43,917,4,10000,0,0,1
53,0,608,2,10000,0,0,1
41,456,734,4,10000,1,0,1
32,2018,1238,1,10000,0,0,1
41,0,1242,5,10000,0,0,1
35,354,444,3,10000,0,0,1
48,719,418,5,10000,0,0,1
34,828,1080,3,10000,0,0,1
47,2787,479,1,10000,0,0,1
46,2551,645,2,10000,0,0,1
60,2722,506,2,10000,0,0,1
39,1880,768,2,10000,0,0,1
57,2112,1134,2,10000,0,0,1
36,871,396,3,10000,0,0,1
30,850,507,2,10000,0,0,1
33,3243,439,4,10000,0,0,1
30,1567,1133,4,10000,1,0,1
36,12,587,2,10000,0,0,1
49,128,696,2,10000,0,0,1
49,553,645,8,10000,0,0,1
40,1694,473,6,10000,0,0,1
49,408,559,4,10000,0,0,1
38,1223,1092,5,10000,0,0,1
31,1858,453,3,10000,0,0,1
34,520,1307,4,10000,1,0,1
39,271,1344,1,10000,1,0,1
40,4396,432,3,10000,0,0,1
47,568,1613,1,10000,1,0,1
37,3665,664,3,10000,0,0,1
44,244,1735,4,10000,1,0,1
55,568,940,10,10000,0,0,1
40,42,1842,2,10000,0,0,1
54,309,969,2,10000,0,0,1
35,-180,823,2,10000,0,0,1
32,34646,618,9,10000,0,0,1
36,59,526,2,10000,0,0,1
37,4436,846,5,10000,0,0,1
37,-242,1149,6,10000,1,0,1
50,10052,665,2,10000,0,0,1
58,0,641,4,10000,0,0,1
52,152,404,6,10000,0,0,1
31,156,657,7,10000,0,0,1
40,66,737,4,10000,0,0,1
34,9827,871,4,10000,1,0,1
53,6170,838,4,10000,0,0,1
43,2383,379,6,10000,0,0,1
30,635,851,8,10000,0,0,1
34,16,990,1,10000,0,0,1
