#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
70,Kadabra,Psychic,,40,35,30,120,70,105,1,False
71,Alakazam,Psychic,,55,50,45,135,95,120,1,False
72,Mega Alakazam,Psychic,,55,50,65,175,95,150,1,False
73,Machop,Fighting,,70,80,50,35,35,35,1,False
74,Machoke,Fighting,,80,100,70,50,60,45,1,False
75,Machamp,Fighting,,90,130,80,65,85,55,1,False
76,Bellsprout,Grass,Poison,50,75,35,70,30,40,1,False
77,Weepinbell,Grass,Poison,65,90,50,85,45,55,1,False
78,Victreebel,Grass,Poison,80,105,65,100,70,70,1,False
79,Tentacool,Water,Poison,40,40,35,50,100,70,1,False
80,Tentacruel,Water,Poison,80,70,65,80,120,100,1,False
81,Geodude,Rock,Ground,40,80,100,30,30,20,1,False
82,Graveler,Rock,Ground,55,95,115,45,45,35,1,False
83,Golem,Rock,Ground,80,120,130,55,65,45,1,False
84,Ponyta,Fire,,50,85,55,65,65,90,1,False
85,Rapidash,Fire,,65,100,70,80,80,105,1,False
86,Slowpoke,Water,Psychic,90,65,65,40,40,15,1,False
87,Slowbro,Water,Psychic,95,75,110,100,80,30,1,False
88,Mega Slowbro,Water,Psychic,95,75,180,130,80,30,1,False
89,Magnemite,Electric,Steel,25,35,70,95,55,45,1,False
90,Magneton,Electric,Steel,50,60,95,120,70,70,1,False
91,Farfetch'd,Normal,Flying,52,65,55,58,62,60,1,False
92,Doduo,Normal,Flying,35,85,45,35,35,75,1,False
93,Dodrio,Normal,Flying,60,110,70,60,60,100,1,False
94,Seel,Water,,65,45,55,45,70,45,1,False
95,Dewgong,Water,Ice,90,70,80,70,95,70,1,False
96,Grimer,Poison,,80,80,50,40,50,25,1,False
97,Muk,Poison,,105,105,75,65,100,50,1,False
98,Shellder,Water,,30,65,100,45,25,40,1,False
99,Cloyster,Water,Ice,50,95,180,85,45,70,1,False
100,Gastly,Ghost,Poison,30,35,30,100,35,80,1,False
101,Haunter,Ghost,Poison,45,50,45,115,55,95,1,False
102,Gengar,Ghost,Poison,60,65,60,130,75,110,1,False
103,Mega Gengar,Ghost,Poison,60,65,80,170,95,130,1,False
104,Onix,Rock,Ground,35,45,160,30,45,70,1,False
105,Drowzee,Psychic,,60,48,45,43,90,42,1,False
106,Hypno,Psychic,,85,73,70,73,115,67,1,False
107,Krabby,Water,,30,105,90,25,25,50,1,False
108,Kingler,Water,,55,130,115,50,50,75,1,False
109,Voltorb,Electric,,40,30,50,55,55,100,1,False
110,Electrode,Electric,,60,50,70,80,80,140,1,False
111,Exeggcute,Grass,Psychic,60,40,80,60,45,40,1,False
112,Exeggutor,Grass,Psychic,95,95,85,125,65,55,1,False
113,Cubone,Ground,,50,50,95,40,50,35,1,False
114,Marowak,Ground,,60,80,110,50,80,45,1,False
115,Hitmonlee,Fighting,,50,120,53,35,110,87,1,False
116,Hitmonchan,Fighting,,50,105,79,35,110,76,1,False
117,Lickitung,Normal,,90,55,75,60,75,30,1,False
118,Koffing,Poison,,40,65,95,60,45,35,1,False
119,Weezing,Poison,,65,90,120,85,70,60,1,False
120,Rhyhorn,Ground,Rock,80,85,95,30,30,25,1,False
121,Rhydon,Ground,Rock,105,130,120,45,45,40,1,False
122,Chansey,Normal,,250,5,5,35,105,50,1,False
123,Tangela,Grass,,65,55,115,100,40,60,1,False
124,Kangaskhan,Normal,,105,95,80,40,80,90,1,False
125,Mega Kangaskhan,Normal,,105,125,100,60,100,100,1,False
126,Horsea,Water,,30,40,70,70,25,60,1,False
127,Seadra,Water,,55,65,95,95,45,85,1,False
128,Goldeen,Water,,45,67,60,35,50,63,1,False
129,Seaking,Water,,80,92,65,65,80,68,1,False
130,Staryu,Water,,30,45,55,70,55,85,1,False
131,Starmie,Water,Psychic,60,75,85,100,85,115,1,False
132,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,1,False
133,Scyther,Bug,Flying,70,110,80,55,80,105,1,False
134,Jynx,Ice,Psychic,65,50,35,115,95,95,1,False
135,Electabuzz,Electric,,65,83,57,95,85,105,1,False
136,Magmar,Fire,,65,95,57,100,85,93,1,False
137,Pinsir,Bug,,65,125,100,55,70,85,1,False
138,Mega Pinsir,Bug,Flying,65,155,120,65,90,105,1,False
139,Tauros,Normal,,75,100,95,40,70,110,1,False
140,Magikarp,Water,,20,10,55,15,20,80,1,False
141,Gyarados,Water,Flying,95,125,79,60,100,81,1,False
142,Mega Gyarados,Water,Dark,95,155,109,70,130,81,1,False
143,Lapras,Water,Ice,130,85,80,85,95,60,1,False
144,Ditto,Normal,,48,48,48,48,48,48,1,False
145,Eevee,Normal,,55,55,50,45,65,55,1,False
146,Vaporeon,Water,,130,65,60,110,95,65,1,False
147,Jolteon,Electric,,65,65,60,110,95,130,1,False
148,Flareon,Fire,,65,130,60,95,110,65,1,False
149,Porygon,Normal,,65,60,70,85,75,40,1,False
150,Omanyte,Rock,Water,35,40,100,90,55,35,1,False
151,Omastar,Rock,Water,70,60,125,115,70,55,1,False
152,Kabuto,Rock,Water,30,80,90,55,45,55,1,False
153,Kabutops,Rock,Water,60,115,105,65,70,80,1,False
154,Aerodactyl,Rock,Flying,80,105,65,60,75,130,1,False
155,Mega Aerodactyl,Rock,Flying,80,135,85,70,95,150,1,False
156,Snorlax,Normal,,160,110,65,65,110,30,1,False
157,Articuno,Ice,Flying,90,85,100,95,125,85,1,True
158,Zapdos,Electric,Flying,90,90,85,125,90,100,1,True
159,Moltres,Fire,Flying,90,100,90,125,85,90,1,True
160,Dratini,Dragon,,41,64,45,50,50,50,1,False
161,Dragonair,Dragon,,61,84,65,70,70,70,1,False
162,Dragonite,Dragon,Flying,91,134,95,100,100,80,1,False
163,Mewtwo,Psychic,,106,110,90,154,90,130,1,True
164,Mega Mewtwo X,Psychic,Fighting,106,190,100,154,100,130,1,True
165,Mega Mewtwo Y,Psychic,,106,150,70,194,120,140,1,True
166,Mew,Psychic,,100,100,100,100,100,100,1,False
167,Chikorita,Grass,,45,49,65,49,65,45,2,False
168,Bayleef,Grass,,60,62,80,63,80,60,2,False
169,Meganium,Grass,,80,82,100,83,100,80,2,False
170,Cyndaquil,Fire,,39,52,43,60,50,65,2,False
171,Quilava,Fire,,58,64,58,80,65,80,2,False
172,Typhlosion,Fire,,78,84,78,109,85,100,2,False
173,Totodile,Water,,50,65,64,44,48,43,2,False
174,Croconaw,Water,,65,80,80,59,63,58,2,False
175,Feraligatr,Water,,85,105,100,79,83,78,2,False
176,Sentret,Normal,,35,46,34,35,45,20,2,False
177,Furret,Normal,,85,76,64,45,55,90,2,False
178,Hoothoot,Normal,Flying,60,30,30,36,56,50,2,False
179,Noctowl,Normal,Flying,100,50,50,76,96,70,2,False
180,Ledyba,Bug,Flying,40,20,30,40,80,55,2,False
181,Ledian,Bug,Flying,55,35,50,55,110,85,2,False
182,Spinarak,Bug,Poison,40,60,40,40,40,30,2,False
183,Ariados,Bug,Poison,70,90,70,60,60,40,2,False
184,Crobat,Poison,Flying,85,90,80,70,80,130,2,False
185,Chinchou,Water,Electric,75,38,38,56,56,67,2,False
186,Lanturn,Water,Electric,125,58,58,76,76,67,2,False
187,Pichu,Electric,,20,40,15,35,35,60,2,False
188,Cleffa,Fairy,,50,25,28,45,55,15,2,False
189,Igglybuff,Normal,Fairy,90,30,15,40,20,15,2,False
190,Togepi,Fairy,,35,20,65,40,65,20,2,False
191,Togetic,Fairy,Flying,55,40,85,80,105,40,2,False
192,Natu,Psychic,Flying,40,50,45,70,45,70,2,False
193,Xatu,Psychic,Flying,65,75,70,95,70,95,2,False
194,Mareep,Electric,,55,40,40,65,45,35,2,False
195,Flaaffy,Electric,,70,55,55,80,60,45,2,False
196,Ampharos,Electric,,90,75,85,115,90,55,2,False
197,Mega Ampharos,Electric,Dragon,90,95,105,165,110,45,2,False
198,Bellossom,Grass,,75,80,95,90,100,50,2,False
199,Marill,Water,Fairy,70,20,50,20,50,40,2,False
200,Azumarill,Water,Fairy,100,50,80,60,80,50,2,False
201,Sudowoodo,Rock,,70,100,115,30,65,30,2,False
202,Politoed,Water,,90,75,75,90,100,70,2,False
203,Hoppip,Grass,Flying,35,35,40,35,55,50,2,False
204,Skiploom,Grass,Flying,55,45,50,45,65,80,2,False
205,Jumpluff,Grass,Flying,75,55,70,55,95,110,2,False
206,Aipom,Normal,,55,70,55,40,55,85,2,False
207,Sunkern,Grass,,30,30,30,30,30,30,2,False
208,Sunflora,Grass,,75,75,55,105,85,30,2,False
209,Yanma,Bug,Flying,65,65,45,75,45,95,2,False
210,Wooper,Water,Ground,55,45,45,25,25,15,2,False
211,Quagsire,Water,Ground,95,85,85,65,65,35,2,False
212,Espeon,Psychic,,65,65,60,130,95,110,2,False
213,Umbreon,Dark,,95,65,110,60,130,65,2,False
214,Murkrow,Dark,Flying,60,85,42,85,42,91,2,False
215,Slowking,Water,Psychic,95,75,80,100,110,30,2,False
216,Misdreavus,Ghost,,60,60,60,85,85,85,2,False
217,Unown,Psychic,,48,72,48,72,48,48,2,False
218,Wobbuffet,Psychic,,190,33,58,33,58,33,2,False
219,Girafarig,Normal,Psychic,70,80,65,90,65,85,2,False
220,Pineco,Bug,,50,65,90,35,35,15,2,False
221,Forretress,Bug,Steel,75,90,140,60,60,40,2,False
222,Dunsparce,Normal,,100,70,70,65,65,45,2,False
223,Gligar,Ground,Flying,65,75,105,35,65,85,2,False
224,Steelix,Steel,Ground,75,85,200,55,65,30,2,False
225,Mega Steelix,Steel,Ground,75,125,230,55,95,30,2,False
226,Snubbull,Fairy,,60,80,50,40,40,30,2,False
227,Granbull,Fairy,,90,120,75,60,60,45,2,False
228,Qwilfish,Water,Poison,65,95,75,55,55,85,2,False
229,Scizor,Bug,Steel,70,130,100,55,80,65,2,False
230,Mega Scizor,Bug,Steel,70,150,140,65,100,75,2,False
231,Shuckle,Bug,Rock,20,10,230,10,230,5,2,False
232,Heracross,Bug,Fighting,80,125,75,40,95,85,2,False
233,Mega Heracross,Bug,Fighting,80,185,115,40,105,75,2,False
234,Sneasel,Dark,Ice,55,95,55,35,75,115,2,False
235,Teddiursa,Normal,,60,80,50,50,50,40,2,False
236,Ursaring,Normal,,90,130,75,75,75,55,2,False
237,Slugma,Fire,,40,40,40,70,40,20,2,False
238,Magcargo,Fire,Rock,50,50,120,80,80,30,2,False
239,Swinub,Ice,Ground,50,50,40,30,30,50,2,False
240,Piloswine,Ice,Ground,100,100,80,60,60,50,2,False
241,Corsola,Water,Rock,55,55,85,65,85,35,2,False
242,Remoraid,Water,,35,65,35,65,35,65,2,False
243,Octillery,Water,,75,105,75,105,75,45,2,False
244,Delibird,Ice,Flying,45,55,45,65,45,75,2,False
245,Mantine,Water,Flying,65,40,70,80,140,70,2,False
246,Skarmory,Steel,Flying,65,80,140,40,70,70,2,False
247,Houndour,Dark,Fire,45,60,30,80,50,65,2,False
248,Houndoom,Dark,Fire,75,90,50,110,80,95,2,False
249,Mega Houndoom,Dark,Fire,75,90,90,140,90,115,2,False
250,Kingdra,Water,Dragon,75,95,95,95,95,85,2,False
251,Phanpy,Ground,,90,60,60,40,40,40,2,False
252,Donphan,Ground,,90,120,120,60,60,50,2,False
253,Porygon2,Normal,,85,80,90,105,95,60,2,False
254,Stantler,Normal,,73,95,62,85,65,85,2,False
255,Smeargle,Normal,,55,20,35,20,45,75,2,False
256,Tyrogue,Fighting,,35,35,35,35,35,35,2,False
257,Hitmontop,Fighting,,50,95,95,35,110,70,2,False
258,Smoochum,Ice,Psychic,45,30,15,85,65,65,2,False
259,Elekid,Electric,,45,63,37,65,55,95,2,False
260,Magby,Fire,,45,75,37,70,55,83,2,False
261,Miltank,Normal,,95,80,105,40,70,100,2,False
262,Blissey,Normal,,255,10,10,75,135,55,2,False
263,Raikou,Electric,,90,85,75,115,100,115,2,True
264,Entei,Fire,,115,115,85,90,75,100,2,True
265,Suicune,Water,,100,75,115,90,115,85,2,True
266,Larvitar,Rock,Ground,50,64,50,45,50,41,2,False
267,Pupitar,Rock,Ground,70,84,70,65,70,51,2,False
268,Tyranitar,Rock,Dark,100,134,110,95,100,61,2,False
269,Mega Tyranitar,Rock,Dark,100,164,150,95,120,71,2,False
270,Lugia,Psychic,Flying,106,90,130,90,154,110,2,True
271,Ho-oh,Fire,Flying,106,130,90,110,154,90,2,True
272,Celebi,Psychic,Grass,100,100,100,100,100,100,2,False
273,Treecko,Grass,,40,45,35,65,55,70,3,False
274,Grovyle,Grass,,50,65,45,85,65,95,3,False
275,Sceptile,Grass,,70,85,65,105,85,120,3,False
276,Mega Sceptile,Grass,Dragon,70,110,75,145,85,145,3,False
277,Torchic,Fire,,45,60,40,70,50,45,3,False
278,Combusken,Fire,Fighting,60,85,60,85,60,55,3,False
279,Blaziken,Fire,Fighting,80,120,70,110,70,80,3,False
280,Mega Blaziken,Fire,Fighting,80,160,80,130,80,100,3,False
281,Mudkip,Water,,50,70,50,50,50,40,3,False
282,Marshtomp,Water,Ground,70,85,70,60,70,50,3,False
283,Swampert,Water,Ground,100,110,90,85,90,60,3,False
284,Mega Swampert,Water,Ground,100,150,110,95,110,70,3,False
285,Poochyena,Dark,,35,55,35,30,30,35,3,False
286,Mightyena,Dark,,70,90,70,60,60,70,3,False
287,Zigzagoon,Normal,,38,30,41,30,41,60,3,False
288,Linoone,Normal,,78,70,61,50,61,100,3,False
289,Wurmple,Bug,,45,45,35,20,30,20,3,False
290,Silcoon,Bug,,50,35,55,25,25,15,3,False
291,Beautifly,Bug,Flying,60,70,50,100,50,65,3,False
292,Cascoon,Bug,,50,35,55,25,25,15,3,False
293,Dustox,Bug,Poison,60,50,70,50,90,65,3,False
294,Lotad,Water,Grass,40,30,30,40,50,30,3,False
295,Lombre,Water,Grass,60,50,50,60,70,50,3,False
296,Ludicolo,Water,Grass,80,70,70,90,100,70,3,False
297,Seedot,Grass,,40,40,50,30,30,30,3,False
298,Nuzleaf,Grass,Dark,70,70,40,60,40,60,3,False
299,Shiftry,Grass,Dark,90,100,60,90,60,80,3,False
300,Taillow,Normal,Flying,40,55,30,30,30,85,3,False
301,Swellow,Normal,Flying,60,85,60,50,50,125,3,False
302,Wingull,Water,Flying,40,30,30,55,30,85,3,False
303,Pelipper,Water,Flying,60,50,100,85,70,65,3,False
304,Ralts,Psychic,Fairy,28,25,25,45,35,40,3,False
305,Kirlia,Psychic,Fairy,38,35,35,65,55,50,3,False
306,Gardevoir,Psychic,Fairy,68,65,65,125,115,80,3,False
307,Mega Gardevoir,Psychic,Fairy,68,85,65,165,135,100,3,False
308,Surskit,Bug,Water,40,30,32,50,52,65,3,False
309,Masquerain,Bug,Flying,70,60,62,80,82,60,3,False
310,Shroomish,Grass,,60,40,60,40,60,35,3,False
311,Breloom,Grass,Fighting,60,130,80,60,60,70,3,False
312,Slakoth,Normal,,60,60,60,35,35,30,3,False
313,Vigoroth,Normal,,80,80,80,55,55,90,3,False
314,Slaking,Normal,,150,160,100,95,65,100,3,False
315,Nincada,Bug,Ground,31,45,90,30,30,40,3,False
316,Ninjask,Bug,Flying,61,90,45,50,50,160,3,False
317,Shedinja,Bug,Ghost,1,90,45,30,30,40,3,False
318,Whismur,Normal,,64,51,23,51,23,28,3,False
319,Loudred,Normal,,84,71,43,71,43,48,3,False
320,Exploud,Normal,,104,91,63,91,73,68,3,False
321,Makuhita,Fighting,,72,60,30,20,30,25,3,False
322,Hariyama,Fighting,,144,120,60,40,60,50,3,False
323,Azurill,Normal,Fairy,50,20,40,20,40,20,3,False
324,Nosepass,Rock,,30,45,135,45,90,30,3,False
325,Skitty,Normal,,50,45,45,35,35,50,3,False
326,Delcatty,Normal,,70,65,65,55,55,70,3,False
327,Sableye,Dark,Ghost,50,75,75,65,65,50,3,False
328,Mega Sableye,Dark,Ghost,50,85,125,85,115,20,3,False
329,Mawile,Steel,Fairy,50,85,85,55,55,50,3,False
330,Mega Mawile,Steel,Fairy,50,105,125,55,95,50,3,False
331,Aron,Steel,Rock,50,70,100,40,40,30,3,False
332,Lairon,Steel,Rock,60,90,140,50,50,40,3,False
333,Aggron,Steel,Rock,70,110,180,60,60,50,3,False
334,Mega Aggron,Steel,,70,140,230,60,80,50,3,False
335,Meditite,Fighting,Psychic,30,40,55,40,55,60,3,False
336,Medicham,Fighting,Psychic,60,60,75,60,75,80,3,False
337,Mega Medicham,Fighting,Psychic,60,100,85,80,85,100,3,False
338,Electrike,Electric,,40,45,40,65,40,65,3,False
339,Manectric,Electric,,70,75,60,105,60,105,3,False
340,Mega Manectric,Electric,,70,75,80,135,80,135,3,False
341,Plusle,Electric,,60,50,40,85,75,95,3,False
342,Minun,Electric,,60,40,50,75,85,95,3,False
343,Volbeat,Bug,,65,73,55,47,75,85,3,False
344,Illumise,Bug,,65,47,55,73,75,85,3,False
345,Roselia,Grass,Poison,50,60,45,100,80,65,3,False
346,Gulpin,Poison,,70,43,53,43,53,40,3,False
347,Swalot,Poison,,100,73,83,73,83,55,3,False
348,Carvanha,Water,Dark,45,90,20,65,20,65,3,False
349,Sharpedo,Water,Dark,70,120,40,95,40,95,3,False
350,Mega Sharpedo,Water,Dark,70,140,70,110,65,105,3,False
351,Wailmer,Water,,130,70,35,70,35,60,3,False
352,Wailord,Water,,170,90,45,90,45,60,3,False
353,Numel,Fire,Ground,60,60,40,65,45,35,3,False
354,Camerupt,Fire,Ground,70,100,70,105,75,40,3,False
355,Mega Camerupt,Fire,Ground,70,120,100,145,105,20,3,False
356,Torkoal,Fire,,70,85,140,85,70,20,3,False
357,Spoink,Psychic,,60,25,35,70,80,60,3,False
358,Grumpig,Psychic,,80,45,65,90,110,80,3,False
359,Spinda,Normal,,60,60,60,60,60,60,3,False
360,Trapinch,Ground,,45,100,45,45,45,10,3,False
361,Vibrava,Ground,Dragon,50,70,50,50,50,70,3,False
362,Flygon,Ground,Dragon,80,100,80,80,80,100,3,False
363,Cacnea,Grass,,50,85,40,85,40,35,3,False
364,Cacturne,Grass,Dark,70,115,60,115,60,55,3,False
365,Swablu,Normal,Flying,45,40,60,40,75,50,3,False
366,Altaria,Dragon,Flying,75,70,90,70,105,80,3,False
367,Mega Altaria,Dragon,Fairy,75,110,110,110,105,80,3,False
368,Zangoose,Normal,,73,115,60,60,60,90,3,False
369,Seviper,Poison,,73,100,60,100,60,65,3,False
370,Lunatone,Rock,Psychic,70,55,65,95,85,70,3,False
371,Solrock,Rock,Psychic,70,95,85,55,65,70,3,False
372,Barboach,Water,Ground,50,48,43,46,41,60,3,False
373,Whiscash,Water,Ground,110,78,73,76,71,60,3,False
374,Corphish,Water,,43,80,65,50,35,35,3,False
375,Crawdaunt,Water,Dark,63,120,85,90,55,55,3,False
376,Baltoy,Ground,Psychic,40,40,55,40,70,55,3,False
377,Claydol,Ground,Psychic,60,70,105,70,120,75,3,False
378,Lileep,Rock,Grass,66,41,77,61,87,23,3,False
379,Cradily,Rock,Grass,86,81,97,81,107,43,3,False
380,Anorith,Rock,Bug,45,95,50,40,50,75,3,False
381,Armaldo,Rock,Bug,75,125,100,70,80,45,3,False
382,Feebas,Water,,20,15,20,10,55,80,3,False
383,Milotic,Water,,95,60,79,100,125,81,3,False
384,Castform,Normal,,70,70,70,70,70,70,3,False
385,Kecleon,Normal,,60,90,70,60,120,40,3,False
386,Shuppet,Ghost,,44,75,35,63,33,45,3,False
387,Banette,Ghost,,64,115,65,83,63,65,3,False
388,Mega Banette,Ghost,,64,165,75,93,83,75,3,False
389,Duskull,Ghost,,20,40,90,30,90,25,3,False
390,Dusclops,Ghost,,40,70,130,60,130,25,3,False
391,Tropius,Grass,Flying,99,68,83,72,87,51,3,False
392,Chimecho,Psychic,,65,50,70,95,80,65,3,False
393,Absol,Dark,,65,130,60,75,60,75,3,False
394,Mega Absol,Dark,,65,150,60,115,60,115,3,False
395,Wynaut,Psychic,,95,23,48,23,48,23,3,False
396,Snorunt,Ice,,50,50,50,50,50,50,3,False
397,Glalie,Ice,,80,80,80,80,80,80,3,False
398,Mega Glalie,Ice,,80,120,80,120,80,100,3,False
399,Spheal,Ice,Water,70,40,50,55,50,25,3,False
400,Sealeo,Ice,Water,90,60,70,75,70,45,3,False
401,Walrein,Ice,Water,110,80,90,95,90,65,3,False
402,Clamperl,Water,,35,64,85,74,55,32,3,False
403,Huntail,Water,,55,104,105,94,75,52,3,False
404,Gorebyss,Water,,55,84,105,114,75,52,3,False
405,Relicanth,Water,Rock,100,90,130,45,65,55,3,False
406,Luvdisc,Water,,43,30,55,40,65,97,3,False
407,Bagon,Dragon,,45,75,60,40,30,50,3,False
408,Shelgon,Dragon,,65,95,100,60,50,50,3,False
409,Salamence,Dragon,Flying,95,135,80,110,80,100,3,False
410,Mega Salamence,Dragon,Flying,95,145,130,120,90,120,3,False
411,Beldum,Steel,Psychic,40,55,80,35,60,30,3,False
412,Metang,Steel,Psychic,60,75,100,55,80,50,3,False
413,Metagross,Steel,Psychic,80,135,130,95,90,70,3,False
414,Mega Metagross,Steel,Psychic,80,145,150,105,110,110,3,False
415,Regirock,Rock,,80,100,200,50,100,50,3,True
416,Regice,Ice,,80,50,100,100,200,50,3,True
417,Registeel,Steel,,80,75,150,75,150,50,3,True
418,Latias,Dragon,Psychic,80,80,90,110,130,110,3,True
419,Mega Latias,Dragon,Psychic,80,100,120,140,150,110,3,True
420,Latios,Dragon,Psychic,80,90,80,130,110,110,3,True
421,Mega Latios,Dragon,Psychic,80,130,100,160,120,110,3,True
422,Kyogre,Water,,100,100,90,150,140,90,3,True
423,Primal Kyogre,Water,,100,150,90,180,160,90,3,True
424,Groudon,Ground,,100,150,140,100,90,90,3,True
425,Primal Groudon,Ground,Fire,100,180,160,150,90,90,3,True
426,Rayquaza,Dragon,Flying,105,150,90,150,90,95,3,True
427,Mega Rayquaza,Dragon,Flying,105,180,100,180,100,115,3,True
428,Jirachi,Steel,Psychic,100,100,100,100,100,100,3,True
429,Deoxys Normal Forme,Psychic,,50,150,50,150,50,150,3,True
430,DeoxysAttack Forme,Psychic,,50,180,20,180,20,150,3,True
431,Deoxys Defense Forme,Psychic,,50,70,160,70,160,90,3,True
432,Deoxys Speed Forme,Psychic,,50,95,90,95,90,180,3,True
433,Turtwig,Grass,,55,68,64,45,55,31,4,False
434,Grotle,Grass,,75,89,85,55,65,36,4,False
435,Torterra,Grass,Ground,95,109,105,75,85,56,4,False
436,Chimchar,Fire,,44,58,44,58,44,61,4,False
437,Monferno,Fire,Fighting,64,78,52,78,52,81,4,False
438,Infernape,Fire,Fighting,76,104,71,104,71,108,4,False
439,Piplup,Water,,53,51,53,61,56,40,4,False
440,Prinplup,Water,,64,66,68,81,76,50,4,False
441,Empoleon,Water,Steel,84,86,88,111,101,60,4,False
442,Starly,Normal,Flying,40,55,30,30,30,60,4,False
443,Staravia,Normal,Flying,55,75,50,40,40,80,4,False
444,Staraptor,Normal,Flying,85,120,70,50,60,100,4,False
445,Bidoof,Normal,,59,45,40,35,40,31,4,False
446,Bibarel,Normal,Water,79,85,60,55,60,71,4,False
447,Kricketot,Bug,,37,25,41,25,41,25,4,False
448,Kricketune,Bug,,77,85,51,55,51,65,4,False
449,Shinx,Electric,,45,65,34,40,34,45,4,False
450,Luxio,Electric,,60,85,49,60,49,60,4,False
451,Luxray,Electric,,80,120,79,95,79,70,4,False
452,Budew,Grass,Poison,40,30,35,50,70,55,4,False
453,Roserade,Grass,Poison,60,70,65,125,105,90,4,False
454,Cranidos,Rock,,67,125,40,30,30,58,4,False
