LotFrontage,PoolQC,TotalBsmtSF,GrLivArea,LotArea,SaleCondition,GarageType,SalePrice
,,794,1470,13869,Normal,Attchd,177000
52.0,,816,1176,6240,Normal,Detchd,114500
110.0,,816,816,8472,Normal,CarPort,110000
68.0,,1842,1842,50271,Normal,Attchd,385000
60.0,,384,1360,7134,Normal,Detchd,130000
100.0,,1425,1425,10175,Normal,Attchd,180500
24.0,,970,1739,2645,Abnorml,Attchd,172500
89.0,,860,1720,11645,Normal,Attchd,196500
66.0,,1410,2945,13682,Partial,BuiltIn,438780
60.0,,780,780,7200,Normal,Detchd,124900
63.0,,1158,1158,13072,Partial,Detchd,158000
60.0,,530,1111,7200,Normal,Detchd,101000
44.0,,1370,1370,6442,Normal,Attchd,202500
50.0,,576,1710,10300,Normal,Detchd,140000
,,1057,2034,9375,Normal,Attchd,219500
76.0,,1143,2473,9591,Normal,BuiltIn,317000
,,1947,2207,19900,Normal,Attchd,180000
72.0,,1453,1479,10665,Normal,Attchd,226000
47.0,,747,747,4608,Normal,Attchd,80000
81.0,,1304,2287,15593,Normal,Attchd,225000
95.0,,2223,2223,13651,Normal,Attchd,244000
69.0,,845,845,7599,Normal,Detchd,129500
74.0,,832,1718,10141,Normal,Attchd,185000
85.0,,1086,1086,10200,Normal,Attchd,144900
60.0,,840,1605,5790,Normal,Detchd,107400
21.0,,462,988,1596,Normal,BuiltIn,91000
,,952,952,8475,Normal,Detchd,135750
50.0,,672,1285,8635,Normal,Detchd,127000
72.0,,1768,1768,10778,Normal,,136500
60.0,,440,1230,10440,Normal,Detchd,110000
100.0,,896,2142,13000,Normal,Attchd,193500
32.0,,1237,1337,4500,Normal,Attchd,153500
78.0,,1563,1563,10206,Normal,Attchd,245000
80.0,,1065,1065,8892,Normal,Detchd,126500
,,384,1474,8530,Normal,BuiltIn,168500
121.0,,1288,2417,16059,Normal,Attchd,260000
122.0,,684,1560,11911,Normal,BuiltIn,174000
40.0,,612,1224,3951,Partial,Detchd,164500
105.0,,1013,1526,8470,Abnorml,,85000
60.0,,990,990,8070,Normal,,123600
60.0,,0,1040,7200,Normal,Detchd,109900
85.0,,1235,1235,8500,Abnorml,Attchd,98600
80.0,,876,964,13360,Normal,Detchd,163500
60.0,,1214,2291,7200,Normal,Detchd,133900
69.0,,824,1786,9337,Normal,Attchd,204750
,,680,1470,9765,Normal,BuiltIn,185000
78.0,,1588,1588,10264,Normal,Attchd,214000
73.0,,960,960,10921,Normal,Attchd,94750
85.0,,458,835,10625,Abnorml,Basment,83000
77.0,,950,1225,9320,Normal,,128950
,,1610,1610,10603,Normal,Attchd,205000
77.0,,741,1732,9206,Normal,Attchd,178000
64.0,,0,1535,7018,Alloca,Attchd,118964
94.0,,1226,1226,10402,Normal,Attchd,198900
,,1040,1818,7758,Normal,Detchd,169500
75.0,,1053,1992,9375,Normal,Attchd,250000
60.0,,641,1047,10800,Normal,Detchd,100000
50.0,,789,789,6000,Partial,Detchd,115000
85.0,,793,1517,8500,Normal,,115000
105.0,,1844,1844,11751,Normal,Attchd,190000
75.0,,994,1855,9525,Normal,Attchd,136900
,,384,1430,7750,Normal,BuiltIn,180000
77.0,,1264,2696,9965,Partial,BuiltIn,383970
,,1809,2259,21000,Abnorml,Basment,217000
61.0,,1028,2320,7259,Normal,Detchd,259500
34.0,,729,1458,3230,Normal,Detchd,176000
,,1092,1092,11616,Normal,Attchd,139000
74.0,,1125,1125,8536,Partial,Attchd,155000
90.0,,1673,3222,12376,Normal,Attchd,320000
65.0,,728,1456,8461,Partial,Attchd,163990
,,938,988,21453,Normal,Attchd,180000
50.0,,732,1123,6060,Normal,Detchd,100000
75.0,,1080,1080,9464,Normal,Attchd,136000
55.0,,1199,1199,7892,Normal,Attchd,153900
48.0,,1362,1586,17043,Normal,Attchd,181000
60.0,,520,754,6780,Normal,,84500
,,1078,958,4928,Normal,Attchd,128000
55.0,,672,840,4388,Normal,,87000
69.0,,660,1348,7590,Normal,Attchd,155000
69.0,,1008,1053,8973,Abnorml,2Types,150000
88.0,,924,2157,14200,Normal,Attchd,226000
,,992,2054,12224,Normal,BuiltIn,244000
75.0,,1063,1327,7388,Normal,Detchd,150750
,,1267,1296,6853,Normal,Attchd,220000
78.0,,1461,1721,10335,Normal,Attchd,180000
80.0,,1304,1682,10400,Normal,Attchd,174000
,,1214,1214,10355,Normal,Attchd,143000
82.0,,1907,1959,11070,Family,2Types,171000
73.0,,1004,1852,9066,Normal,Attchd,230000
65.0,,928,1764,15426,Normal,Attchd,231500
70.0,,864,864,10500,Normal,,115000
78.0,,1734,1734,11645,Normal,Attchd,260000
71.0,,910,1385,8520,Normal,Detchd,166000
78.0,,1490,1501,10335,Normal,Attchd,204000
70.0,,1728,1728,9100,Abnorml,Detchd,125000
24.0,,970,1709,2522,Normal,Detchd,130000
51.0,,715,875,6120,Normal,Detchd,105000
,,884,2035,9505,Normal,BuiltIn,222500
63.0,,1080,1080,7500,Normal,,141000
,,896,1344,6240,Normal,Detchd,115000
120.0,,969,969,10356,Normal,Attchd,122000
107.0,,1710,1710,13891,Partial,Attchd,372402
,,825,1993,14803,Normal,Attchd,190000
,,1602,1252,13500,Normal,Attchd,235000
84.0,,1200,1200,11340,Family,Detchd,125000
60.0,,572,1096,9600,Normal,,79000
60.0,,0,1040,7200,Normal,Detchd,109500
92.0,,774,1968,12003,Partial,BuiltIn,269500
100.0,,991,1947,12552,Normal,Attchd,254900
134.0,,1392,2462,19378,Partial,Attchd,320000
,,1232,1232,11120,Normal,Attchd,162500
110.0,,1572,2668,13688,Normal,BuiltIn,412500
95.0,,1541,1541,12182,Partial,Attchd,220000
55.0,,882,882,5500,Normal,,103200
40.0,,1149,1616,5400,Normal,Detchd,152000
62.0,,644,1355,10106,Normal,,127500
,,1617,1867,10708,Normal,Attchd,190000
86.0,,1582,2161,10562,Partial,Attchd,325624
62.0,,840,1720,8244,Normal,Attchd,183500
,,1686,1707,16669,Normal,Attchd,228000
,,720,1382,12358,Normal,Detchd,128500
141.0,,1080,1656,31770,Normal,Attchd,215000
44.0,,1064,1767,5306,Normal,Attchd,239000
80.0,,1362,1362,10197,Normal,Attchd,163000
47.0,,1606,1651,12416,Normal,Attchd,184000
84.0,,1202,2158,12615,Normal,Attchd,243000
97.0,,1151,2060,10029,Normal,Attchd,211000
,,1052,1920,13650,Normal,Attchd,172500
63.0,,2216,2234,17423,Partial,Attchd,501837
60.0,,968,968,8520,Normal,Detchd,100000
,,756,1525,2117,Normal,Detchd,177000
54.0,,793,1802,7588,Normal,Detchd,200100
60.0,,0,1340,9060,Normal,Attchd,120000
63.0,,1362,2082,11426,Normal,Detchd,200000
92.0,,504,1252,7438,Normal,Attchd,127000
90.0,,1107,3608,22950,Normal,Detchd,475000
,,1188,1217,9947,Normal,Attchd,173000
60.0,,660,1656,10410,Normal,Detchd,135000
64.0,,1086,1224,7018,Alloca,Detchd,153337
41.0,,1593,1593,4923,Normal,Attchd,286000
70.0,,853,2727,10570,Normal,Detchd,315000
,,725,1479,7472,Normal,Attchd,184000
68.0,,1431,1431,9017,Normal,Attchd,192000
24.0,,970,1709,2522,Normal,Detchd,130000
60.0,,864,864,7180,Normal,Detchd,127000
24.0,,855,1456,2280,Normal,Attchd,148500
79.0,,1726,1726,9416,Partial,Attchd,311872
174.0,Ex,1360,3112,25419,Abnorml,Detchd,235000
92.0,,755,2229,5520,Abnorml,,104000
76.0,,1713,1713,9591,Normal,Attchd,274900
80.0,,1121,1121,8546,Normal,Attchd,140000
75.0,,1196,1279,10125,Normal,Detchd,171500
50.0,,617,1310,7000,Normal,Attchd,112000
,,848,848,4438,Normal,Attchd,149000
50.0,,720,1284,3500,Normal,Detchd,110000
99.0,,1424,1442,11851,Normal,Attchd,180500
40.0,,1140,1696,13673,Normal,Attchd,143900
,,1100,1100,12493,Normal,Attchd,141000
,,1157,2062,14364,Normal,Attchd,277000
75.0,,1092,1092,8250,Normal,Attchd,145000
67.0,,864,864,5604,Normal,,98000
83.0,,1212,1212,10420,Normal,Attchd,186000
72.0,,900,1852,8640,Partial,Attchd,252678
43.0,,990,990,13568,Normal,Attchd,156000
,,689,1392,10900,Normal,Attchd,161750
72.0,,1070,1236,10011,Normal,Attchd,134450
65.0,,1436,1436,8450,Normal,Attchd,210000
57.0,,686,1328,9906,Family,Detchd,107000
,,798,1954,15660,Normal,Attchd,311500
43.0,,1248,1248,3010,Partial,Attchd,167240
73.0,,1498,1498,8990,Partial,Attchd,204900
,,1010,2267,8068,Normal,BuiltIn,200000
85.0,,713,1552,11475,Normal,Attchd,179900
70.0,,864,864,10500,Abnorml,Detchd,97000
103.0,,2392,2392,13472,Normal,Attchd,386250
21.0,,630,1302,1680,Abnorml,Detchd,112000
82.0,,1203,2520,9950,Abnorml,Attchd,290000
21.0,,483,987,1869,Normal,Detchd,106000
70.0,,912,912,8521,Normal,Detchd,125000
43.0,,1373,1555,3182,Normal,Attchd,192500
73.0,,1194,1194,8760,Normal,Attchd,148000
174.0,,1462,2794,15138,Normal,Attchd,403000
21.0,,483,987,1680,Normal,Attchd,94500
75.0,,894,894,10650,Normal,Attchd,128200
,,860,1960,7851,Normal,BuiltIn,216500
21.0,,483,987,1680,Normal,Detchd,89500
65.0,,1414,1414,8773,Normal,Attchd,185500
,,996,1744,9453,Normal,Attchd,194500
93.0,,1694,1694,12030,Partial,Attchd,318000
52.0,,735,1487,8741,Normal,Detchd,113000
75.0,,1566,1566,9000,Normal,Attchd,262500
40.0,,686,866,3880,Normal,,110500
63.0,,540,1440,5000,Normal,Attchd,79000
75.0,,626,1217,10762,Normal,Attchd,120000
,,948,2110,8880,Normal,Attchd,205000
80.0,,1845,1872,10400,Normal,Attchd,241500
69.0,,1020,1928,9142,Normal,Detchd,137000
75.0,,1367,1375,11310,Normal,Attchd,140000
72.0,,840,1668,11317,Normal,Attchd,180000
,,1444,2144,159000,Normal,Attchd,277000
55.0,,728,1306,5350,Normal,,76500
44.0,,1573,1625,4750,Family,Attchd,235000
65.0,,798,1640,8366,Normal,Attchd,173000
85.0,,1302,1302,9350,Normal,Attchd,158000
70.0,,1314,1314,8400,Normal,Attchd,145000
66.0,,975,2291,8738,Normal,BuiltIn,230000
64.0,,864,1728,8791,Normal,Attchd,207500
68.0,,1604,1604,8814,Abnorml,Attchd,220000
80.0,,963,1792,12435,Normal,Attchd,231500
70.0,,0,882,12702,Normal,Detchd,97000
120.0,,1362,1382,19296,Normal,Attchd,176000
69.0,,1482,2574,9588,Partial,BuiltIn,276000
88.0,,506,1212,8471,Normal,Attchd,151000
50.0,,926,1316,5500,Normal,Detchd,130000
30.0,,680,764,5232,Normal,Detchd,73000
78.0,,1422,1422,12090,Normal,Attchd,175500
70.0,,802,1511,11207,Normal,Attchd,185000
60.0,,720,2192,8400,Normal,Detchd,179500
71.0,,740,778,6900,Normal,Detchd,120500
,,1143,1113,7917,Normal,Attchd,148000
84.0,,1095,1939,10728,Partial,Attchd,266000
73.0,,1385,1363,39104,Normal,Attchd,241500
92.0,,1152,2270,11764,Normal,Attchd,290000
80.0,,1240,1632,9600,Normal,Attchd,139000
76.0,,816,816,8314,Normal,Attchd,124500
55.0,,952,1548,7264,Normal,Detchd,205000
129.0,,1560,1560,9196,Normal,Attchd,201000
140.0,,864,864,19138,Normal,Detchd,141000
107.0,,2121,2121,14450,Partial,Attchd,415298
83.0,,1160,2022,10005,Normal,Attchd,192000
82.0,,807,1982,11287,Normal,Attchd,228500
60.0,,1262,1262,7200,Partial,Attchd,185000
34.0,,1314,1314,5063,Normal,Attchd,207500
74.0,,1468,1468,9612,Partial,Attchd,244600
50.0,,1575,1575,8012,Normal,Attchd,179200
35.0,,625,1250,4251,Partial,Detchd,164700
77.0,,912,1734,9786,Normal,Attchd,159000
,,858,858,8125,Normal,,88000
,,882,900,9819,Normal,Detchd,122000
60.0,,698,1396,8730,Normal,Detchd,153575
120.0,,1079,1919,15611,Partial,Attchd,233230
55.0,,780,1716,5687,Normal,,135900
60.0,,768,1716,11409,Normal,Attchd,131000
,,795,2263,16659,Normal,Attchd,235000
80.0,,1416,1644,9600,Normal,Attchd,167000
37.0,,1003,1003,7937,Normal,Detchd,142500
75.0,,910,1558,13710,Normal,Attchd,152000
66.0,,975,1950,7399,Normal,Detchd,239000
90.0,,702,1743,11700,Normal,Attchd,175000
80.0,,1092,1152,14000,Family,Attchd,158500
90.0,,1165,1336,15750,Normal,Attchd,157000
66.0,,1028,2452,16226,Normal,BuiltIn,267000
118.0,,1541,1541,13704,Normal,Attchd,205000
70.0,,894,894,9800,Abnorml,Attchd,149900
87.0,,1470,3493,18386,Normal,Attchd,295000
80.0,,2000,2000,10386,Normal,Attchd,305900
116.0,,700,2243,13474,Normal,Attchd,225000
,,319,1406,7920,Normal,,89500
,,861,861,12342,Normal,Detchd,82500
90.0,,1896,1944,12378,Normal,Attchd,360000
,,697,1501,7685,Normal,Attchd,165600
50.0,,972,972,8000,Normal,Detchd,132000
65.0,,793,1118,7800,Normal,Detchd,119900
150.0,,2136,2036,215245,Normal,Attchd,375000
60.0,,728,1641,9600,Normal,Detchd,178000
71.0,,716,1432,7795,Normal,Attchd,188500
94.0,,845,2353,13005,Normal,Attchd,260000
75.0,,1088,1959,9000,Normal,Attchd,270000
90.0,,1347,2646,9900,Normal,Attchd,260000
,,1372,1472,14115,Normal,Attchd,187500
111.0,,1249,2596,16259,Partial,Attchd,342643
99.0,,1136,2468,12099,Normal,BuiltIn,354000
86.0,,1502,2730,10380,Normal,Attchd,301000
49.0,,1162,1163,5820,Normal,Attchd,126175
96.0,,710,2978,11275,Normal,BuiltIn,242000
50.0,,720,803,5000,Normal,Detchd,87000
32.0,,1719,1719,10846,Normal,Attchd,324000
80.0,,1383,1383,11600,Normal,Attchd,145250
,,844,2134,11888,Normal,Detchd,214500
60.0,,596,1192,6402,Normal,Detchd,78000
,,1728,1728,10624,Normal,Detchd,119000
70.0,,1056,1056,8176,Normal,Attchd,139000
85.0,,3206,1629,10655,Normal,Attchd,284000
59.0,,1358,1358,8198,Normal,Attchd,207000
59.0,,943,1638,9042,Normal,Attchd,192000
,,1499,1786,164660,Normal,Attchd,228950
86.0,,1922,1922,14157,Normal,Attchd,377426
70.0,,1536,1536,9135,Normal,Attchd,214000
91.0,,1208,1621,14145,Normal,Attchd,202500
66.0,,1215,1215,12400,Normal,Attchd,155000
85.0,,967,1908,14191,Normal,Attchd,202900
60.0,,721,841,8400,Normal,CarPort,82000
,,0,1040,8544,Normal,Detchd,87500
63.0,,1684,1684,8849,Normal,Attchd,266000
36.0,,536,1112,2592,Normal,Attchd,85000
65.0,,972,1577,6435,Normal,Detchd,140200
,,958,958,12772,Normal,Attchd,151500
,,1478,1478,17600,Normal,Attchd,157500
36.0,,764,1626,2448,Normal,BuiltIn,154000
56.0,,1848,2728,20431,Partial,Attchd,437154
68.0,,1869,1869,7820,Partial,Attchd,318061
,,1453,1453,5271,Abnorml,Attchd,190000
60.0,,616,1111,9084,Normal,Detchd,95000
60.0,,624,720,8520,Normal,Detchd,105900
60.0,,940,1595,8400,Normal,Attchd,140000
105.0,,1200,1200,11249,Normal,Attchd,177500
,,1158,1167,9248,Normal,Attchd,173000
44.0,,1142,1142,4224,Normal,Attchd,134000
92.0,,1062,1352,6930,Abnorml,BuiltIn,130000
78.0,,1086,1924,12011,Normal,Attchd,280000
,,888,912,7540,Normal,Attchd,156000
,,883,1505,9144,Normal,Detchd,145000
64.0,,0,1922,7301,Normal,BuiltIn,198500
21.0,,483,987,1680,Normal,Detchd,118000
,,796,1574,18800,Normal,Attchd,190000
59.0,,672,1344,10690,Normal,Detchd,147000
,,1394,1394,9500,Normal,Attchd,159000
101.0,,1099,1431,9150,Normal,Basment,165000
78.0,,1268,1268,7800,Normal,Attchd,132000
,,1063,1287,9830,Normal,Detchd,162000
,,953,1664,8121,Normal,Attchd,172400
80.0,,0,1588,17120,Normal,Detchd,134432
50.0,,744,752,7175,Normal,Attchd,125000
79.0,,608,1319,10634,Normal,Attchd,123000
65.0,,847,1928,8200,Normal,BuiltIn,219500
,,683,904,10020,Normal,,61000
57.0,,870,914,8846,Normal,Detchd,148000
102.0,,1580,2466,11143,Normal,Attchd,340000
88.0,,1856,1856,11394,Partial,Attchd,394432
60.0,,982,1800,8123,Normal,Attchd,179000
50.0,,1026,1691,5000,Normal,Detchd,127000
60.0,,1293,1301,7200,Partial,Attchd,187750
79.0,,939,1797,9245,Normal,Attchd,213500
60.0,,784,784,9000,Normal,Detchd,76000
,,1580,1953,53107,Normal,Attchd,240000
43.0,,1256,1269,3182,Normal,Attchd,192000
58.0,,658,1184,8410,AdjLand,,81000
72.0,,1041,1125,7200,Abnorml,Detchd,125000
93.0,,1468,1479,9382,Normal,Attchd,191000
96.0,,1682,2332,12474,Partial,BuiltIn,426000
50.0,,861,1367,8405,Normal,Detchd,119000
71.0,,804,1961,12209,Normal,BuiltIn,215000
,,0,882,8339,Normal,Attchd,106500
,,788,788,7446,Abnorml,,100000
60.0,,735,1034,10134,Normal,Detchd,109000
68.0,,1144,1144,9571,Normal,Attchd,129000
60.0,,894,894,7200,Normal,Detchd,123000
69.0,,864,1812,7590,Normal,Attchd,169500
60.0,,961,1077,8967,Abnorml,Detchd,67000
65.0,,1092,1550,8125,Normal,Attchd,241000
38.0,,1260,1288,14963,Normal,Attchd,245500
65.0,,1310,1310,8767,Partial,Attchd,164990
60.0,,672,672,10200,Normal,Detchd,108000
93.0,,1141,2263,12090,Abnorml,BuiltIn,258000
,,806,1572,10364,Normal,BuiltIn,168000
,,1281,1620,9991,Normal,Attchd,150000
51.0,,1064,1639,10480,Normal,Detchd,115000
63.0,,840,1680,15576,Normal,Attchd,177000
109.0,,1063,2172,14154,Partial,Attchd,280000
85.0,,1034,2078,10800,Partial,Attchd,339750
68.0,,1276,1276,9571,Abnorml,Attchd,60000
100.0,,1056,1056,34650,Normal,Attchd,145000
,,1470,1478,4403,Partial,Attchd,222000
56.0,,1008,1028,8960,Normal,Detchd,115000
59.0,,1080,2097,11228,Normal,Attchd,228000
73.0,,1340,1340,8899,Partial,Attchd,181134
74.0,,672,1400,7844,Normal,Attchd,149500
86.0,,1370,2624,22420,Normal,Detchd,239000
60.0,,756,1134,8160,AdjLand,Detchd,126000
65.0,,1056,1056,8450,Normal,Attchd,142000
78.0,,1344,1344,7060,Alloca,Attchd,206300
,,1602,1602,16635,Normal,Attchd,215000
100.0,,988,988,21750,Normal,Attchd,113000
80.0,,1470,2630,9200,Normal,Attchd,315000
72.0,,1196,1196,9000,Normal,Attchd,139000
60.0,,651,1389,3378,Normal,Detchd,135000
,,1518,1644,12800,Normal,Attchd,275000
77.0,,907,907,8593,Normal,Detchd,109008
64.0,,1208,1208,6762,Partial,Attchd,195400
130.0,,1392,1412,11457,Normal,Attchd,175000
21.0,,483,987,1680,Abnorml,Detchd,85400
60.0,,901,1198,5586,Abnorml,,79900
24.0,,765,1365,1920,Normal,Detchd,122500
100.0,,926,1604,10839,Normal,Attchd,181000
21.0,,630,630,1890,Normal,,81000
43.0,,799,1661,10667,Normal,Attchd,212000
40.0,,648,1118,4400,Normal,Detchd,116000
50.0,,884,904,6000,Normal,Detchd,119000
40.0,,440,694,4280,Normal,Detchd,90350
67.0,,684,1196,12354,Normal,Detchd,110000
105.0,,3094,2402,15431,Normal,Attchd,555000
92.0,,1440,1440,12108,Normal,,118000
52.0,,1078,1573,6240,Normal,Detchd,162900
53.0,,1258,1258,3922,Partial,Attchd,172500
70.0,,915,1908,8750,Normal,Attchd,210000
73.0,,1436,1689,9855,Normal,Attchd,127500
137.0,,1517,1888,16492,Normal,Attchd,190000
,,930,1886,11214,Normal,Attchd,199900
50.0,,780,1376,8600,Normal,Detchd,119500
50.0,,649,1183,6000,Normal,Detchd,120000
70.0,,813,813,5684,Normal,Detchd,110000
62.0,,1533,1533,70761,Normal,Attchd,280000
,,872,1756,9303,Normal,Attchd,204000
75.0,,768,1590,9000,Normal,Attchd,210000
63.0,,1728,1728,9297,Family,Detchd,188000
80.0,,1242,1242,9600,Normal,Attchd,175500
34.0,,624,1344,4571,Abnorml,Detchd,98000
,,1364,1663,53227,Normal,Attchd,256000
,,588,1666,5100,Normal,Detchd,161000
,,709,1203,7015,Normal,Detchd,110000
75.0,,832,1935,8004,Partial,BuiltIn,263435
60.0,,560,1135,7200,Normal,Detchd,155000
60.0,,864,864,8281,Normal,Detchd,62383
74.0,,715,1660,11988,Normal,Detchd,188700
60.0,,1040,1040,8430,Normal,,124000
,,1375,1414,3072,Normal,Attchd,178740
85.0,,1277,1277,10628,Normal,Attchd,167000
79.0,,728,1644,9480,Normal,Attchd,146500
98.0,,1626,1634,11428,Normal,Attchd,250000
76.0,,832,1710,9291,Normal,Attchd,187000
,,1488,1502,6820,Normal,Attchd,212000
92.0,,808,1969,11952,Normal,Attchd,190000
35.0,,547,1072,3675,Normal,Basment,148000
110.0,,1976,1976,14977,Partial,Attchd,440000
41.0,,1494,1652,5330,Normal,Attchd,251000
80.0,,970,970,8480,Normal,Detchd,132500
75.0,,1478,1493,13125,Normal,Attchd,208900
105.0,,2153,2643,13693,Normal,BuiltIn,380000
79.0,,1705,1718,10637,Normal,Attchd,297000
50.0,,907,1131,5925,Alloca,Detchd,89471
98.0,,1833,1850,16033,Normal,Attchd,326000
72.0,,1792,1792,11846,Normal,Attchd,374000
50.0,,910,1826,2500,Normal,Attchd,155000
32.0,,1216,1216,4500,Normal,Attchd,164000
,,999,999,7758,Normal,Detchd,132500
80.0,,1113,1113,9600,Normal,Attchd,147000
79.0,,1073,1073,10289,Normal,Attchd,156000
70.0,,1484,1484,12243,Normal,Attchd,175000
60.0,,954,2414,10800,Normal,Attchd,160000
21.0,,630,630,1526,Normal,Attchd,86000
,,264,1304,2665,Normal,BuiltIn,115000
79.0,,806,1578,9490,Normal,Attchd,133000
105.0,,728,1456,15578,Partial,Attchd,172785
70.0,,1269,1269,7931,Normal,Detchd,155000
50.0,,190,886,5784,Normal,Attchd,91300
60.0,,720,720,7879,Abnorml,,34900
,,3200,3228,12692,Normal,Attchd,430000
60.0,,1026,1820,9120,Normal,Detchd,184000
65.0,,864,899,7800,Normal,Attchd,130000
70.0,,912,912,7535,Normal,Attchd,120000
21.0,,672,1218,1890,Normal,Detchd,113000
75.0,,866,1768,9803,Normal,Attchd,226700
70.0,,1214,1214,9170,Normal,Detchd,140000
100.0,,1501,1801,15602,Normal,Attchd,289000
24.0,,855,1322,2308,Normal,Attchd,147000
60.0,,960,1960,7596,Normal,Detchd,124500
80.0,,777,1911,9554,Normal,Attchd,215000
75.0,,1218,1218,7862,Partial,Attchd,208300
60.0,,689,1378,9600,Normal,Detchd,161000
80.0,,1041,1041,9600,Normal,Attchd,124500
75.0,,1008,1363,14559,Normal,CarPort,164900
40.0,,1368,1368,6792,Partial,Attchd,202665
70.0,,864,864,9100,Normal,Detchd,129900
71.0,,1084,1080,9187,Normal,Attchd,134000
55.0,,768,789,10594,Normal,Detchd,96500
94.0,,2006,2020,12220,Partial,Attchd,402861
,,689,2119,10448,Abnorml,Attchd,158000
79.0,,1264,2344,10208,Normal,Attchd,265000
,,794,1796,9531,Normal,Attchd,211000
53.0,,1276,2080,10918,Normal,Detchd,234000
60.0,,0,1294,10800,Normal,,106250
90.0,,1244,1244,11988,Normal,Attchd,150000
50.0,,1004,1664,5000,Normal,Detchd,159000
130.0,,3138,4676,40094,Partial,BuiltIn,184750
95.0,,1379,2398,11787,Normal,Attchd,315750
62.0,,1257,1266,7500,Normal,Attchd,176000
70.0,,928,928,13300,Normal,Attchd,132000
67.0,,1452,2713,14948,Partial,Attchd,446261
58.0,,528,605,9098,Normal,,86000
,,2035,2515,32668,Alloca,Attchd,200624
85.0,,1461,1509,10200,Abnorml,Attchd,175000
60.0,,611,1362,6155,Normal,Detchd,128000
60.0,,0,827,7200,Normal,Detchd,107500
50.0,,0,334,5000,Normal,,39300
74.0,,707,1414,9056,Normal,Attchd,178000
70.0,,1117,1347,7000,Normal,,107500
57.0,,880,1724,8924,Normal,Attchd,188000
,,864,864,12735,Normal,Detchd,111250
,,1051,1159,11553,Normal,Attchd,158000
,,1581,1601,11423,Normal,Attchd,272000
85.0,,1838,1838,14601,Normal,Attchd,315000
,,969,2285,11000,Normal,BuiltIn,248000
78.0,,1650,1680,10140,Normal,Attchd,213250
34.0,,723,767,4058,Normal,Attchd,133000
58.0,,654,1496,17104,Partial,Attchd,179665
,,1204,2183,13837,Normal,Attchd,229000
70.0,,1065,1635,8737,Normal,Detchd,210000
54.0,,768,768,7244,Normal,Detchd,129500
49.0,,825,825,8235,Normal,Detchd,125000
75.0,,912,2094,9375,Normal,BuiltIn,263000
53.0,,1069,1069,4043,Abnorml,Attchd,140000
50.0,,928,928,6000,Normal,Attchd,112500
87.0,,1709,1717,11146,Normal,Attchd,255500
67.0,,0,1126,8777,Normal,Detchd,108000
85.0,,998,2046,10625,Normal,BuiltIn,284000
58.0,,993,1048,6380,Normal,Detchd,113000
69.0,,1092,1092,14850,Normal,Attchd,141000
60.0,,637,1336,11040,Normal,CarPort,108000
